code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,1.25E-05,2.97E-05,1.62E-05,3.59E-05,5.36E-05,6.27E-05,7.70E-05,3.50E-05,2.53E-06,0.000184669,2.17E-05,3.94E-05,3.44E-05,4.44E-05,0.000325566,0.002370803,5.90E-05,9.88E-06,9.76E-05,0.000144586
2,0.000656701,0.000396242,0.00205387,0.002940344,0.000179624,0.000371285,0.001135933,0.000744373,0.000281449,0.000957041,0.001116443,0.000777159,0.000897536,0.001596163,0.000998054,0.00093742,0.001277473,0.001549332,0.001962496,0.003485718
3,0.000135172,7.89E-05,6.83E-05,0.000138624,7.00E-05,0.000120905,0.000470592,0.000161493,0.000738596,2.47E-05,5.72E-05,4.86E-05,6.97E-05,3.46E-05,5.44E-05,0.000948261,0.00012421,0.000480022,5.31E-05,0.000165479
4,0.014349542,0.004968999,0.004490215,0.008025563,0.006156053,0.007467108,0.001991057,0.002815097,0.005366784,0.00405194,0.000600944,0.002729311,0.005130312,0.003387529,0.001226061,0.001488954,0.001721174,0.00266998,0.005723684,0.00688153
5,0,0.00E+00,1.56E-05,0,1.53E-05,1.53E-05,2.50E-05,4.09E-06,1.40E-05,0.000514846,8.46E-05,7.21E-05,3.80E-05,7.90E-05,0.000159401,2.45E-05,2.56E-05,3.01E-05,6.93E-05,0.00016414
6,0,6.12E-06,0,0.000167444,3.31E-05,0,1.54E-05,5.05E-06,0.002261547,4.74E-06,7.70E-07,1.06E-05,4.13E-07,8.93E-07,6.33E-06,0.00E+00,2.91E-05,0.00E+00,0.00E+00,1.77E-06
7,0.000642503,0.001835103,0.000744725,0.001260403,0.000660761,0.001593076,0.000572429,0.000423449,0.004595649,0.002506919,0.000174148,0.00040191,6.86E-05,0.000138178,0.000110315,0.001851174,0.000213308,7.33E-05,7.48E-05,0.000114427
8,0.000177056,3.11E-06,2.15E-05,0.000102542,2.81E-05,0.000254579,9.47E-05,1.52E-05,0.001885302,0.00022049,0.000437032,0.00027766,0.000286499,0.000175619,9.05E-05,7.03E-05,0.000102448,0.005382489,0.000126152,0.000111895
9,0.000518634,0.000408598,0.000391583,0.000125987,6.15E-05,4.46E-05,0.000178974,0.000990513,0.000347661,0.000463814,0.001485464,0.000978577,0.001016221,0.000771541,0.00091257,0.001244782,0.000588065,0.001235503,0.00166531,0.001466641
10,0,0.00148453,0.003988472,0.01316988,0.006913786,0.005344605,0.000163035,0.002169729,0.004781229,0.006908566,0.000156363,0.002899242,0.003950269,0.007234266,0.006055413,0.008139634,0.005444283,0.007414234,0.013040314,6.91E-05
11,0.016406531,0.011531763,0.008405168,0.011877409,0.017689902,0.017399568,0.01595858,0.009205862,0.017301945,0.009583046,0.009510545,0.007357639,0.009335402,0.01338807,0.00805398,0.002939066,0.001294625,0.000810143,0.004434255,0.000991032
