Importers,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,54,160,19,84,33,56,44,142
Congo,0,4,0,19,1,24,0,97
France,1,8,2,0,0,0,0,7
Belgium,0,2,2,0,0,0,3,6
Madagascar,0,0,0,0,0,0,0,6
Zambia,0,1,0,3,0,0,0,6
China,0,0,0,0,0,0,0,3
"Congo, Democratic Republic of the",0,0,0,0,0,0,0,3
United Arab Emirates,0,0,0,0,3,1,0,3
"Tanzania, United Republic of",0,0,0,6,0,0,2,2
United States of America,0,0,0,0,0,0,2,2
Gabon,0,0,0,0,0,0,2,1
Germany,0,0,0,0,0,0,2,1
Senegal,0,0,0,0,0,0,0,1
South Africa,50,16,10,1,3,1,23,1
Angola,0,82,2,48,0,0,1,0
United Kingdom,1,0,0,0,0,0,0,0
Bangladesh,0,1,0,0,0,0,0,0
Botswana,0,0,0,0,0,12,0,0
Burundi,0,0,0,0,2,0,0,0
Canada,0,0,0,0,0,0,3,0
Israel,0,0,0,0,23,0,0,0
Côte d'Ivoire,0,0,0,0,0,0,0,0
Kenya,0,0,0,0,0,0,0,0
Morocco,0,0,0,5,0,0,0,0
Netherlands,0,33,0,0,0,0,0,0
Poland,0,11,0,0,0,0,0,0
Rwanda,0,0,1,0,0,0,0,0
Serbia,0,0,0,0,0,0,1,0
Switzerland,0,0,1,0,0,0,0,0
Togo,0,2,0,0,0,18,0,0
Türkiye,0,0,0,0,0,0,1,0
Uganda,2,1,0,1,0,0,0,0
Egypt,0,0,0,0,0,0,3,0
HHI,0.854072742,0.382595556,0.259742716,0.393625689,0.478930759,0.235752449,0.348566163,0.57717096
