code ,2015,2016,2017,2018,2019,2020,2021,2022
1,0.024510411,0.94692408,0.132919182,0.106629625,0.144397111,0.052247365,0.235533971,0.121044489
2,0.025307596,0.15752345,0.611275769,0.791202541,0.61810018,0.745287213,1,0.392751179
3,0,0.130590976,0.164863554,0.144406227,0.288001742,0.883641836,0.488461777,0.312559677
4,0.470914697,0.605014931,0.770244982,0.223047372,0.667812939,0.144172502,0.269148894,0.46683082
5,0,1,0.061202839,1,1,0,1,1
6,1,0,0,0,0.90388527,0,1,1
7,0.603553391,0.272781942,0.306190685,0.601162083,0.685762802,0.311210541,0.389508433,0.282434697
8,0.67324251,0.3468893,1,1,0,0,1,0.33134269
9,0.365568097,0.418219034,0.312383824,0.242294947,0.187828613,0.182608693,0.277791545,0.234680851
10,1,0.473436214,0.51133838,1,0.572615969,0.624987994,0,0.213645192
11,0.13059098,0.10918717,0.91748859,0.4316312,0.59326989,0.64886597,0.24205464,0.48131479
12,0.254118095,0.279778479,0.303777319,0.370883958,0.289722068,0.381065663,0.325225722,0.38656845
13,0.838840327,0.544539253,0.750883055,0.813443734,0.713875097,0.481825055,0.456415275,0.481661792
14,0,0.00713211,1,1,1,1,0.03730336,0
15,0.37154334,0.15630014,0.21343825,0.18191344,0.36817113,0.3519663,0.54980679,0.33721676
16,1,1,0.6071628,0,1,0,0,0.20534388
17,1,1,0.340139779,0.154283376,0.478265683,0.617126284,1,0.193558397
18,0.29686959,0.381814627,0.281079832,0.299303277,0.235981091,0.139317383,0.137363134,0.212035784
19,0.76043972,0,0.2501079,0.34491431,0.34580589,0,1,0.53688202
20,0.130590976,0.284959256,0.48886159,0.384446498,0.123159652,0.814005204,0.127999123,0.355972204
21,0.163798871,0.796122626,0.371478948,0.302037556,0.545262043,0.622958705,0.550286332,0.596911942
22,0.713425116,0.442656654,0.305498499,0.193734419,0.149556204,0.893218362,0.388827046,0.979380904
23,0.157300348,0.75099477,0.403945918,0.310773971,0.836701379,0.571910769,0.309516363,0.18355959
24,0.335973663,0.370997385,0.936644438,0.442192303,0.645646631,0.769942696,0.995511869,0.877873712
25,0.795130728,0.195928047,0.35358767,0.385599514,0.289176826,0.452069871,0.776542427,0.415230195
26,0.486221883,0.639911062,0.430626374,0.514374433,0.483689461,0.537314822,0.482452506,0.56450479
27,0.384402897,0.908748676,0.79721247,0.481753878,0.460852451,0.472689129,0.536806411,0.347262061
28,0.600730923,0.720206124,0.637741229,0.695091525,0.420308229,0.297078321,0.343490519,0.321880466
29,0.181367235,0,0.416836205,0.26081111,0.305929531,0.275046675,0.241513574,0.449675796
30,0.190523851,0.204246648,0.309902661,0.373093833,0.511791676,0.331472128,0.194064299,0.622749616
31,0,1,1,0.21894667,0,1,0,1
32,1,0.130590976,0.683012702,0,0.014856839,0.385640646,0.744441409,0.401219067
33,0.521195662,0.265970347,0.52405462,0.349418863,0.286945893,0.27982905,0.307774267,0.240424392
34,0.130590976,0.027579533,0.926566113,0.874929028,0.926190258,0.739919212,0.086052895,0.260495205
35,1,1,1,0.85263143,0.26860434,1,1,1
36,1,1,0,0,1,1,0.10128031,1
38,0.344232462,1,0.567064847,0.325604335,0.030157507,0.341138221,0.338358114,0.95654424
39,0.283598264,0.405284479,0.093100162,0.303865961,0.327521214,0.207357655,0.215083598,0.213360595
40,0.668952615,0.604324112,0.554065093,0.592957891,0.694328539,0.74252734,0.7703427,0.722235082
41,0.309813453,0.307148361,0.189262936,0.109450668,0,0,1,0.507882558
42,0.130590976,0.359895934,0.014964013,0.074769133,0.910661659,0.874569138,0.249733774,0.632303999
43,0,1,0,0,0,0,0,0
44,0.281899138,0.299959485,0.354340271,0.348292839,0.466817868,0.530512687,0.509424137,0.493145879
45,0,0,0,0,0,1,0,0
46,0,0,0.067486828,0,0,0,0,0
48,0.391432493,0.125311552,0.412970415,0.232772005,0.532662202,0.278913268,0.283060273,0.276514947
