code,2015,2016,2017,2018,2019,2020,2021,2022
1,1.02E-07,3.45E-05,1.27E-06,3.95E-07,3.02E-07,5.54E-08,6.64E-07,3.16E-07
2,6.66E-07,1.73E-06,9.35E-06,3.13E-06,1.16E-06,7.97E-06,1.34E-07,1.60E-05
3,0,1.09E-07,1.13E-06,1.01E-06,1.40E-06,4.83E-05,1.07E-05,7.85E-06
4,5.12E-05,1.43E-06,3.29E-05,6.36E-07,4.99E-06,9.18E-08,3.74E-07,1.03E-05
5,0,1.39E-07,5.48E-08,2.50E-07,9.71E-07,0,4.48E-08,3.39E-08
6,1.04E-06,0,0,0,2.37E-06,0,4.48E-08,3.08E-06
7,2.78E-06,3.14E-06,2.90E-05,4.95E-05,2.72E-05,1.13E-05,7.79E-06,1.16E-05
8,1.06E-05,1.18E-05,7.16E-06,2.00E-06,0,0,8.95E-08,2.85E-06
9,0.000707939,0.001180841,0.000511345,0.000218455,0.000200849,0.000220455,0.00023724,0.000247759
10,4.26E-06,8.43E-06,5.16E-05,4.55E-06,9.85E-06,3.01E-06,0,3.67E-06
11,4.51E-08,1.21E-06,0.00014976,1.86E-05,1.17E-05,2.71E-06,3.58E-07,1.19E-05
12,0.000190858,0.000278851,0.000172967,0.000145893,0.000242714,0.000432816,0.000257262,0.000180096
13,0.000233831,0.000307744,0.000242443,0.000191485,0.00021962,0.00018615,6.42E-05,4.92E-05
14,0,1.29E-08,5.69E-07,1.15E-06,1.72E-06,1.06E-06,2.84E-08,0
15,2.86E-05,1.07E-05,6.96E-06,3.37E-06,1.49E-05,2.64E-06,3.42E-06,6.71E-06
16,2.30E-07,1.39E-07,2.52E-06,0,1.49E-07,0,0,7.10E-07
17,1.15E-07,1.11E-06,4.15E-07,5.79E-07,1.97E-06,1.96E-05,3.58E-07,9.17E-07
18,0.000976399,0.002006255,0.000800534,0.000707042,0.001167059,0.000861042,0.000544986,0.000645646
19,3.92E-05,0,1.49E-06,4.83E-07,1.68E-06,0,4.48E-08,2.06E-06
20,4.51E-08,3.56E-07,2.69E-05,2.44E-06,5.06E-07,1.38E-06,2.36E-07,3.92E-06
21,2.52E-05,0.000154292,4.82E-05,4.87E-05,8.48E-05,9.45E-05,7.01E-05,5.58E-05
22,0.000119519,1.67E-05,1.44E-05,5.08E-06,1.06E-06,1.80E-05,4.16E-06,0.000133313
23,9.44E-05,0.00042818,0.000150761,5.31E-05,0.000238775,0.000202447,5.37E-05,2.00E-05
24,0.000149708,6.34E-05,0.000215427,7.62E-05,0.000278912,0.000272547,0.000169467,0.000216955
25,9.62E-06,1.17E-06,1.50E-06,2.47E-06,2.53E-06,8.59E-06,1.06E-05,8.45E-05
26,0.051405186,0.075460669,0.052661295,0.049608398,0.046522463,0.040715537,0.037983024,0.060221696
27,7.04E-05,0.037921513,0.021125659,0.003466994,0.005156356,0.00230498,0.001356779,2.33E-05
28,0.144709852,0.166371554,0.254792904,0.363214894,0.123633092,0.06614089,0.083558338,0.088872835
29,3.07E-06,0,1.68E-05,1.40E-05,3.52E-05,2.73E-05,1.36E-05,3.36E-05
30,3.31E-05,2.08E-05,4.14E-05,6.08E-06,1.32E-05,6.07E-06,1.49E-06,4.48E-05
31,0,5.00E-06,4.07E-07,2.56E-06,0,1.91E-06,0,5.08E-07
