2015,2016,2017,2018,2019,2020,2021,2022,Code
4.15E-06,3.64E-05,9.52E-06,3.70E-06,2.09E-06,1.06E-06,2.82E-06,2.61E-06,1
2.63E-05,1.10E-05,1.53E-05,3.95E-06,1.87E-06,1.07E-05,1.34E-07,4.08E-05,2
0,8.34E-07,6.83E-06,7.00E-06,4.86E-06,5.47E-05,2.20E-05,2.51E-05,3
0.000108808,2.36E-06,4.27E-05,2.85E-06,7.47E-06,6.37E-07,1.39E-06,2.21E-05,4
0,1.39E-07,8.95E-07,2.50E-07,9.71E-07,0,4.48E-08,3.39E-08,5
1.04E-06,0,0,0,2.62E-06,0,4.48E-08,3.08E-06,6
4.61E-06,1.15E-05,9.47E-05,8.23E-05,3.97E-05,3.63E-05,2.00E-05,4.10E-05,7
1.57E-05,3.41E-05,7.16E-06,2.00E-06,0,0,8.95E-08,8.60E-06,8
0.001936546,0.0028235,0.001636913,0.000901607,0.001069323,0.001207253,0.000854022,0.001055727,9
4.26E-06,1.78E-05,0.00010093,4.55E-06,1.72E-05,4.82E-06,4.48E-08,1.72E-05,10
3.45E-07,1.11E-05,0.000163228,4.32E-05,1.97E-05,4.18E-06,1.48E-06,2.48E-05,11
0.000751061,0.000996685,0.000569386,0.000393366,0.000837748,0.001135805,0.000791025,0.000465884,12
0.000278755,0.000565145,0.000322877,0.0002354,0.000307645,0.000386344,0.000140591,0.000102073,13
0,1.81E-06,5.69E-07,1.15E-06,1.72E-06,1.06E-06,7.61E-07,9.49E-07,14
7.71E-05,6.83E-05,3.26E-05,1.85E-05,4.04E-05,7.51E-06,6.22E-06,1.99E-05,15
2.30E-07,1.39E-07,4.15E-06,9.00E-07,1.49E-07,7.08E-08,0,3.46E-06,16
1.15E-07,1.11E-06,1.22E-06,3.75E-06,4.11E-06,3.17E-05,3.58E-07,4.74E-06,17
0.003288984,0.005254526,0.002848067,0.002362294,0.004945563,0.006180434,0.003967483,0.003044984,18
5.15E-05,0,5.94E-06,1.40E-06,4.86E-06,1.42E-07,4.48E-08,3.83E-06,19
3.45E-07,1.25E-06,5.51E-05,6.35E-06,4.11E-06,1.70E-06,1.84E-06,1.10E-05,20
0.000153943,0.000193804,0.000129801,0.000161365,0.000155579,0.000151677,0.000127382,9.35E-05,21
0.000167529,3.78E-05,4.72E-05,2.62E-05,7.10E-06,2.02E-05,1.07E-05,0.00013612,22
0.000599996,0.00057015,0.00037322,0.000170763,0.000285377,0.000353983,0.0001735,0.000109052,23
0.000445593,0.000170864,0.000229999,0.000172313,0.000431989,0.000353983,0.000170231,0.000247137,24
1.21E-05,5.98E-06,4.23E-06,6.40E-06,8.74E-06,1.90E-05,1.37E-05,0.000203435,25
0.105723719,0.117923682,0.122289989,0.096444137,0.096182502,0.075775943,0.078729043,0.106680576,26
0.000183188,0.041729374,0.026499409,0.007196608,0.011188735,0.004876312,0.002527501,6.70E-05,27
0.240889634,0.23100547,0.399523964,0.522542545,0.294148636,0.222637889,0.24326243,0.276105091,28
1.69E-05,0,4.04E-05,5.38E-05,0.000115077,9.93E-05,5.62E-05,7.47E-05,29
0.000173517,0.000101629,0.000133624,1.63E-05,2.57E-05,1.83E-05,7.66E-06,7.20E-05,30
0,5.00E-06,4.07E-07,1.17E-05,0,1.91E-06,0,5.08E-07,31
4.61E-07,5.56E-07,1.79E-06,1.00E-07,6.73E-07,4.96E-07,2.37E-06,1.69E-07,32
4.89E-05,0.000139722,9.78E-05,0.000100728,7.80E-05,5.45E-05,1.68E-05,2.11E-05,33
3.45E-07,0.000131659,0.000226176,0.000108927,0.000140783,2.34E-05,1.52E-06,9.82E-07,34
5.00E-05,7.02E-05,9.03E-06,1.65E-05,1.22E-05,1.13E-06,7.16E-07,3.73E-07,35
1.38E-06,6.81E-05,0,0,3.74E-07,1.20E-06,1.10E-05,1.69E-07,36
3.80E-06,5.00E-06,3.42E-06,1.50E-06,5.23E-07,4.74E-06,2.37E-06,5.52E-06,38
5.11E-05,9.50E-05,1.73E-05,3.61E-05,1.55E-05,2.17E-05,1.92E-05,2.35E-05,39
0.001176965,0.000912017,0.000920565,0.000492195,0.000587567,0.000423732,0.000235691,0.000325259,40
4.72E-06,8.62E-06,1.46E-06,3.00E-07,0,0,5.37E-07,6.78E-07,41
3.45E-07,4.03E-06,1.71E-06,1.00E-06,1.20E-05,1.66E-05,1.70E-06,3.15E-06,42
0,4.17E-07,0,0,0,0,0,0,43
0.003940333,0.005151507,0.003353528,0.002564251,0.003878257,0.004063051,0.00256838,0.002323866,44
0,0,0,0,0,2.83E-06,0,0,45
0,0,1.71E-06,0,0,0,0,0,46
7.71E-06,8.62E-06,1.15E-05,1.24E-05,1.76E-05,6.23E-06,3.81E-06,6.06E-06,48
1.17E-05,1.70E-05,6.30E-05,7.78E-05,6.37E-05,5.61E-05,7.07E-05,0.000148079,49
1.73E-06,2.50E-06,1.06E-05,2.70E-06,8.47E-05,4.93E-05,6.27E-07,1.29E-06,52
0,0,0,0,0,0,4.48E-08,3.39E-08,53
0,1.74E-05,6.75E-06,3.50E-07,2.24E-07,7.08E-08,8.95E-08,0,54
3.45E-07,2.78E-07,0,1.00E-07,9.64E-06,3.68E-06,8.95E-08,2.07E-06,55
0,1.25E-06,4.07E-07,3.00E-07,2.24E-07,0,2.24E-07,3.05E-07,56
1.15E-07,1.53E-06,1.14E-06,4.00E-07,2.99E-07,4.96E-07,4.93E-07,4.74E-07,57
0,0,0,1.50E-07,0,0,1.34E-07,6.78E-08,58
1.15E-07,0,0,0,7.47E-08,4.96E-07,0,3.39E-08,59
3.45E-07,0,0,0,0,0,0,0,60
6.91E-06,1.60E-05,1.49E-05,7.85E-06,5.01E-06,1.17E-05,1.39E-06,1.93E-06,61
1.73E-06,1.86E-05,9.03E-06,7.05E-06,8.89E-06,5.59E-06,8.78E-06,3.90E-06,62
0.000558546,0.000444052,0.000163634,8.46E-05,0.000223131,0.000254281,0.000127875,0.000142354,63
6.56E-06,3.48E-06,1.79E-06,1.55E-06,1.27E-06,1.20E-06,6.72E-07,1.56E-06,64
0,2.22E-06,2.44E-07,2.50E-06,2.62E-06,2.34E-06,4.48E-08,1.02E-07,65
0,0,8.13E-08,1.00E-07,1.42E-06,1.42E-07,0,0,66
1.38E-06,2.78E-07,1.38E-06,1.75E-06,2.24E-06,5.66E-07,3.58E-07,7.79E-07,67
5.76E-07,0,4.07E-07,6.00E-07,6.73E-07,2.83E-07,6.27E-07,3.22E-06,68
1.15E-06,3.89E-06,1.00E-05,4.60E-06,3.14E-06,4.18E-06,3.67E-06,4.30E-06,69
4.76E-05,0.000135551,9.81E-05,1.42E-05,8.59E-06,3.02E-05,4.61E-06,1.34E-05,70
2.23E-05,3.34E-06,2.93E-06,0.010947005,0.01674772,0.008292578,0.00579006,0.029071564,71
0.000434655,0.000198392,0.000114512,0.000113026,6.31E-05,6.80E-05,5.11E-05,6.55E-05,72
0.000137938,0.000163496,0.000106704,6.53E-05,0.000149078,0.000108199,4.47E-05,7.16E-05,73
0.597222792,0.5670179,0.425113544,0.348780874,0.558219182,0.654763189,0.650107198,0.570343628,74
1.50E-06,5.42E-05,3.99E-05,0.000120474,0.000173438,0.000214981,0.000159306,0.000139914,76
0.000219227,0.00038872,0.000126874,7.71E-05,6.73E-05,3.26E-05,4.97E-05,3.19E-05,78
0.001877594,0.002664175,0.001865529,3.61E-05,0.000139064,0.002089342,0.001242707,0.001214308,79
0.025646939,0.011625577,0.008291674,0.00083867,0.002571232,0.010473549,0.006235339,0.005386229,81
0.000109498,0.000204092,2.54E-05,2.28E-05,2.32E-05,4.62E-05,5.69E-05,4.58E-05,82
6.22E-06,2.22E-05,1.55E-06,4.20E-06,2.47E-06,3.97E-06,1.97E-06,4.81E-06,83
0.00248945,0.002832953,0.001771268,0.001271328,0.001056171,0.002169146,0.000740385,0.000491123,84
0.00043903,0.000895612,0.000383792,0.00027919,0.000545123,0.000329907,0.000168306,0.000147842,85
0.001569824,0.000506058,0.000153387,0.000597022,3.32E-05,2.76E-05,6.81E-05,1.98E-05,86
0.007588325,0.002187034,0.00086762,0.001713983,0.003227846,0.002244347,0.00049059,0.000865707,87
0.000420608,0.001640241,0.000186732,0.000157016,0.001009468,0.000249254,0.000632166,0.000126499,88
3.45E-07,0.00017434,3.89E-05,0.000148318,0.000257803,0.000138718,1.43E-06,1.00E-05,89
0.000181576,0.000348541,0.000203811,0.000159966,0.00021252,0.000147357,7.09E-05,8.12E-05,90
1.15E-06,0,1.95E-06,5.00E-08,0,7.08E-08,4.48E-08,3.39E-08,91
8.41E-06,8.34E-07,2.11E-06,5.00E-07,1.35E-06,3.61E-06,4.93E-07,1.19E-06,92
0.000585258,2.68E-05,0.000380295,0.000175112,0.00020288,5.23E-05,7.04E-05,9.90E-05,93
0.000187218,0.000188243,7.76E-05,3.86E-05,0.000214537,0.000103667,2.46E-05,3.70E-05,94
2.88E-06,9.45E-06,4.47E-06,3.00E-06,2.04E-05,8.21E-06,5.95E-06,2.13E-06,95
6.91E-07,2.36E-06,1.72E-05,2.30E-05,2.15E-05,9.21E-07,4.93E-07,1.05E-06,96
5.64E-06,4.31E-06,5.45E-06,9.50E-06,2.04E-05,1.95E-05,1.39E-05,2.04E-05,97
