Code,2015,2016,2017,2018,2019,2020,2021,2022
1,36,262,117,74,28,15,63,77
2,228,79,188,79,25,151,3,1204
3,0,6,84,140,65,772,492,742
4,945,17,525,57,100,9,31,651
5,0,1,11,5,13,0,1,1
6,9,0,0,0,35,0,1,91
7,40,83,1164,1647,531,512,446,1211
8,136,245,88,40,0,0,2,254
9,16819,20309,20127,18036,14310,17049,19074,31163
10,37,128,1241,91,230,68,1,508
11,3,80,2007,864,264,59,33,731
12,6523,7169,7001,7869,11211,16040,17667,13752
13,2421,4065,3970,4709,4117,5456,3140,3013
14,0,13,7,23,23,15,17,28
15,670,491,401,371,541,106,139,588
16,2,1,51,18,2,1,0,102
17,1,8,15,75,55,447,8,140
18,28565,37795,35019,47256,66183,87281,88611,89882
19,447,0,73,28,65,2,1,113
20,3,9,677,127,55,24,41,324
21,1337,1394,1596,3228,2082,2142,2845,2760
22,1455,272,580,524,95,285,240,4018
23,5211,4101,4589,3416,3819,4999,3875,3219
24,3870,1229,2828,3447,5781,4999,3802,7295
25,105,43,52,128,117,269,306,6005
26,918216,848207,1503642,1929296,1287143,1070119,1758359,3149003
27,1591,300153,325829,143963,149731,68864,56450,1979
28,2092139,1661587,4912430,10453090,3936385,3144125,5433099,8150085
29,147,0,497,1076,1540,1402,1256,2205
30,1507,731,1643,327,344,258,171,2124
31,0,36,5,235,0,27,0,15
32,4,4,22,2,9,7,53,5
33,425,1005,1203,2015,1044,769,376,622
34,3,947,2781,2179,1884,330,34,29
35,434,505,111,331,163,16,16,11
36,12,490,0,0,5,17,246,5
38,33,36,42,30,7,67,53,163
39,444,683,213,723,207,306,428,695
40,10222,6560,11319,9846,7863,5984,5264,9601
41,41,62,18,6,0,0,12,20
42,3,29,21,20,161,234,38,93
43,0,3,0,0,0,0,0,0
44,34222,37054,41234,51296,51900,57379,57363,68596
45,0,0,0,0,0,40,0,0
46,0,0,21,0,0,0,0,0
48,67,62,141,249,235,88,85,179
49,102,122,775,1556,853,792,1578,4371
52,15,18,130,54,1134,696,14,38
53,0,0,0,0,0,0,1,1
54,0,125,83,7,3,1,2,0
55,3,2,0,2,129,52,2,61
56,0,9,5,6,3,0,5,9
57,1,11,14,8,4,7,11,14
58,0,0,0,3,0,0,3,2
59,1,0,0,0,1,7,0,1
60,3,0,0,0,0,0,0,0
61,60,115,183,157,67,165,31,57
62,15,134,111,141,119,79,196,115
63,4851,3194,2012,1692,2986,3591,2856,4202
64,57,25,22,31,17,17,15,46
65,0,16,3,50,35,33,1,3
66,0,0,1,2,19,2,0,0
67,12,2,17,35,30,8,8,23
68,5,0,5,12,9,4,14,95
69,10,28,123,92,42,59,82,127
70,413,975,1206,285,115,427,103,397
71,194,24,36,218987,224123,117109,129317,858136
72,3775,1427,1408,2261,845,961,1141,1933
73,1198,1176,1312,1307,1995,1528,999,2113
74,5186911,4078473,5227072,6977112,7470256,9246662,14519697,16835434
76,13,390,490,2410,2321,3036,3558,4130
78,1904,2796,1560,1543,900,461,1109,943
79,16307,19163,22938,722,1861,29506,27755,35844
81,222745,83621,101952,16777,34409,147909,139262,158991
82,951,1468,312,457,310,652,1270,1351
83,54,160,19,84,33,56,44,142
84,21621,20377,21779,25432,14134,30633,16536,14497
85,3813,6442,4719,5585,7295,4659,3759,4364
86,13634,3640,1886,11943,444,390,1521,583
87,65905,15731,10668,34287,43196,31695,10957,25554
88,3653,11798,2296,3141,13509,3520,14119,3734
89,3,1254,478,2967,3450,1959,32,296
90,1577,2507,2506,3200,2844,2081,1583,2398
91,10,0,24,1,0,1,1,1
92,73,6,26,10,18,51,11,35
93,5083,193,4676,3503,2715,739,1572,2922
94,1626,1354,954,772,2871,1464,550,1092
95,25,68,55,60,273,116,133,63
96,6,17,211,461,288,13,11,31
97,49,31,67,190,273,275,311,602
TOTAL,8685052,7192847,12295708,20004285,13382299,14122147,22334312,29518054
