Exporters,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,552789,358367,383043,421781,570107,476465,797021,1253296
China,182123,144784,168015,219166,356302,307558,437304,809432
South Africa,156893,51123,67084,68346,55959,49429,137444,156535
India,31173,17367,12981,12796,28400,15135,57506,91218
Italy,5916,6546,6959,6095,11395,3991,8209,17282
Brazil,3958,3528,2142,4595,4399,5652,7703,16011
United Arab Emirates,21371,6023,5446,18826,9241,13050,12097,15424
Belgium,13253,19336,24944,7764,6420,5844,14312,14911
United States of America,16636,16964,12100,15179,18133,18090,11775,11749
Germany,15907,16835,14416,6961,8247,4932,12326,10802
France,19104,12914,7861,7614,7181,4887,8411,10308
Zambia,2612,1372,2182,2234,8831,4305,4128,8852
Türkiye,7343,6137,3664,4320,4881,4430,5336,8504
Spain,5979,6393,1460,2202,2150,1816,5099,7778
Mexico,714,568,3676,3090,3261,3409,2257,5689
Egypt,136,744,676,901,1334,168,5859,5400
Finland,1446,1160,1658,2269,1442,5035,7916,5355
Lebanon,5314,2975,1755,1942,3804,2100,5173,4781
Slovakia,40,275,850,2310,1722,366,1285,4356
Canada,1428,3445,2349,1379,2142,710,7354,3212
Sweden,9580,1688,1582,1016,1504,765,3012,3001
Czech Republic,1665,1136,2548,1288,1821,1266,1985,2917
Malaysia,1223,798,1279,1375,1428,1426,1093,2899
Japan,1578,1171,1048,1392,1138,906,1720,2785
United Kingdom,5397,3859,3225,3580,3354,4303,2839,2703
Switzerland,2429,3343,1817,1121,1145,717,4313,2604
"Hong Kong, China",5143,3184,13352,6823,1659,1597,3644,2505
Poland,328,1923,292,600,1897,329,1469,1950
Kenya,997,656,395,507,1009,1101,893,1927
Netherlands,2799,921,1256,1810,1070,2143,1418,1922
Israel,1076,1576,581,274,2868,69,1073,1751
"Taipei, Chinese",296,1253,417,521,1387,530,736,1684
Australia,4650,5298,4083,2629,3373,2052,1697,1479
"Tanzania, United Republic of",700,208,107,218,287,295,1488,1329
Singapore,4146,423,822,347,790,387,1851,1289
Indonesia,609,260,698,1702,50,624,1204,1247
"Macedonia, North",5,0,0,1,0,241,240,1143
Angola,23,193,48,77,114,53,259,927
"Korea, Republic of",2252,1959,653,646,331,467,4787,804
Denmark,1357,664,947,1170,952,321,578,775
Uganda,539,610,1665,1350,902,442,149,661
Senegal,46,139,131,62,366,1808,210,609
Thailand,2653,1112,211,285,405,90,1206,537
Estonia,201,492,122,30,280,48,592,534
Viet Nam,244,339,49,48,494,179,96,511
Ireland,14,198,92,45,76,338,78,495
Morocco,656,656,1557,239,735,163,488,446
Portugal,559,564,103,20,384,255,708,406
Tunisia,119,135,120,14,179,400,120,389
Saudi Arabia,418,31,32,15,6,4,1013,357
Pakistan,346,991,585,22,4,50,30,321
Philippines,617,227,314,265,981,250,498,281
Austria,135,400,79,75,43,40,65,256
Romania,1210,528,100,126,71,35,176,210
Russian Federation,111,196,8,4,235,270,120,195
Nigeria,120,274,70,166,31,103,162,190
Lithuania,1,42,0,27,79,12,21,178
Bulgaria,93,58,71,31,219,494,114,152
Côte d'Ivoire,20,110,32,60,18,44,11,122
"Congo, Democratic Republic of the",0,0,0,0,0,0,0,115
Zimbabwe,235,532,49,0,171,35,0,100
Qatar,0,0,9,55,78,0,0,89
New Zealand,4,4,35,188,43,42,104,77
Hungary,150,126,195,134,248,80,355,74
Jordan,2,11,0,0,18,1,0,66
Rwanda,132,75,47,138,12,15,52,65
Chile,189,23,100,39,171,104,231,64
Slovenia,6,68,22,131,21,41,16,58
Eswatini,37,19,56,287,1,3,7,49
Peru,2,0,1,0,0,0,0,44
Ukraine,115,2,879,19,1468,5,5,42
Sri Lanka,0,0,0,1,0,3,0,36
Greece,134,78,165,168,135,1,3,30
Uruguay,7,58,0,0,0,0,0,30
Costa Rica,7,29,14,13,11,7,12,27
El Salvador,1,0,0,1,0,0,5,26
Iceland,232,5,3,18,14,0,33,26
Niger,7,2,0,3,1,0,3,15
Congo,27,11,4,22,8,3,104,11
Dominican Republic,5,2,2,0,8,1,0,11
Gabon,2,4,19,0,29,8,0,10
Mauritius,161,102,167,23,205,0,620,10
Namibia,79,181,109,28,85,372,10,10
Ethiopia,0,12,3,6,22,1,10,9
Luxembourg,182,13,11,43,67,6,10,9
Botswana,51,0,0,0,42,0,78,8
Comoros,0,0,0,0,0,0,0,7
Djibouti,0,0,0,0,0,0,0,7
Georgia,4,1,0,0,0,0,0,7
Ghana,128,44,28,2,2,6,100,7
Turks and Caicos Islands,173,32,0,0,5,0,0,7
Lesotho,6,4,1,4,9,1,21,6
Mali,2,37,1,0,5,0,3,6
Norway,611,125,101,52,48,7,15,5
Sierra Leone,16,440,17,0,1,3,41,5
Chad,4,0,0,0,0,0,0,4
"Iran, Islamic Republic of",4,0,11,0,2,5,0,4
Andorra,1,8,0,0,0,1,6,3
Argentina,4,0,1,0,6,0,9,3
Kuwait,54,0,1,0,6,8,1,3
Serbia,0,5,1,7,6,40,171,3
Bangladesh,30,46,0,340,51,15,263,2
