Code,2015,2016,2017,2018,2019,2020,2021,2022
1,1219,815,651,1475,1106,587,1045,3193
2,194337,130546,133250,114706,95506,103616,99100,109866
3,151081,95103,74878,77141,56817,50111,52820,103772
4,49802,42540,33154,18352,36896,18607,21244,38407
5,3656,1430,1570,1854,2031,1224,1882,2068
6,130,101,127,225,325,191,205,257
7,17065,15480,14021,16356,13855,15691,21902,44602
8,4014,3678,3631,3096,3744,3876,6211,5801
9,4525,3403,2611,2431,3116,2186,3482,2920
10,228497,161194,151504,143269,197216,159359,222387,240542
11,72995,65355,75198,49330,50680,49009,87399,144318
12,1618,809,1188,3119,3056,1039,4944,1834
13,3010,1916,2333,3359,3237,1951,4874,6213
14,85,6,38,5,1,1,2,32
15,27884,27512,39454,22722,28935,13750,70392,32668
16,37775,16684,14990,16271,14105,13291,12754,20380
17,64208,44525,35815,37208,29908,49518,55119,65756
18,2959,2226,2048,1262,1326,1762,2268,2233
19,72068,56644,42568,46956,38596,48090,68019,114365
20,33770,30483,25707,20061,16684,16914,16191,23584
21,47013,43347,40424,34891,35309,60601,101290,96522
22,28280,23773,22441,22005,25772,25676,38412,100777
23,6605,6145,7852,9711,8307,4640,5687,7682
24,89918,71510,63504,46562,28670,5093,60659,76230
25,649791,427147,340337,533942,582505,541586,945826,1945182
26,1237,379,115,505,6196,25374,9225,257
27,519512,333864,257632,305126,384047,335547,2109725,11635022
28,440815,156849,217335,445507,449373,293958,468559,1018655
29,54963,37926,38027,49429,32079,36301,71842,116235
30,311641,319632,194539,211014,510107,167330,372632,411183
31,55868,35809,45801,57508,83530,65043,52818,108778
32,18338,11667,10444,14399,14659,12761,26738,30021
33,40250,28636,35559,35136,24423,26664,44025,44812
34,27338,18583,17339,18428,17113,21906,43076,43763
35,5668,4731,4641,5234,5366,5613,8464,12586
36,38872,19992,17914,20216,28359,18165,50681,62762
37,987,363,344,450,346,206,194,253
38,145783,75953,95876,104773,125569,137476,247406,333773
39,288761,171297,179129,240029,286541,221457,426285,632339
40,108058,71632,66822,78026,84596,71554,140139,214491
41,300,300,1575,1412,2342,2414,2556,3150
42,8756,5560,5851,6468,5784,3997,6060,8984
43,4,5,3,3,1,0,29,3
44,8188,7145,6022,6513,6573,6468,15740,20771
45,550,1081,1585,954,1475,725,392,151
46,65,73,99,56,111,347,601,726
47,538,1484,1317,591,761,528,1402,1772
48,57007,36905,31166,33352,34626,32052,40066,61706
49,584614,562223,1307496,1903912,1811407,1199086,245938,83816
50,162,7,15,1,4,4,1,10
51,709,171,236,202,215,233,170,339
52,52922,38047,28309,25093,26258,15679,23422,35978
53,320,62,35,38,36,68,763,380
54,6284,2049,1975,1866,2706,2658,3688,7854
55,6140,2320,3270,10507,11926,16537,19244,19324
56,8356,7288,4227,7012,10568,10398,18203,30398
57,1807,1161,594,611,908,527,1717,2116
58,485,369,228,409,327,208,477,528
59,44587,5191,4951,7571,10613,10263,11348,16061
60,128,315,352,390,322,336,395,572
61,7269,5053,5021,5928,5899,6187,11639,20443
62,9959,8782,10796,12464,17153,16798,31670,48169
63,157525,126635,143766,164102,160002,130488,291689,397611
64,12836,7847,7313,9363,10021,8606,14249,23385
65,1025,1456,898,821,2293,681,1086,3002
66,1742,1448,1218,737,1053,706,951,1461
67,10862,6698,7708,7575,6608,6149,10090,11585
68,9129,7749,6902,10252,12444,11622,14985,22682
69,46541,32817,28862,35665,44615,36044,39533,60135
70,27452,19608,18381,20323,27652,18585,31288,101031
71,728,308,307,541,1238,168,1153,1129
72,135557,68955,69363,174241,207059,126133,213979,417261
73,413368,210520,216967,298644,384130,302023,653989,1004302
74,8157,4986,5541,9466,13506,8292,18050,38812
75,449,346,246,482,71,176,100,461
76,21066,17756,14130,13373,13504,14380,23080,49409
78,20275,11033,9901,22734,48786,26637,43662,52544
79,115,172,40,423,317,306,195,804
80,226,50,120,752,369,272,1402,185
81,108,21,9,59,200,5573,1117,890
82,41569,28202,39446,55120,53659,29003,35906,48152
83,18573,12036,12118,14634,20575,15175,24406,40623
84,1210555,759290,646087,1062929,1266981,920913,1829090,3170986
85,553309,358655,383314,422252,570373,476537,797022,1253296
86,9066,8873,7474,14066,20045,19115,27741,19896
87,545273,358656,321618,570971,492000,378921,1156667,1499984
88,8394,55938,13462,13972,15406,8563,33772,46684
89,4912,2666,1275,4066,6456,3087,6437,11437
90,71570,74638,58429,75871,83451,80342,158743,271511
91,1535,1184,871,936,931,1418,1922,2451
92,512,219,395,294,282,280,436,825
93,13,3798,447,3600,870,5680,4793,17439
94,67831,47852,46576,69999,64662,60921,102371,183806
95,6607,5399,3789,5081,5924,6416,8564,10723
96,11246,10591,10125,9466,9185,6510,11717,14454
97,341,103,74,144,110,138,205,137
99,0,0,0,0,0,0,0,1
TOTAL,8068012,5491784,5803108,7930393,8824802,6663099,11971835,26996482
