Importers,Exported value in 2003,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,93,584,132,0,417,664,815,3705,3001,2115,10065,8981,0,51,1864,670,2336,2503,7135,2446
United States of America,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1145
India,0,0,0,0,0,0,0,0,8,109,0,0,0,0,61,0,0,554,5063,805
Somalia,0,0,0,0,0,0,9,49,20,0,0,0,0,34,0,0,0,58,14,231
Viet Nam,0,0,0,0,0,0,0,63,0,429,1382,1314,0,0,852,407,32,173,1364,158
Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,170,105
Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,348,259,0,1
France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0
China,0,0,0,0,108,359,581,3441,2872,1509,8617,7644,0,0,886,215,283,0,0,0
Djibouti,85,231,50,0,261,9,108,11,41,12,12,22,0,0,26,0,0,452,196,0
"Hong Kong, China",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0
Indonesia,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0
Iraq,0,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Israel,0,0,0,0,1,55,0,9,0,0,0,0,0,0,0,0,0,0,1,0
Jordan,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya,0,0,10,0,0,0,0,0,0,0,0,0,0,17,0,0,217,80,2,0
Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pakistan,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
Qatar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,50,0,0
Russian Federation,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia,0,159,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Singapore,0,0,0,0,0,228,0,66,0,23,53,0,0,0,0,0,0,42,258,0
Sudan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,72,0,0
Sudan (before 2012),0,0,0,0,47,12,117,13,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,48,970,322,0,0
Türkiye,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
Uganda,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Egypt,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,198,64,0,0
United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Yemen,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,65,0
HHI,0.720094716,0.013187816,0.324523235,0,0.373370219,0.402141092,0.478504697,0.893851455,0.93131328,0.56704941,0.734185511,0.67731507,0,0.130590976,0.386215666,0.381476928,0.230340086,0.139202843,0.614998735,0.298909014
