code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,0.316333715,0.271075097,0.399842298,0.616921538,0.178907007,0.158444961,0.338169338,0.287433516,0.306808384,0.236850418,0.301915994,0.312208357,0.286600529,0.365761059,0.311975902,0.440560645,0.630749246,0.440492988,0.377929016,0.490191838
2,0.535959509,0.549233702,0.483877807,1,0.555436581,0.557917373,0.59426161,0.550134338,0.5215292,0.547302808,0.522341625,0.594384766,0.60140244,0.589364605,0.528779926,0.576129678,0.541822919,0.542508109,0.532107917,0.514410181
3,0.258380137,0.096606442,0.410664551,1,1,1,0.960835151,0.99233625,1,1,1,1,1,1,1,1,1,0.000862829,0.158600372,0.370619179
4,0.638846739,0.674614522,0.316855819,0.810808721,0.590014385,0.293346716,0.31211318,0.478658755,0.433926789,0.296731735,0.388045529,0.250202096,0.235915313,0.255888122,0.210115309,0.233956408,0.268018821,0.32129648,0.3793403,0.24460892
5,0.333597471,0.272496177,0.234994514,1,0.318372719,0.213758784,0.301684027,0.23057644,0.216680633,0.367076051,0.304362592,0.423812286,0.24794369,0.242435277,0.134086715,0.121739663,0.168492918,0.299557495,0.589990848,0.268727908
6,0.246472803,0.389630945,0.499665988,0.317302886,0.673435712,0.765780654,0.809223334,0.817011662,0.824503255,0.800180878,0.799551187,0.788220873,0.779398657,0.742159186,0.746666359,0.737621599,0.721792673,0.772833031,0.691041748,0.716231495
7,0.243832416,0.198866193,0.209345406,0.622176372,0.185024115,0.248163493,0.392562618,0.436905295,0.42284241,0.388261959,0.412900439,0.413018785,0.439785367,0.413423465,0.381063592,0.413307815,0.442102272,0.467476015,0.50138083,0.434870816
8,0.838192723,0.92479357,0.913757281,0.487224175,0.885926183,0.427884169,0.79052447,0.584821344,0.631961822,0.60198846,0.523457178,0.422892711,0.478618234,0.356558604,0.340419798,0.369297886,0.35467086,0.344181867,0.304744105,0.311747803
9,0.300324437,0.315719472,0.312208683,0.189161942,0.263177222,0.256600536,0.281448032,0.303003764,0.273945093,0.266901261,0.226214332,0.227086251,0.226841508,0.210208069,0.214459844,0.224396392,0.224797081,0.221757306,0.220341057,0.20857788
10,0.299491896,0.282209195,0.242604854,1,0.201753037,0.497569156,0.398904605,0.65987022,0.437244002,0.380488301,0.627214281,0.460075854,0.44733898,0.469103811,0.887492047,0.476581968,0.303869608,0.457478284,0.732404038,0.435547923
11,0.556074491,0.434681818,0.31543081,1,0.162383286,0.241248103,0.440201257,0.575639155,0.425830558,0.176014538,0.206448935,0.208912335,0.198822678,0.238919139,0.271151434,0.275208342,0.190878007,0.336840792,0.399066286,0.416185419
12,0.183298533,0.205595978,0.289835117,0.203854349,0.273419079,0.236590554,0.446568186,0.512146424,0.572010391,0.512599415,0.458607246,0.549954435,0.493369018,0.530580001,0.425297578,0.276536609,0.238206094,0.254895035,0.242013233,0.242015758
13,0.217354341,0.167010505,0.165032679,0.180340577,0.153139763,0.18482134,0.198142653,0.207441117,0.231043988,0.248518842,0.226340927,0.210360553,0.227403247,0.182334477,0.300855415,0.177482669,0.362155879,0.184176229,0.219726881,0.218125316
14,0.693987417,0.569589855,0.575506705,0.172940762,0.63828325,0.735967785,0.590324491,0.318490639,0.927560305,0.99334348,1,1,0.965264985,1,0.757547386,1,0.556142721,0.921544793,1,1
15,0.19174804,0.16295316,0.310185377,0,0.219226872,0.255585761,0.351722761,0.335654573,0.277614503,0.317482704,0.11158822,0.226981599,0.137809702,0.30091076,0.352311004,0.264712466,0.306776459,0.286049984,0.248459616,0.210837229
16,0,0,0,0,1,0,1,1,0.443170252,0.848575239,0.246632178,0.46626688,0.805433919,0.765493476,1,0,0,0,1,0
17,0.263963236,0.985019026,0.525053306,0,0.727592156,0.779432676,0.914860671,0.603553391,0.833778601,0,0,1,1,1,0.601491521,0.921053344,0.957989831,0.786905205,1,0
18,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
19,0.405137803,0.563113216,0.791418992,0,0.425928604,0.601316603,0.574022391,0.44494213,0.39221373,0.43412342,0.37369578,0.36634204,0.398971838,0.408792345,0.361933339,0.339318609,0.322980855,0.349646097,0.37263536,0.459362142
