Code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,0.002142143,0.007383915,0.025188137,0.030400945,0.033865503,0.030173813,0.040705366,0.059705753,0.07383578,0.065448558,0.069763825,0.056845458,0.059489151,0.034688606,0.02163004,0.015836438,0.022148855,0.016776046,0.010997737,0.008793435
2,0.012483792,0.01348459,0.020321786,0.017530019,0.011426818,0.01828551,0.017061051,0.022332551,0.029961798,0.026523931,0.02801537,0.027078668,0.035311522,0.035799109,0.033916802,0.038017631,0.029017334,0.026356364,0.030766323,0.029465156
3,9.96E-05,2.28E-05,3.36E-05,0.000232644,0.00050538,0.000256018,0.000174072,0.000207236,0.000164811,0.000171816,0.000149361,0.000130628,0.000121984,9.02E-05,6.53E-05,3.71E-05,2.99E-05,7.40E-05,1.34E-05,2.24E-05
4,0.000318295,0.000648939,0.000359958,0.000606944,0.001176402,0.000638424,0.001077237,0.001347265,0.001253981,0.001285522,0.001417576,0.001012453,0.000923221,0.000765693,0.000601902,0.000258252,0.000224755,0.000295699,0.000290094,0.000219212
5,0.001107197,0.000899406,0.001275674,0.000891287,0.000660036,0.000399258,0.000498783,0.000536018,0.000737127,0.00088936,0.000840203,0.000883168,0.00076898,0.000852469,0.000699715,0.000884418,0.000533141,0.000592189,0.000797023,0.000609966
6,0.003516864,0.004464504,0.013619058,0.026251601,0.073899511,0.080295633,0.098640499,0.074362669,0.074330607,0.067282725,0.07239983,0.066724851,0.080643511,0.08263062,0.077526914,0.084941573,0.08452481,0.085787427,0.094903927,0.082749147
7,0.048937325,0.060203302,0.040564461,0.051240719,0.089218935,0.144775842,0.192599134,0.184253444,0.161890946,0.175717489,0.208453587,0.190188038,0.184007148,0.201439564,0.188068999,0.207035447,0.204509443,0.21901528,0.212110102,0.171772093
8,0.003171231,0.00322843,0.002158757,0.002034864,0.001692768,0.002006662,0.001908765,0.002093313,0.001556069,0.001630979,0.001894991,0.00203901,0.002003278,0.003017664,0.002807944,0.00387078,0.003485575,0.004689218,0.004834465,0.00358878
9,0.374435662,0.402717736,0.389329826,0.40522323,0.359392497,0.369049448,0.250798053,0.327899879,0.344425372,0.332172205,0.245585753,0.275276066,0.297374568,0.289499991,0.336419114,0.304179596,0.303335713,0.321419622,0.395572517,0.494445774
10,0.022419274,0.01506709,0.01533479,0.00319912,0.000722574,0.000533425,4.75E-05,0.008154373,0.008442735,0.000997338,0.001277864,0.005668729,0.002846412,0.002027576,0.009387992,0.000653863,0.000261343,0.002091266,0.003806871,0.0023455
11,0.001794557,0.00100675,0.000940439,0.000283309,0.000374387,0.00018537,0.000214912,0.000376284,0.000718246,0.000254989,0.000353912,0.000389198,0.00071151,0.000554296,0.00052435,0.000573019,0.000522687,0.000771508,0.000952045,0.001221554
12,0.120485292,0.142533951,0.203152596,0.172247894,0.134402237,0.166425232,0.251449483,0.155669362,0.143386078,0.178066741,0.197790696,0.223975089,0.167349133,0.197578224,0.155898166,0.152842283,0.156603327,0.173925005,0.133170506,0.092222268
13,0.008088201,0.006717085,0.00529652,0.006376526,0.005529596,0.005248042,0.006903958,0.00608062,0.004891233,0.0038956,0.004877188,0.003547111,0.003780014,0.003437017,0.004205278,0.002165196,0.002608581,0.001412386,0.001004373,0.000388809
14,0.215278537,0.051614215,0.084338874,0.088748176,0.089457258,0.019417174,3.88E-05,3.73E-06,5.11E-05,0.000388867,0.000425312,5.00E-05,0.000150904,3.06E-05,6.29E-06,1.12E-06,3.73E-06,1.70E-05,2.94E-06,1.62E-06
15,0.002573696,0.002249329,0.001415108,0.001547861,0.001640371,0.00114333,0.001145527,0.00070693,0.00074342,0.000810565,0.000980301,0.001267329,0.001413751,0.000764546,0.00102215,0.001236988,0.000948677,0.001718377,0.001161357,0.002602003
16,0,0,0,0,5.92E-06,0,6.70E-07,1.40E-06,0.000452346,0.000325758,1.58E-05,1.28E-05,6.30E-06,4.97E-06,1.05E-06,0,0,0,1.50E-05,0
17,0.030423508,0.001849232,0.010302305,0.001176664,0.016140878,0.009635346,0.010130313,3.26E-06,7.47E-06,0,0,3.36E-07,3.71E-06,0.002181632,0.002857898,0.001290884,0.001188366,0.000358638,7.13E-05,0
18,0,0.011373506,0.015897471,0.004610496,0,0,0,0,0,0,3.86E-07,0,0,0,0,2.99E-06,0,0,0,0
19,0.000353444,0.000479792,0.000534992,0.00043427,0.000628767,0.000990368,0.0013591,0.001412928,0.00161271,0.001749171,0.002578499,0.002958445,0.004210479,0.004580014,0.004452956,0.004898921,0.004238617,0.004263285,0.004069166,0.005188765
20,0.000158171,0.003178011,0.003289064,0.004372682,0.00014367,0.000344166,0.000173402,0.000825683,0.001233133,0.001184111,0.001113066,0.001000028,0.001208344,0.001231302,0.002165868,0.002201876,0.003189883,0.002522345,0.000586075,0.001589609
21,0.000126927,4.88E-05,0.000138445,0.000154062,0.00014367,2.07E-05,2.34E-05,0.000319469,8.22E-05,0.000114179,7.72E-07,2.01E-06,0.000154982,9.86E-05,1.75E-06,4.98E-05,0.000247156,0.000453246,0.000742732,0.00038816
22,0.000681502,0.000744897,0.00100175,0.000579026,0.000420023,0.000547036,0.00070633,0.000869924,0.00145852,0.001696277,0.001725561,0.00098626,0.001428582,0.001302404,0.001097606,0.001221268,0.001344052,0.001382302,0.001139772,0.001326944
23,0.000181604,0.000949825,0.000163168,6.20E-05,0.000352414,0.000430369,0.000545648,0.001725411,0.001180425,0.000771532,0.003884538,0.003015867,0,1.95E-05,0.000651158,0.000250766,0.00087214,0.000990808,0.002333507,0.000793183
24,0,0,0,0,7.44E-05,8.30E-05,0.000158673,0.000139709,0.000207292,3.72E-05,9.53E-05,2.35E-05,2.85E-05,8.41E-06,0,3.74E-07,4.63E-05,0.00016586,9.48E-06,5.19E-06
25,0.000402262,0.000374075,0.001166896,0.000183014,0.00029241,0.000362314,0.00027182,0.000441016,0.000105023,0.000164885,0.001157835,0.005303037,0.004795927,0.005231025,0.005129964,0.007729209,0.003272766,0.00138151,0.000215854,0.000798047
26,0.005955821,0.005261446,0.00616477,0.004175193,0.006850513,0.003371658,0.006187585,0.007220649,0.010015325,0.005633827,0.000770346,0.003720387,0.002381094,0.002568875,0.003434998,0.004582656,0.002958034,0.002250001,0.002238663,0.004795092
27,0,4.07E-05,4.05E-05,0,6.25E-05,4.80E-05,8.03E-06,0,0,1.90E-05,1.93E-06,6.72E-07,0,5.35E-05,1.05E-05,0,1.12E-06,4.67E-05,6.54E-07,8.17E-05
