Code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,1097,4540,25471,29402,40072,46554,60799,128207,187713,179414,180761,169281,160447,90743,61918,42312,59325,42380,33627,27117
2,6393,8291,20550,16954,13521,28212,25483,47955,76172,72710,72589,80638,95238,93648,97090,101576,77722,66582,94072,90864
3,51,14,34,225,598,395,260,445,419,471,387,389,329,236,187,99,80,187,41,69
4,163,399,364,587,1392,985,1609,2893,3188,3524,3673,3015,2490,2003,1723,690,602,747,887,676
5,567,553,1290,862,781,616,745,1151,1874,2438,2177,2630,2074,2230,2003,2363,1428,1496,2437,1881
6,1801,2745,13772,25389,87443,123885,147333,159680,188971,184442,187591,198701,217502,216156,221928,226948,226397,216718,290181,255180
7,25061,37016,41020,49557,105570,223369,287673,395650,411576,481694,540112,566364,496282,526952,538365,553160,547772,553281,648554,529707
8,1624,1985,2183,1968,2003,3096,2851,4495,3956,4471,4910,6072,5403,7894,8038,10342,9336,11846,14782,11067
9,191750,247611,393702,391908,425258,569392,374601,704104,875634,910583,636323,819749,802043,757312,963031,812711,812475,811977,1209514,1524761
10,11481,9264,15507,3094,855,823,71,17510,21464,2734,3311,16881,7677,5304,26874,1747,700,5283,11640,7233
11,919,619,951,274,443,286,321,808,1826,699,917,1159,1919,1450,1501,1531,1400,1949,2911,3767
12,61701,87637,205434,166588,159034,256771,375574,334271,364531,488134,512484,666979,451354,516851,446273,408366,419457,439373,407186,284393
13,4142,4130,5356,6167,6543,8097,10312,13057,12435,10679,12637,10563,10195,8991,12038,5785,6987,3568,3071,1199
14,110245,31735,85286,85832,105852,29958,58,8,130,1066,1102,149,407,80,18,3,10,43,9,5
15,1318,1383,1431,1497,1941,1764,1711,1518,1890,2222,2540,3774,3813,2000,2926,3305,2541,4341,3551,8024
16,0,0,0,0,7,0,1,3,1150,893,41,38,17,13,3,0,0,0,46,0
17,15580,1137,10418,1138,19099,14866,15131,7,19,0,0,1,10,5707,8181,3449,3183,906,218,0
18,0,6993,16076,4459,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0
19,181,295,541,420,744,1528,2030,3034,4100,4795,6681,8810,11356,11981,12747,13089,11353,10770,12442,16001
20,81,1954,3326,4229,170,531,259,1773,3135,3246,2884,2978,3259,3221,6200,5883,8544,6372,1792,4902
21,65,30,140,149,170,32,35,686,209,313,2,6,418,258,5,133,662,1145,2271,1197
22,349,458,1013,560,497,844,1055,1868,3708,4650,4471,2937,3853,3407,3142,3263,3600,3492,3485,4092
23,93,584,165,60,417,664,815,3705,3001,2115,10065,8981,0,51,1864,670,2336,2503,7135,2446
24,0,0,0,0,88,128,237,300,527,102,247,70,77,22,0,1,124,419,29,16
25,206,230,1180,177,346,559,406,947,267,452,3000,15792,12935,13684,14685,20651,8766,3490,660,2461
26,3050,3235,6234,4038,8106,5202,9242,15505,25462,15444,1996,11079,6422,6720,9833,12244,7923,5684,6845,14787
27,0,25,41,0,74,74,12,0,0,52,5,2,0,140,30,0,3,118,2,252
28,0,12,3,0,0,109,89,123,49,56,24,35,46,55,620,324,339,319,2814,8888
29,11,0,34,0,40,0,48,1,0,0,3,0,0,0,0,0,373,58,337,54
30,107,95,294,238,443,1952,562,1420,1331,1015,645,762,826,1515,1616,986,1195,1670,1925,2244
31,44,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1215
32,0,0,0,0,0,0,0,110,183,107,32,2,5,64,7,29,36,2,7,8
33,51,58,64,414,611,1015,1816,2492,3902,3433,2425,1537,1445,616,413,318,1995,2628,2189,1720
34,39,20,55,85,128,21,24,241,154,255,252,50,88,192,483,314,457,274,221,224
35,1,0,0,0,0,0,0,0,0,0,0,2,0,12,1,1,0,2,18,871
36,0,0,0,0,0,0,0,0,0,116,22,22,0,0,0,19,1,0,0,0
37,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0
38,4,2,5,0,85,85,4,1,0,0,0,53,159,287,389,412,741,818,523,661
39,62,105,361,138,644,1625,532,171,315,310,391,1361,1921,2144,2799,4444,7099,5252,7343,13253
40,7,0,62,441,1431,544,289,404,657,832,990,712,881,711,402,793,1475,1126,915,1027
41,45305,63517,75339,77470,92179,91890,41849,64884,121207,84496,101063,89504,87357,67606,74766,72861,59563,27807,28657,24303
42,44,94,49,12,240,71,469,574,645,2872,3143,4942,5847,7504,7717,10409,10742,9545,8990,6530
43,38,561,0,11,0,1,1,12,0,0,45,53,37,26,10,7,0,0,0,0
44,27,65,213,1526,2291,3102,3620,1403,4913,3876,3969,2074,1736,1268,1565,1437,2631,2821,2436,3223
45,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
46,7,3,4,0,8,28,24,16,55,167,123,70,100,130,140,142,227,284,338,343
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
48,10,28,214,47,88,4,6,31,6,1,7,12,73,19,36,262,168,1052,1889,2390
49,66,127,182,10,24,40,22,40,27,33,26,12,67,52,13,476,416,604,591,441
50,0,0,0,18,0,0,2,0,1,1,0,2,0,0,0,0,0,0,0,0
51,0,0,52,1,0,0,147,3,0,0,4,0,1,0,38,0,0,0,1,1627
52,18615,14373,6796,10356,19416,15699,17326,22934,21834,22301,39207,19886,17646,11492,19675,14239,9009,5165,12152,10614
53,0,2,0,0,23,9,13,12,124,15,47,108,72,41,34,50,34,4,2412,5086
54,23,0,0,306,573,721,50,4140,3702,1461,1678,1776,2121,3069,4807,2672,6820,5145,6592,7991
55,0,5,49,17,329,488,216,3,851,1840,1491,1563,113,89,34,25,23,415,489,892
56,2,0,1,0,1069,3,17,0,20,9,10,5,17,7,3,9,128,66,170,61
57,51,7,99,23,3,22,3,11,9,11,101,165,256,40,94,115,178,174,219,179
58,3,50,57,5,0,6,64,803,311,75,13,2904,5223,1025,53,287,98,150,577,691
59,0,9,19,39,0,0,0,0,0,0,0,0,1,3,1,82,31,154,249,120
60,875,787,239,40,0,59,190,0,345,1,575,1933,748,126,15,317,968,788,1586,1477
61,50,738,613,1279,636,3238,1530,7216,18578,17961,27848,34821,39155,32024,40941,50752,74138,87485,80246,75403
62,95,1190,2037,812,874,1416,831,3443,14678,18220,10889,11357,25859,20481,27139,51485,85596,48037,62697,49694
63,829,1208,3755,6105,7852,4700,4320,1726,10495,5516,7194,7973,7461,8625,6600,5852,5361,8037,8213,3901
64,953,412,1029,3159,8075,9655,6460,7779,8444,14054,27687,30971,33412,37118,45485,50154,31838,7974,4104,4336
65,0,0,5,6,0,3,1,1,1,6,0,1,6,25,1,49,76,116,349,476
66,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,2,3,3,5,6
67,0,0,0,0,2,0,4,8,3,14,0,20,6,6,3,2,11,1,4,2
68,2,80,33,66,437,567,490,592,835,920,912,817,518,801,1031,636,1143,607,774,485
69,10,78,63,18,27,36,33,42,151,145,141,183,216,216,225,269,317,265,454,298
70,11,1,17,13,8,16,14,88,11,8,12,7,9,13,10,231,157,2250,6051,17955
71,6043,71339,49127,64518,59219,79673,90994,178022,130754,182156,166063,162020,156055,117578,125685,7395,5015,3109,5772,6170
72,129,1719,2478,360,764,3810,219,61,26,34,791,143,12,40,40,961,1375,576,788,523
73,14,151,172,75,85,122,213,74,98,10,215,111,503,983,52,2738,3467,2881,585,1220
74,53,666,1340,396,1891,1042,195,1498,452,225,1,2,1692,397,338,385,718,455,836,1187
75,2,3,11,11,11,24,21,27,68,53,74,91,82,92,81,51,30,18,191,4
76,66,144,418,935,391,316,9,1236,23,303,45,13,0,0,72,65,1591,969,519,1003
78,188,10,114,348,1003,1103,970,3586,1578,44,0,0,0,0,26,110,13,17,268,524
79,94,0,0,0,477,40,317,330,468,432,0,4,249,206,223,151,218,226,330,306
80,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
81,0,33,511,357,0,0,0,1,265,0,101,0,21,337,160,408,684,284,1142,356
82,0,0,237,7,1,0,6,1,2,0,0,197,0,83,8,657,610,921,168,84
83,6,0,173,0,4,3,2,0,5,0,8,3,8,7,2,455,899,122,223,195
84,64,158,3054,447,245,69,220,1519,149,95,531,153,2353,82,379,40655,66413,28733,6328,12739
85,27,135,1222,840,71,80,139,362,242,40,148,1813,5454,20431,56202,44663,44758,35075,24462,6418
86,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,41159,3275,2395,30,4
87,23,85,2806,196,52,137,52,1,48,1,6,2,696,103,24,16947,15962,10916,7695,6038
88,1,214,3586,0,0,0,43,0,0,14,0,0,112,1,0,1192,2198,12,32,1003
89,0,0,256,0,0,0,0,0,0,0,0,0,1,0,0,0,5,1,6,1
