Exporters,Imported value in 2003,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,22786,20827,36237,37570,35946,54946,49831,44047,61730,61708,58856,73372,76303,91910,91140,84963,107776,93232,99215,108431
Indonesia,7864,11128,16914,12071,17271,23921,18811,18055,24647,25423,19751,28252,27464,27006,21541,19414,41752,31441,48353,48080
China,1777,906,2240,1275,1909,3031,3662,2120,2624,2467,5656,7641,9850,14076,15056,14897,17331,11676,10156,15313
Malaysia,1142,429,436,782,2165,4554,3766,2919,4913,4337,4328,4562,6842,12912,17333,16498,20555,21263,6195,10677
United Arab Emirates,104,93,162,508,595,1877,2874,3583,5518,5500,6001,4851,4463,6738,4649,5623,3158,9558,6351,9077
Egypt,2561,1643,2619,3442,2589,1972,1581,720,2666,2781,3292,4275,4133,5423,8183,10157,6921,4596,10871,9073
Kenya,1360,1098,975,2053,2698,3066,3232,4477,4461,5879,3867,3440,4011,4278,5233,4796,3738,2585,4051,5884
India,303,143,353,596,507,664,423,346,438,451,554,1235,4596,6403,2462,2933,3787,1306,2406,2047
United States of America,240,198,322,248,172,131,314,405,594,612,800,1118,1060,1686,1048,623,925,1127,785,1803
Türkiye,434,277,316,244,163,383,293,504,664,699,519,1157,1087,665,997,579,950,976,854,847
Germany,327,379,661,621,326,1098,693,764,846,876,1259,2217,1513,1772,2983,1515,1508,1474,865,768
United Kingdom,239,79,287,496,108,33,67,53,246,244,540,823,1159,1922,1484,1246,824,641,772,736
Belgium,186,197,405,671,772,861,974,1283,1215,1165,2001,2418,2339,2782,2512,1207,1544,1141,1718,644
Saudi Arabia,609,639,768,821,398,411,1571,1799,1891,2739,1586,1363,633,420,1027,296,81,1325,1844,502
Qatar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,53,196,234,449
Netherlands,61,42,174,347,279,154,129,190,244,64,756,148,627,181,265,435,448,326,141,355
Italy,272,265,458,1122,475,2861,1225,955,588,416,832,578,657,537,459,367,546,463,494,337
South Africa,120,40,50,105,105,198,476,421,257,350,140,899,933,1089,1023,1627,385,96,36,318
Switzerland,35,0,59,55,27,180,26,47,9,8,82,82,112,83,43,39,64,3,179,312
France,120,97,155,257,251,457,581,288,526,436,1196,853,757,685,391,346,346,472,299,229
Spain,123,16,400,221,126,235,169,203,506,133,370,173,146,644,1155,410,660,250,260,203
Brazil,0,1,1,0,5,3,0,14,0,18,0,0,0,0,13,19,92,0,129,188
Pakistan,0,0,0,0,0,0,24,8,6,53,2,4,2,8,1,11,19,108,401,85
"Korea, Republic of",2665,1102,1585,1180,2089,4944,3696,1341,1429,612,864,1991,763,41,24,39,6,157,111,77
Greece,9,25,46,61,49,25,21,29,46,22,5,52,12,141,205,2,161,62,157,68
Thailand,0,29,9,0,36,13,17,28,7,10,47,70,14,144,296,215,35,71,57,62
Viet Nam,0,18,17,28,48,33,49,37,0,0,151,0,0,0,9,0,2,12,11,56
Singapore,0,0,72,303,1,2,9,12,17,0,0,76,0,0,15,0,76,976,58,50
Yemen,973,941,1174,2027,2410,3627,3989,2851,4804,3651,3231,3640,1463,53,241,79,226,245,212,45
Sudan,0,0,0,0,0,0,0,0,0,797,637,477,422,246,380,773,162,1,15,36
Lebanon,11,0,1,9,19,42,27,31,47,0,0,0,1,74,24,28,13,0,1,29
Japan,23,0,4,57,3,0,13,0,4,130,10,2,2,5,67,16,18,9,7,17
Sri Lanka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,3,15
Bahrain,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,12
Philippines,0,0,2,0,1,0,3,0,0,4,0,0,0,1,0,6,4,0,0,6
Czech Republic,0,0,0,11,0,0,0,0,0,8,0,1,29,0,1,1,0,0,3,5
Mexico,0,0,0,0,0,0,0,0,2,17,0,16,45,63,24,0,2,0,15,5
Sweden,2,6,2,0,18,6,4,2,29,11,18,31,63,14,12,7,1,4,128,4
Australia,0,0,0,17,1,0,2,1,96,14,0,0,222,1,6,0,1,0,1,3
Denmark,24,1,16,17,18,37,0,2,72,122,2,7,10,22,3,18,2,20,381,3
Bangladesh,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,2
Canada,0,0,5,0,2,0,0,49,30,39,185,25,6,13,14,20,41,41,39,2
Ireland,0,0,0,0,18,0,0,0,0,0,1,1,0,15,0,1,3,2,12,2
Poland,0,0,0,0,1,0,16,0,59,6,17,1,4,0,1,0,8,1,2,2
Eswatini,0,0,0,0,6,16,0,0,0,0,7,17,0,68,0,0,0,0,0,2
"Hong Kong, China",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
"Taipei, Chinese",24,15,42,3,10,10,11,5,1,28,10,24,31,131,53,78,62,167,90,1
"Tanzania, United Republic of",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1
British Indian Ocean Territory,0,12,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad,0,0,75,139,159,0,691,0,0,0,0,0,0,0,0,0,0,0,0,0
"Korea, Democratic People's Republic of",0,0,22,250,24,0,0,0,21,0,0,320,0,0,0,0,0,0,0,0
Somalia,0,0,24,31,5,6,208,59,44,0,19,249,746,1335,1390,384,814,280,0,0
United States Minor Outlying Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Algeria,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andorra,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
Argentina,0,0,4,1,0,0,0,8,1,0,0,0,0,0,0,0,18,4,0,0
Austria,13,38,0,43,0,0,3,0,2,0,1,0,8,6,1,5,3,11,27,0
Bulgaria,39,0,0,0,0,0,1,0,0,2,1,12,2,0,0,0,1,0,0,0
Ecuador,41,17,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
El Salvador,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland,0,0,0,96,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
Djibouti,271,498,4914,6882,0,0,0,0,0,0,0,0,0,0,0,0,363,0,0,0
Gabon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,0,0,0,0,0
Georgia,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,3,2,0
Honduras,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hungary,0,0,0,4,0,0,0,0,32,0,2,0,0,0,0,0,0,0,0,0
Iceland,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Iran, Islamic Republic of",50,0,0,1,15,0,0,0,0,0,1,5,0,0,0,1,3,0,0,0
Israel,39,0,0,1,0,5,0,0,2,8,13,100,0,3,1,14,6,0,0,0
Côte d'Ivoire,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0
Jordan,281,25,116,92,0,2,0,45,1,0,0,56,46,75,72,133,46,50,52,0
Kuwait,0,0,0,0,0,0,0,2,0,0,0,1,0,0,8,0,0,0,0,0
Lao People's Democratic Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0
Mali,0,0,0,0,0,0,0,0,0,3,0,0,0,132,0,0,0,0,0,0
Mauritania,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Morocco,0,0,0,0,0,0,99,0,1,69,3,8,4,1,2,0,0,47,1,0
Oman,128,299,3,1,25,33,31,321,1362,1440,91,70,2,1,158,0,0,25,262,0
Netherlands Antilles,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Curaçao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
New Zealand,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0
Niger,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0
Nigeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Norway,16,37,22,0,0,1,0,0,1,2,0,0,0,0,9,1,3,0,0,0
Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0
Romania,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0
Russian Federation,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,17,0
Senegal,0,21,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0
Slovakia,0,0,0,6,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Slovenia,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Sudan (before 2012),58,66,215,114,32,42,38,64,749,0,0,0,0,0,0,0,0,0,0,0
Suriname,0,0,91,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syrian Arab Republic,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Tunisia,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turks and Caicos Islands,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
Uganda,228,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,0,0,1,0,0,0,9,0,0,0,0,28,2,9,0,0,0,0,0,0
HHI,0.288361133,0.463474121,0.415504614,0.296267504,0.421175715,0.36933489,0.314806154,0.346047341,0.342128554,0.35117003,0.281661394,0.326883026,0.309399775,0.278378131,0.266558287,0.275232669,0.384203079,0.351510371,0.446160983,0.407694924
