Exporters,Imported value in 2003,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,39970,42647,57838,63024,72005,63085,64438,74784,80184,125228,135543,168191,224575,239305,212434,217621,150857,161424,108830,93746
China,32872,35992,47100,48428,60332,49832,49176,58323,62821,102741,120735,149415,202621,222283,196369,204899,138717,146733,93590,70462
Türkiye,1082,930,1613,1845,2087,2598,2459,1906,1394,2081,2213,2260,2947,3554,3886,3940,5294,4725,4407,12751
Pakistan,43,158,188,206,513,605,600,602,758,1520,974,883,1139,744,1070,868,1074,3601,1690,2256
India,480,479,952,535,3103,2834,2570,2450,3145,3111,2293,2374,6153,2872,1800,1971,1725,1811,1909,1730
United Arab Emirates,240,330,2563,5983,98,68,70,92,26,88,110,200,507,230,111,130,253,117,497,1418
Indonesia,550,698,643,383,881,672,492,389,389,673,529,859,1883,1126,1485,1027,746,971,1123,1158
Bangladesh,61,10,1,0,124,57,89,93,63,204,297,282,131,278,452,112,21,441,122,752
Denmark,4,2,10,61,1,18,21,2,13,4,6,0,2,2,0,10,36,6,135,711
United Kingdom,155,196,97,104,52,194,197,147,376,116,275,626,514,617,482,772,478,199,629,480
Saudi Arabia,352,410,778,1347,512,714,973,1379,1855,3366,1883,1462,956,739,568,708,476,377,263,367
United States of America,67,140,117,93,105,229,40,677,79,64,26,266,294,79,97,113,405,196,1036,283
Italy,167,178,126,151,163,231,214,98,186,445,379,202,455,345,131,105,62,110,164,211
Belgium,106,56,37,9,15,2,0,26,47,118,20,3,60,5,1,9,146,93,313,166
Germany,78,145,212,189,236,7,93,43,46,55,157,70,51,62,141,61,37,96,175,125
Viet Nam,3,0,1,7,7,0,1,5,14,3,9,45,244,65,115,186,27,87,197,123
Egypt,15,169,29,30,37,44,51,49,88,50,59,89,54,37,74,45,66,129,55,87
Thailand,2986,1228,2200,2388,3054,4372,6481,7828,8340,8817,4268,8403,5070,5854,4907,1471,475,513,186,74
Netherlands,2,4,49,6,14,12,47,14,26,11,66,12,24,4,95,24,32,94,94,73
Portugal,0,0,0,0,0,0,0,0,4,0,89,0,30,1,0,113,0,32,44,69
Switzerland,69,110,149,160,51,10,170,74,128,53,24,13,159,0,101,22,9,67,72,58
Sri Lanka,0,0,9,0,12,1,5,20,0,1,0,2,2,0,1,8,2,28,8,42
Kenya,2,20,20,14,8,28,21,25,47,33,29,36,31,13,21,22,25,499,57,38
Canada,3,6,10,12,8,3,2,2,4,26,68,3,0,1,0,3,7,4,921,33
Myanmar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,32
South Africa,7,11,38,50,23,2,0,34,43,14,290,166,7,17,85,19,26,60,53,32
Romania,0,0,6,0,14,0,103,0,0,63,16,5,1,18,0,285,8,0,0,21
France,15,44,108,31,45,14,34,14,7,87,25,16,19,31,21,124,22,11,111,17
