Code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,0.186273949,0.665542147,0.306494043,0.696110981,0.410567293,0.811755481,0.744273419,0.791290277,0.379419945,0.807222882,0.892741118,0.816290464,0.706341632,0.749729278,0.621067556,0.588978514,0.423871446,0.249663561,0.487139259,0.512029421
2,0.313061469,0.152453976,0.082392157,0.192767033,0.1637321,0.241176527,0.324517977,0.142115541,0.267357094,0.259233901,0.290208956,0.224776555,0.1581276,0.232854749,0.311457972,0.164688307,0.144409568,0.111977426,0.099382264,0.223254953
3,0.06399109,0.11733465,0.16581212,0.11384798,0.11341355,0.24169209,0.2413016,0.20868419,0.2691075,0.18849885,0.29166299,0.24795731,0.4975316,0.36446602,0.45217511,0.39925566,0.41620781,0.20551812,0.36118789,0.20881951
4,0.37497495,0.6887505,0.25647869,0.28472516,0.38937721,0.31793087,0.27301025,0.24258154,0.30909563,0.32200145,0.31339079,0.26377008,0.27728441,0.31090558,0.32736432,0.37988568,0.27957285,0.28639965,0.24560349,0.2361124
5,0.65746613,0.224809232,0.569177252,0.501412993,0.789501062,0.783606482,0.624978632,0.323996412,0.581199433,0.476976495,0.214519119,0.478845062,0.171070979,0.237194199,0.223535162,0.246423455,0.341492866,0.155051026,0.687940013,0.542713203
6,0.910040162,0.320586412,0.350121472,0.394411708,0.351493888,0.263784761,0.458041063,0.337628059,0.310034522,0.403860524,0.295125692,0.35871758,0.337728338,0.199587112,0.281057222,0.262218515,0.300346688,0.260467647,0.324720694,0.283963895
7,0.931950044,0.917516317,0.933159035,0.329098493,0.601131312,0.912670739,0.825484338,0.750882647,0.67662628,0.746341625,0.854008227,0.573065687,0.708266406,0.544969609,0.652501722,0.501295281,0.372139725,0.240049889,0.283812392,0.398739855
8,0.269721682,0.295262058,0.39501643,0.260762911,0.37471016,0.423159368,0.292212156,0.318897274,0.209124276,0.289161946,0.256982412,0.277104495,0.226888028,0.221150385,0.265311169,0.264112112,0.262264859,0.251159454,0.249109957,0.22903588
9,0.158498268,0.281313883,0.231027556,0.288815677,0.223259566,0.342959072,0.311191023,0.230307415,0.304184057,0.248613431,0.342752489,0.24367114,0.385924717,0.359310799,0.349175187,0.35995218,0.345531344,0.401980509,0.415267998,0.381420024
10,0.50856905,0.785481818,0.879597698,0.466076914,0.543001125,0.303045152,0.317664361,0.433857347,0.389266712,0.263758268,0.531386167,0.353504999,0.264047501,0.237218568,0.294658059,0.318202225,0.249580459,0.341324658,0.402504516,0.405745976
