Code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,2.84E-05,0.000297668,3.35E-05,0.000576388,4.11E-05,5.51E-05,2.50E-05,6.04E-05,8.11E-05,0.000321733,0.000615403,0.000285624,0.000260627,0.000326101,0.0003747,0.000431288,0.000230007,0.00014258,0.000285466,0.000281942
2,1.82E-05,2.97E-06,8.69E-07,2.87E-06,1.44E-06,4.94E-06,6.39E-06,3.62E-06,8.82E-06,7.32E-06,7.97E-06,5.79E-06,4.09E-06,7.98E-06,1.54E-05,6.55E-06,6.93E-06,4.61E-06,6.17E-06,8.64E-06
3,1.64E-06,2.12E-06,2.05E-06,2.59E-06,2.43E-06,8.96E-06,8.83E-06,9.47E-06,1.55E-05,8.13E-06,1.21E-05,1.56E-05,2.20E-05,9.55E-06,1.91E-05,2.55E-05,3.06E-05,9.09E-06,2.17E-05,1.47E-05
4,0.000906269,0.001112331,0.00035771,0.000431772,0.00042485,0.000329318,0.000321974,0.000491407,0.000372324,0.000276066,0.000163627,0.000136793,0.000157114,0.000223319,0.000328319,0.000377573,0.000269972,0.000618312,0.000410957,0.000297758
5,9.92E-06,8.29E-06,4.60E-06,5.76E-06,1.63E-05,8.69E-06,9.84E-06,5.91E-06,4.91E-06,3.19E-06,1.64E-06,7.32E-06,6.62E-07,6.07E-07,5.02E-07,9.58E-07,1.84E-06,5.92E-07,2.91E-05,3.65E-05
6,0.000410967,0.000642385,0.001002642,0.003027456,0.000987229,0.000382448,0.000602261,0.00019583,0.00017094,0.000260067,0.000149511,8.57E-05,0.000110843,4.34E-05,4.91E-05,5.23E-05,4.85E-05,6.76E-05,9.22E-05,8.73E-05
7,0.002822936,0.007098525,0.006791837,0.001473446,0.001618973,0.002741164,0.004096421,0.003154717,0.002124811,0.002291466,0.001477682,0.000892288,0.002062207,0.002868213,0.003327007,0.001430297,0.002030082,0.001984928,0.002837608,0.004711227
8,0.000132322,0.000115307,0.000107384,8.35E-05,0.000125988,0.000147962,8.66E-05,0.000110329,6.56E-05,0.000100568,8.26E-05,8.98E-05,8.11E-05,8.67E-05,0.000177908,0.000153587,0.000181563,0.000231872,0.00025856,0.000220321
9,5.06E-05,8.50E-05,5.64E-05,0.004998392,6.79E-05,9.45E-05,7.64E-05,4.90E-05,5.88E-05,6.37E-05,7.81E-05,6.15E-05,0.00011026,8.06E-05,0.000112485,0.0001015,0.000122609,0.00026358,0.000260269,0.000109669
10,0.080501175,0.052470183,0.050316608,0.009469637,0.015051795,0.021385896,0.015222886,0.019222597,0.0207275,0.009301419,0.028584176,0.011392048,0.009724527,0.013943625,0.012833044,0.01575104,0.012506287,0.020855933,0.04430825,0.03299234
