Code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,364,1285,487,4396,533,557,256,636,1871,4647,7552,5150,6008,7137,8864,10551,8452,8072,8960,9110
2,139,56,47,79,47,168,150,212,289,329,301,379,421,562,725,573,747,582,949,640
3,61,52,55,121,114,304,279,378,506,503,454,925,721,430,620,919,1147,625,919,1162
4,5764,4640,6213,8051,5812,8496,8990,16869,10550,9996,5720,7633,9226,11786,14735,14321,15041,30515,25584,20864
5,36,106,36,61,110,91,120,152,74,78,84,225,63,42,33,56,84,54,646,1112
6,1077,5757,12757,40752,14961,11892,10023,4830,4829,7508,5550,3518,5344,3564,2567,2875,2514,3671,4341,5086
7,7224,22228,32423,23770,14346,24635,37828,34986,27504,35797,18956,22917,47409,86359,74913,41111,84969,116875,152872,195478
8,1170,1122,1211,1700,1791,2868,2260,2881,2747,4055,3523,4769,5817,6436,9852,8379,10783,13049,15870,15915
9,761,868,1087,91882,1620,2259,1872,1771,1694,2988,2497,3715,4652,3680,4733,4063,5527,9268,9583,4757
10,377504,191921,254829,107869,147655,578831,365297,368953,466363,411163,589309,474311,599669,964485,639877,713233,780496,863655,1683142,1345279
11,44993,14560,14110,23069,25910,57399,53515,33124,80637,47330,43319,63917,63581,68594,59582,101172,92019,75347,140409,43398
12,1999,4092,5133,21061,3702,63271,16712,6093,11498,5768,7230,8246,7687,8756,9791,8116,12405,16390,18988,15022
13,715,908,1815,2363,3022,2931,3894,2187,2346,3610,4183,5259,4761,5618,5826,9199,13590,7799,5797,12883
14,13,11,5,17229,6,13,22,38,9,60,51,38,0,3,1,31,1,4,114,1
15,63544,56709,84534,67993,104941,247116,237404,255471,386572,427090,391558,437553,480733,512194,539890,587351,432361,898935,1397641,1420643
16,666,351,764,1242,892,1624,1112,1253,1577,1996,2193,5960,2714,3368,2423,2304,3869,2813,2986,12873
17,6271,17088,19546,51487,41991,73354,40577,113786,180918,178727,221215,190026,189913,250325,207699,325669,198579,348471,592926,587248
18,387,478,2097,1537,1051,1360,2206,1877,3282,3226,2835,3525,2509,3636,4983,5756,5781,5028,3894,4454
19,42190,16931,20311,18083,8735,37201,32916,31079,46794,83066,59778,76456,91061,156335,113702,135387,80947,75985,83988,81035
20,1703,4000,4507,3914,5311,15432,8579,9077,21111,20621,20243,23940,22711,29011,33164,29178,23369,24252,14488,19123
21,6032,7186,6991,7513,8961,9716,9013,12640,17121,20803,37145,47999,61598,51505,58330,45357,84591,77295,124414,117944
22,4218,4692,6606,6057,10715,8084,10664,10678,10643,12584,18579,21273,25804,28014,28857,22038,23564,19080,21774,25740
23,125,119,266,316,431,631,747,774,730,1016,1075,5010,1287,2866,3216,4100,5038,7174,6699,7714
24,6106,4372,8858,8321,11708,8813,12183,16181,12783,12838,14458,17273,14648,16777,10559,15500,21497,8640,6028,6977
25,16132,4487,3606,12493,139292,163774,169126,41006,81464,48221,11175,10484,12208,9483,9650,9162,9164,11521,11352,12484
26,2,0,34,13,34,52,136,165,731,503,71,278,1571,209,533,298,363,137,538,472
27,37166,431646,701645,1131571,789638,2041050,1293523,1614689,1617131,2402942,1257191,2496559,1542561,1444779,1236827,1584824,2641479,1723351,1089569,1075813
28,10572,10384,16213,20312,18265,28054,35621,25598,31449,33887,41796,49624,39494,47274,50341,50073,55457,44485,52420,95981
29,17513,15666,19219,23141,26722,40750,35260,40280,41235,60376,84500,91232,84710,92541,101843,113930,125279,98486,87375,94489
30,57616,74865,158455,158755,199027,204089,319470,300056,349105,427354,526089,372580,600024,660751,536110,672031,638411,580495,812071,786374
31,26086,134580,107949,132111,121119,275136,334625,246007,337586,612868,307537,424806,367984,460374,373470,417588,504101,507381,590893,1297289
32,10467,10833,15746,16867,15183,21232,18242,24547,27154,27862,34209,47852,46937,57090,63731,48946,66701,59964,70711,73693
33,12699,15149,22598,27076,30001,39005,45776,54997,51995,60479,74353,69490,70790,86843,84468,80781,91142,72501,74269,72357
34,22786,20827,36237,37570,35946,54946,49831,44047,61730,61708,58856,73372,76303,91910,91140,84963,107776,93232,99215,108431
35,3432,3947,5771,6903,7419,8794,7855,11264,10847,12329,16362,17858,20073,21592,21505,20275,24882,19452,21324,28521
36,5857,4174,5420,7027,13938,14216,11938,10159,13271,13384,27902,15481,18548,24973,22197,17425,7524,10850,4412,8228
37,5179,5022,5409,6583,9295,7218,6385,6689,7004,5495,8646,6601,6220,5559,5050,6295,5033,3756,4160,5382
38,24635,26028,41612,49920,66339,80114,79629,95849,102458,142472,155307,181831,171109,207334,195622,205798,306200,271500,343065,270775
39,67741,78900,143566,128809,148322,227598,195096,216444,279812,355387,398786,453324,554265,553512,634225,556766,697816,638784,675421,829006
40,56934,50280,81921,92223,98821,130070,162890,167581,164023,217857,254561,271311,229558,248401,239933,214920,237329,233458,192475,246878
41,14,9,223,1509,131,142,325,537,65,98,189,541,49,463,4521,685,231,427,24,73
42,3969,4776,7452,6941,7786,6946,7597,7478,7158,9792,12061,16044,15295,16211,15916,15402,16635,15443,22617,29654
43,2,0,5,2,2,21,22,4,17,40,44,86,85,98,71,99,113,10,67,92
44,14856,16019,20997,28371,33180,35083,41259,36726,39213,46116,61926,68519,84800,90698,107720,61196,99119,60659,45337,50987
45,181,269,375,460,488,360,24,605,404,528,270,715,651,345,402,190,101,26,8,68
46,1383,1228,807,617,283,115,140,305,470,593,313,283,211,264,109,519,188,87,228,323
47,3486,4468,4172,5413,3872,5922,3242,3094,7015,8237,9210,5662,6522,6801,3807,6415,9050,10013,8997,11051
48,38027,44971,60082,65847,70388,99386,83609,80990,100487,114882,131152,125790,135457,167039,149576,119477,163401,119407,129636,157800
49,13130,19046,15071,20003,33248,26446,17726,43275,60451,54463,51603,29069,33069,57440,31593,42236,65526,21731,13009,20476
50,0,0,5,4,0,11,4,32,17,41,32,3,33,43,16,19,136,196,16,166
51,249,607,147,542,527,152,91,1283,2463,4284,4003,5050,5762,6516,5076,3821,4196,1396,441,793
52,433,547,748,1981,967,1562,1279,1840,1459,2910,2028,6962,3128,3997,6501,5436,15671,9589,20088,20968
53,1661,1965,2948,2707,1870,3486,3001,1861,631,1860,1501,1012,1398,3071,2070,2329,2332,1492,1277,1961
54,46764,44756,71966,67174,61540,67943,73798,87850,95688,113540,105102,123954,126058,132225,122569,117306,159986,223156,218464,289927
55,20985,15196,25604,18481,19829,22698,15566,24385,31154,32512,25030,38712,38551,36313,31071,26377,27023,25779,20714,28247
56,3532,2350,2972,2841,1901,2345,3227,3346,3495,4794,25199,12872,52318,9571,8263,6601,9081,24918,21743,23902
57,1314,1217,2141,2222,1536,1699,1823,4036,3568,3155,4988,4889,6611,6486,7546,9757,9063,8822,11490,13182
58,1138,712,1949,2430,1299,1256,4609,2816,3838,3364,4703,6730,7346,6627,6781,7165,8698,10457,7146,9129
59,3686,2294,5939,4545,5386,6603,4419,4794,4502,9110,6531,10974,7990,8969,8258,7198,10083,11588,12665,16063
60,3096,252,417,325,208,510,649,756,984,1434,2500,2533,6146,6692,7058,9496,17893,23334,20864,23070
61,14845,19625,38676,31335,29001,32110,35283,44663,50577,89693,103073,107080,97175,93691,118975,60679,57972,39960,28572,26782
62,39970,42649,57838,63024,72005,63085,64438,74784,80184,125228,135543,168191,224575,239305,212434,217621,150857,161424,108830,93746
63,14410,16608,31946,77408,52957,17667,21306,82825,44563,51710,56325,68231,82249,51548,79851,65751,70534,116147,94092,102888
64,19864,20152,29711,31508,27171,27432,30809,34599,38097,51534,63134,66812,88541,98696,112890,94604,93319,92032,98390,136775
65,1001,991,1826,1629,2282,1567,1194,1401,1657,4538,3894,4259,4673,4919,5145,4611,5588,7679,6258,5309
66,2857,3020,3895,4676,4232,3971,3182,3165,2778,3891,5081,4665,4944,6599,6998,5066,6539,6178,8258,6845
67,354,288,371,487,541,654,616,903,806,750,1117,1293,1289,1349,2047,1882,3602,2696,2990,3722
68,4071,5643,7764,7452,9802,8421,9829,15482,17521,15551,22250,34683,53799,54032,54824,51199,55769,49414,54341,55570
69,8100,8590,12882,14341,20972,22686,25304,29737,31122,33384,50318,56241,65435,82002,87464,57372,56010,60268,55023,86702
70,11572,12877,17331,17004,22431,29553,26851,23350,30301,41017,51648,59128,67430,71036,74592,66243,88812,71268,62322,77257
71,1482,252,898,837,829,14777,7150,8617,14912,5713,4675,4859,1429,8518,16267,1273,2480,4276,6445,16630
72,143838,148920,270517,236982,380911,439663,375433,314309,449455,719731,643011,727122,889767,892121,799280,825579,1016960,707107,564011,568368
73,65399,69302,141096,128371,166882,228131,342374,325647,203465,384755,435960,884067,844977,800760,569498,447564,411227,478777,324132,326906
74,2632,2726,3566,4445,11461,9980,19722,15845,19318,36288,35025,114520,68185,64198,35327,33518,50485,37275,35093,57745
75,42,91,102,51,54,70,115,39,42,188,126,79,160,233,314,209,331,432,850,1867
76,11241,17405,25826,22908,41764,56906,48530,32749,41641,79833,71002,206539,273501,175022,147439,104983,108720,154041,115984,91717
78,341,400,960,1591,1057,1553,264,603,545,883,74,458,1441,1198,1476,1564,1115,1234,1137,764
79,3454,5768,13650,13440,26313,12677,5674,15993,22369,17176,25569,29251,29124,36048,26380,25780,29695,26144,21690,9743
80,1634,260,420,81,95,8,920,64,844,471,899,792,1556,621,160,293,207,188,46,75
81,128,5,7,42,47,49,121,63,65,174,312,196,240,158,540,156,111,189,355,494
82,10256,11402,18520,23490,20465,20044,22530,30541,34561,41763,44779,54119,45659,52536,50481,39512,49502,41017,34517,40424
83,9638,9452,15462,19515,19860,27641,30362,30042,34400,35320,46910,48118,48631,52694,54931,60669,62115,52005,54707,74345
84,261329,299414,640363,681093,777680,801889,944776,1020672,1048455,1438148,1634525,2109260,2359556,2637090,2664905,2285548,2287429,1833286,1737129,1607159
85,269558,359490,465319,358799,521586,999353,1114513,1091208,600829,930359,796527,1728289,2590197,1750032,1297245,1123712,1110186,1091945,1008841,1358254
86,3171,423,3780,1865,2904,1435,2105,2150,2679,6699,6054,67915,329332,61895,29666,35529,10326,24888,8326,3839
87,258913,290718,403255,752702,529791,432415,425401,769819,824199,1061887,1198910,1189897,1481014,1392287,1406333,885141,1177209,1036337,1196476,1500836
88,17309,13351,26033,38838,39653,6654,1086,4563,59281,8079,25527,105658,118096,499953,330431,840529,106834,42292,178907,172432
89,103,600,162,1372,450,106,43,163,2918,96,123,1023,1377,970,292,681,554,102,1006,401
90,61435,63139,82664,76302,87090,89173,102916,134823,143721,156664,190238,216775,229680,249226,250952,219560,266151,240494,256724,202253
