Importers,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017
World,55,9,175,3,588
United States of America,37,9,109,2,452
Canada,17,0,0,0,133
Germany,1,0,0,0,1
Viet Nam,0,0,0,0,1
Trinidad and Tobago,0,0,0,0,1
Belgium,0,0,0,0,0
Brazil,0,0,0,1,0
Central African Republic,0,0,61,0,0
China,0,0,0,0,0
Dominican Republic,0,0,5,0,0
France,0,0,0,0,0
Ireland,0,0,0,0,0
Italy,0,0,0,0,0
Panama,0,0,0,0,0
Paraguay,0,0,0,0,0
Thailand,0,0,0,0,0
United Kingdom,0,0,0,0,0
HHI,0.386159389,1,0.324100899,0.130590976,0.640548676
