Code,2013,2014,2015,2016,2017
1,1,0.48731003,1,1,1
2,0,1,0,0,0.431758207
3,0.39501533,0.45158762,0.3898093,0.38800037,0.46214233
4,1,0.02740233,0.24682193,1,0.80610464
5,0.58496595,0.34230218,0.33572596,0.74126871,0.4321539
6,1,0,1,0.17240981,0.27677619
7,0.59965266,0.73727788,0.41643741,0.64622407,0.57192576
8,0.879330678,0.699804793,0.866959961,0.556096771,0.880408355
9,0.498361344,0.518242436,0.186940596,0.330118076,0.36617987
10,0.11710961,1,0.9363309,0.8425229,0.89344856
11,0.160679523,0.365471294,0.182736901,0.40832507,0.64260481
12,0.076863771,0,0.03960774,0.644688395,1
14,0.7050975,0.28495926,1,1,0
15,0.821782834,0.581325187,0.728904549,0.959885865,0.740034511
16,0,0,0,0,0.605762464
17,0.553513007,1,0,1,0.769003135
18,0.17490374,0.37581749,0.2440129,0.40482973,0.58434733
19,0.446811236,0.360784107,0.977934337,0.307863787,0.84773774
20,0.93498569,0.270873816,0.306664867,0.10923646,0.261988877
21,0.08584684,0.12249722,0.47309199,0.72458003,0.33746211
22,0.725981849,0.734563875,0.652187916,0.719198444,0.616309161
23,1,0,0,0,0.44034022
24,0.498147,1,0.88299081,1,1
25,0.813771431,0.01670756,0.769959641,1,0.509698681
27,0.098218626,0,0,0,0.843496636
28,0,1,0.552622199,0,0.758237292
29,0.487310034,0,0,0,0.690022927
30,0.413244191,0.656572393,0.926139042,0.444630237,0.946477255
31,0,0,0,0,0.18013621
32,1,0,0.130590976,0,0.039108268
33,0.37274437,0.269452553,0.427025689,0.434112384,0.454087152
34,0.047810851,0.284959256,0.167334309,0.765493476,0.630081475
35,1,0,0,0,0.130590976
36,0,0,0,0,1
37,0,0,1,0,1
38,1,0.130590976,0,1,0.320294379
39,0.200095619,0.32707806,0.444684499,0.305082535,0.316917151
40,0.38615939,1,0.3241009,0.13059098,0.64054868
41,0.170944877,0.370160745,0.231748886,0.298465071,0.152219598
42,0.331279906,0.442960198,0.888532866,0.38064656,0.781603235
44,0.335574227,0.391618702,0.452009185,0.706087011,0.915889613
46,0.962214276,1,1,1,1
47,0.174394615,0,0.176781046,0.111037101,1
48,0.87878118,0.916799494,0.937116978,0.722404996,0.793982597
49,0.994927877,0.999764093,0.999588027,0.999931243,0.991264912
50,0,0,0,1,0
51,1,0,0,0,0
52,0,0.392453931,0,0.082863336,0.388241416
54,0,1,0,0,1
55,1,1,1,0.23728097,0.94667467
56,1,1,1,1,0.842958979
57,0,0,1,0,0.284959256
58,0.261624152,0.451395856,0.570955035,0.449006592,0.394684431
59,0.596647806,0,0,0,0
60,1,0,0,0,0.91874532
61,0.964151879,0.647707401,0.960566093,0.68676028,0.580229601
62,0.973923973,0.952136613,0.970706011,0.984890723,0.978162724
63,0.20691943,0.79183683,0.66258734,0.54260066,0.34721945
64,0.850734276,0.824554719,0.754218728,0.333769839,0.40603933
65,0.969267412,0.944259985,0.965784271,0.957327448,0.974214382
66,0,1,0,0,0
67,0.351668513,1,1,0.793716712,0.309026443
68,0.784549663,1,0.663316954,0.866293467,0.884802328
69,1,0.552622199,0.119180714,0.783584121,0.518919628
70,0.32305358,0.55996834,0.17249551,0.31629159,0.45137441
71,0.540505998,1,0.993025122,0.714860961,0.889361528
72,0.37343422,0.2855085,0.689039602,0.197201351,0.278217989
73,0.287175858,0.290741178,0.426967269,0.303955555,0.460291133
74,1,0,0,1,1
76,0.350043903,0.838094735,1,0.187971479,0.584829531
78,0,1,0,0,0
79,0,0.217526441,0,0,1
82,0.932531334,0.448504835,0.494701004,0.549255058,0.586726286
83,0.786840265,0.739606901,0.809434102,0.875968038,0.903574965
84,0.330273706,0.50118133,0.438060324,0.606766944,0.441052077
85,0.44154145,0.45244584,0.5061182,0.21812967,0.76411221
86,1,0,0.988355052,1,1
87,0.335130944,0.386687883,0.678519057,0.556312127,0.758141445
88,0.396339984,0.976208449,0.842397626,0.102088093,0.976184373
89,0.866339731,0,1,0.981522203,0.705097496
90,0.848422372,0.192116514,0.590009001,0.61907892,0.907130577
91,0,0,0,1,1
92,0.22890361,1,0,0,1
93,1,1,1,0,0
94,0.86521701,0.60900613,0.93301379,0.66331695,0.75048718
95,0.550818831,0.954385962,0.803391866,0.971667763,0.963122541
96,0.550711133,0.821029308,0.729707347,0.721497638,0.528211647
97,0.223719119,0.5823223,0.27307831,0.694429448,0.546911979
99,0.77826878,0.11143868,0.0905299,0.21502008,0.23574208
