Code,2013,2014,2015,2016,2017
1,4.57E-06,4.63E-05,4.63E-06,0.000531922,5.75E-06
2,0,5.41E-05,0,0,0.001765179
3,0.028386755,0.063496108,0.037349621,0.039244051,0.066697332
4,9.14E-06,0.000277984,0.001207662,0.003571479,0.00824517
5,0.000740524,0.000401532,0.000175828,9.57E-05,0.000143744
6,1.37E-05,0,9.25E-06,3.66E-05,0.00075897
7,0.00128906,0.002517297,0.002429206,0.001286183,0.016881325
8,0.042136732,0.018439585,0.033583195,0.066521256,0.048545308
9,0.003716334,0.002154374,0.002128447,0.00191098,0.003472861
10,0.000100565,0.000193044,0.000684805,0.000833064,0.004829807
11,0.000169132,0.000231653,0.000351656,0.000160421,0.004622815
12,5.03E-05,7.72E-06,0.001064224,0.000354615,4.02E-05
14,5.03E-05,3.09E-05,1.85E-05,1.97E-05,0
15,0.001901593,0.001474858,0.0027531,0.001486005,0.003076127
16,0,0,0,0,0.002023919
17,6.86E-05,7.72E-06,4.63E-06,5.63E-06,0.006623735
18,0.011610685,0.022810106,0.018309273,0.029075609,0.024793008
19,0.009206268,0.00235514,0.075342402,0.000852764,0.005347286
20,0.000475398,0.007497838,0.003090875,0.003475789,0.010464581
21,0.000150847,0.000154435,9.25E-05,0.000892166,0.004203082
22,0.016200106,0.011250618,0.011720341,0.014077649,0.0187385
23,0.000447971,0,0,0,0.003306118
24,0.000411402,0.00026254,0.00055062,0.000548809,0.000109246
25,0.000617103,9.27E-05,9.25E-05,0.000295512,0.016070607
27,0.000269697,4.63E-05,0,0,0.023430313
28,0,0.000100383,3.24E-05,0,0.001604186
29,2.74E-05,0,0,0,0.000925713
30,0.002747253,0.000200766,0.002341292,6.47E-05,0.00151219
31,0,0,0,0,0.001402944
32,4.57E-06,0,1.85E-05,0,0.000477231
33,0.062222303,0.098267235,0.079775125,0.070348845,0.15773919
34,5.49E-05,3.09E-05,4.63E-05,3.94E-05,0.001954922
35,1.37E-05,0,0,0,1.15E-05
36,0,0,0,0,0.000103496
37,0,0,7.87E-05,0,1.72E-05
38,0.000105136,2.32E-05,0,1.41E-05,0.001017709
39,0.013717979,0.010069187,0.019859337,0.004334182,0.010826817
40,0.000251412,7.72E-05,0.000809735,1.13E-05,0.003380865
41,0.016414949,0.011659872,0.008925597,0.008392553,0.013195722
42,0.000287982,0.000640907,0.000282251,0.000551623,0.001109706
44,0.000411402,0.00047875,0.000286878,0.000250482,0.002966881
46,0.000854802,0.000509637,0.000962428,0.00084995,0.001138454
47,0.000164561,0,0.000481214,0.000379945,0.000402484
48,0.004603134,0.004347356,0.003942254,0.002361285,0.005307038
49,0.059292205,0.368343835,0.15723672,0.409324121,0.007141214
50,0,0,0,2.81E-06,0
51,3.66E-05,0,0,0,0
52,4.57E-06,0.001026995,0,1.13E-05,6.32E-05
54,0,7.72E-06,0,0,0.001845676
55,0.001001079,3.09E-05,2.31E-05,2.53E-05,0.005054048
56,0.000255984,0.000239375,6.48E-05,2.81E-06,0.000615225
57,0,7.72E-06,4.63E-06,0,2.30E-05
58,7.31E-05,0.000293427,0.000101795,7.60E-05,0.000281739
59,0.000717668,0,0,0,5.75E-06
60,4.57E-06,0,0,0,0.000960212
61,0.06723684,0.048508154,0.056487137,0.09602184,0.094641214
62,0.117587903,0.118119904,0.094396632,0.112044242,0.108906394
63,0.000786235,0.002409192,0.000703313,0.001013185,0.003139374
64,0.000813662,0.00087256,0.000268369,0.001232709,0.013805198
65,0.003254649,0.002602236,0.001841569,0.001789961,0.004732061
66,0,7.72E-05,0,0,0
67,0.000265126,0.000316593,0.000240607,4.50E-05,0.001460442
68,0.000146276,6.95E-05,9.25E-05,0.000340543,0.000293238
69,1.83E-05,5.41E-05,0.000957801,0.000385573,0.004513569
70,0.000191988,0.00026254,0.000240607,0.000318028,0.001017709
71,0.000114278,0.001667902,0.002262632,0.002133318,0.003139374
72,0.161260536,0.09287744,0.206015177,0.038616439,0.092778289
73,0.001403339,0.000571411,0.000587636,0.000537551,0.006158004
74,0.000123421,0,0,2.81E-06,6.32E-05
76,0.000932512,0.000378367,0.00047196,0.00040246,0.000482981
78,0,0.000447863,0,0,0
79,0,0.000826229,0,0,3.45E-05
82,0.001115357,0.001073326,0.000425689,0.000160421,0.002869135
83,0.003798614,0.005351186,0.003895984,0.003045185,0.006393744
84,0.058903659,0.015806462,0.021714788,0.016362946,0.028317617
85,0.028235907,0.024068755,0.027341292,0.017696973,0.056968721
86,4.57E-06,0,0.020655192,1.41E-05,1.15E-05
87,0.210761368,0.033682357,0.066384416,0.012085051,0.010286339
88,0.001124499,0.005521065,0.003331483,0.004041484,0.042628795
89,0.000548536,0,4.16E-05,0.017252297,6.32E-05
90,0.007245251,0.002501853,0.003016842,0.007705838,0.00775644
91,0,0,0,5.63E-05,1.15E-05
92,6.40E-05,7.72E-06,4.63E-06,0,5.75E-06
93,1.83E-05,0.001382197,0.003248195,0,0
94,0.010349052,0.000687237,0.013418471,5.63E-05,0.001937672
95,0.000255984,0.00135131,0.000277624,0.000337728,0.001471941
96,0.000214843,0.000501915,0.000198964,0.000225152,0.004030589
97,0.000516538,0.000702681,0.001411253,0.000562881,0.004525069
99,0.041400779,0.00715808,0.003845086,0.003197163,0.002271159
