Code,2013,2014,2015,2016,2017
1,1,6,1,189,1
2,0,7,0,0,307
3,6210,8223,8072,13944,11600
4,2,36,261,1269,1434
5,162,52,38,34,25
6,3,0,2,13,132
7,282,326,525,457,2936
8,9218,2388,7258,23636,8443
9,813,279,460,679,604
10,22,25,148,296,840
11,37,30,76,57,804
12,11,1,230,126,7
13,0,0,0,0,0
14,11,4,4,7,0
15,416,191,595,528,535
16,0,0,0,0,352
17,15,1,1,2,1152
18,2540,2954,3957,10331,4312
19,2014,305,16283,303,930
20,104,971,668,1235,1820
21,33,20,20,317,731
22,3544,1457,2533,5002,3259
23,98,0,0,0,575
24,90,34,119,195,19
25,135,12,20,105,2795
27,59,6,0,0,4075
28,0,13,7,0,279
29,6,0,0,0,161
30,601,26,506,23,263
31,0,0,0,0,244
32,1,0,4,0,83
33,13612,12726,17241,24996,27434
34,12,4,10,14,340
35,3,0,0,0,2
36,0,0,0,0,18
37,0,0,17,0,3
38,23,3,0,5,177
39,3001,1304,4292,1540,1883
40,55,10,175,4,588
41,3591,1510,1929,2982,2295
42,63,83,61,196,193
44,90,62,62,89,516
45,0,0,0,0,0
46,187,66,208,302,198
47,36,0,104,135,70
48,1007,563,852,839,923
49,12971,47702,33982,145439,1242
50,0,0,0,1,0
51,8,0,0,0,0
52,1,133,0,4,11
53,0,0,0,0,0
54,0,1,0,0,321
55,219,4,5,9,879
56,56,31,14,1,107
57,0,1,1,0,4
58,16,38,22,27,49
59,157,0,0,0,1
60,1,0,0,0,167
61,14709,6282,12208,34118,16460
62,25724,15297,20401,39811,18941
63,172,312,152,360,546
64,178,113,58,438,2401
65,712,337,398,636,823
66,0,10,0,0,0
67,58,41,52,16,254
68,32,9,20,121,51
69,4,7,207,137,785
70,42,34,52,113,177
71,25,216,489,758,546
72,35278,12028,44524,13721,16136
73,307,74,127,191,1071
74,27,0,0,1,11
76,204,49,102,143,84
78,0,58,0,0,0
79,0,107,0,0,6
80,0,0,0,0,0
81,0,0,0,0,0
82,244,139,92,57,499
83,831,693,842,1082,1112
84,12886,2047,4693,5814,4925
85,6177,3117,5909,6288,9908
86,1,0,4464,5,2
87,46107,4362,14347,4294,1789
88,246,715,720,1436,7414
89,120,0,9,6130,11
90,1585,324,652,2738,1349
91,0,0,0,20,2
92,14,1,1,0,1
93,4,179,702,0,0
94,2264,89,2900,20,337
95,56,175,60,120,256
96,47,65,43,80,701
97,113,91,305,200,787
99,9057,927,831,1136,395
TOTAL,218764,129504,216120,355315,173920
