Exporters,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017
World,5220,7872,6244,5343,2907
China,2260,3056,3168,2457,1196
United States of America,1324,2865,1552,1483,617
Denmark,41,0,11,60,363
Panama,1070,1123,636,501,322
France,258,183,161,125,121
"Hong Kong, China",24,232,396,75,116
Canada,78,69,149,52,42
Dominican Republic,31,34,12,26,32
Mexico,20,54,21,35,28
Viet Nam,0,0,14,21,16
Germany,10,11,3,1,8
"Korea, Republic of",0,6,1,0,8
Spain,3,0,3,0,6
Belgium,4,0,11,32,5
Japan,4,0,2,13,4
Netherlands,10,20,31,109,4
United Arab Emirates,7,23,6,0,4
Colombia,0,2,0,8,3
Brazil,13,49,1,1,2
Peru,3,0,1,3,2
Chile,2,3,0,0,1
Cuba,0,0,0,0,1
Curaçao,23,2,3,6,1
Trinidad and Tobago,0,0,0,0,1
Türkiye,0,0,0,3,1
Bahamas,0,1,1,0,0
Barbados,0,0,0,4,0
Croatia,0,0,19,0,0
Guinea,0,2,0,0,0
Indonesia,2,104,1,1,0
Ireland,0,4,0,0,0
Italy,5,5,20,6,0
Jamaica,7,2,5,4,0
Kenya,0,0,1,0,0
"Macao, China",0,0,5,0,0
"Taipei, Chinese",13,0,0,2,0
Nigeria,0,0,0,1,0
Portugal,0,1,0,0,0
Saint Lucia,0,1,0,0,0
India,0,0,0,289,0
Eswatini,0,2,0,0,0
Sweden,0,15,1,0,0
Switzerland,1,1,1,0,0
Turks and Caicos Islands,0,0,0,0,0
United Kingdom,5,0,1,23,0
"Venezuela, Bolivarian Republic of",0,0,3,1,0
HHI,0.430810475,0.445908961,0.486481882,0.444304374,0.369962294
