Code,2013,2014,2015,2016,2017
1,0.49022894,0.697433385,0.840613785,0.896165534,0.68164403
2,0.830423426,0.802380161,0.770783701,0.7521801,0.66770978
3,0.48812394,0.475670878,0.530435037,0.496091769,0.355006489
4,0.287294808,0.476994017,0.429857212,0.443688268,0.389568479
5,1,0,1,1,1
6,0.445948048,0.474999515,0.645040953,0.723096224,0.461048103
7,0.299178698,0.244257094,0.412107195,0.333909804,0.28128728
8,0.420778947,0.529329626,0.610108877,0.781974291,0.735711446
9,0.256900286,0.175877916,0.145519496,0.196254948,0.204876043
10,0.732184757,0.644387168,0.675656386,0.62649365,0.671997009
11,0.29921662,0.32574005,0.22331252,0.238001551,0.28188507
12,0.504012217,0.545379334,0.547662015,0.634487297,0.771132627
13,0.133236716,0.316928934,0.295141744,0.319228123,0.236735326
14,0.423943224,0.903885274,0.024510411,0.487310034,1
15,0.407523627,0.560781702,0.645439261,0.598900479,0.542086993
16,0.284523072,0.340912603,0.33382983,0.356388394,0.290551178
17,0.364615865,0.403091048,0.359779753,0.400429755,0.294605256
18,0.405848888,0.325355008,0.289842907,0.489378556,0.379067128
19,0.219589357,0.22722808,0.17922735,0.181838375,0.157701328
20,0.394121541,0.441692942,0.392401775,0.488416402,0.432117801
21,0.504261327,0.458899648,0.480561917,0.498555564,0.400077741
22,0.239058568,0.25417586,0.236380528,0.271466467,0.253402904
23,0.431011644,0.529711313,0.443146563,0.466466896,0.448216523
24,0.255880133,0.364220645,0.371294955,0.502678565,0.150864697
25,0.480778964,0.616914729,0.522920502,0.387538595,0.24741507
26,0.365544529,0.102255456,0,1,0
27,0.807652147,0.767046332,0.785702693,0.757337312,0.634114823
28,0.400756103,0.426953202,0.38605247,0.281596496,0.294124691
29,0.29775535,0.254703089,0.237125212,0.25543912,0.364157765
30,0.295317085,0.297282008,0.479951901,0.330490249,0.579839127
31,0.978832379,0.959911689,0.757042158,0.983225594,0.95290831
32,0.56213358,0.58815734,0.6262413,0.64870521,0.48119871
33,0.242064683,0.247993137,0.245538244,0.247781499,0.207218036
34,0.27420049,0.25371917,0.22128192,0.21480214,0.196023274
35,0.265238083,0.259774293,0.271408258,0.30008464,0.300046436
36,0.73421267,0.62129546,0.75159499,0.87115024,0.64954458
37,0.819870239,0.852667382,0.796375302,0.381037043,0.82758808
38,0.293178382,0.288937728,0.282429721,0.293208009,0.268291647
39,0.389258751,0.412470883,0.355193978,0.358878229,0.292368601
40,0.363361909,0.365031017,0.343303975,0.380963311,0.371245945
41,1,1,1,0.474377247,0.603553391
42,0.430810475,0.445908961,0.486481882,0.444304374,0.369962294
43,1,1,0,1,1
44,0.60553536,0.61541728,0.56226489,0.60059063,0.58778215
45,0.350887561,0.416525174,0.32581502,0.156409941,0.07565087
46,0.49893966,0.23802729,0.677584777,0.676031291,0.082863336
47,0.540390827,1,1,1,1
48,0.35905336,0.384951386,0.384726528,0.357803984,0.315025928
49,0.319363378,0.315457357,0.31696218,0.231308059,0.30978236
50,0,0,0,1,0
51,0.908516207,0.899293454,0.082195421,0.067691308,0.072806663
52,0.284235664,0.246247306,0.934689006,0.652843392,0.248644607
53,0.18211668,0.24994278,1,0.04781085,0.39409178
54,0.539958374,0.533354438,0.451816459,0.491929022,0.303432979
55,0.27473802,0.329765607,0.276634701,0.343936784,0.331194855
56,0.302868172,0.229728086,0.275003579,0.290076818,0.195472659
57,0.4448629,0.78160554,0.79409533,0.51883776,0.70865125
58,0.21232228,0.22397154,0.13292702,0.19548536,0.19386157
59,0.209609705,0.217068788,0.307265549,0.266821572,0.254715601
60,0.473771826,0.634957495,0.708664103,0.224211418,0.302461655
61,0.474671409,0.506412683,0.470654783,0.503659801,0.3601644
62,0.463844447,0.411688852,0.331304476,0.376990591,0.644690648
63,0.58511298,0.61583087,0.55313813,0.51369463,0.43466756
64,0.42490553,0.41751543,0.37847226,0.42395259,0.38995056
65,0.52264631,0.392386987,0.520212918,0.624224385,0.623023167
66,0.557391589,0.593194529,0.310822469,0.400516769,0.385018594
67,0.414444453,0.476905529,0.477953204,0.529567015,0.418671448
68,0.358209929,0.339306816,0.318145544,0.359795059,0.309636684
69,0.27525417,0.247434895,0.323330884,0.306655357,0.296406985
70,0.35571928,0.35408281,0.41300867,0.3560622,0.33698757
71,0.536049911,0.436569304,0.451901659,0.655480566,0.349599137
72,0.411934149,0.408969873,0.266790149,0.565345578,0.395258557
73,0.335068644,0.305450007,0.318132159,0.384211704,0.320855038
74,0.840633608,0.686798148,0.679771864,0.51751508,0.535958221
75,0.25454794,0.13059098,0.18597402,0.5303386,1
76,0.241376849,0.255569106,0.325027908,0.415129903,0.223803766
78,0.141167932,0.222435181,0.084364644,0.037303363,1
79,0.272266533,0.326769891,0.292286476,0.753795634,0.594293361
80,0.603553391,0.34395996,0.50528842,1,0.130590976
81,0.236073772,1,0.401219067,0,1
82,0.315260666,0.261635543,0.267511891,0.243506989,0.203882153
83,0.313340947,0.331918847,0.283850713,0.306389119,0.335585261
84,0.506249824,0.427547086,0.439226718,0.424202989,0.301756172
85,0.430471647,0.439274255,0.398251465,0.424118902,0.341065592
86,0.589716898,0.491420744,0.282741219,0.692296902,0.587181774
87,0.33529065,0.353042789,0.340793552,0.329621628,0.309814141
88,0.802048636,0.696547513,0.686998561,0.872571718,0.533259716
89,0.438449556,0.376169056,0.685426157,0.4881761,0.640674198
90,0.536759776,0.327162413,0.434555156,0.3611121,0.486767964
