Code,2013,2014,2015,2016,2017
1,3.53E-05,4.61E-05,0.000144379,0.000142438,6.11E-05
2,0.022480546,0.025683907,0.02581374,0.031232844,0.023303134
3,0.006465808,0.007897694,0.008258732,0.007523729,0.007061263
4,0.023002965,0.02600894,0.026619509,0.026822621,0.026465374
5,7.52E-06,1.92E-06,1.09E-05,1.57E-05,2.30E-06
6,0.000138125,0.000135339,0.000156544,0.000138036,0.000458249
7,0.010470934,0.009479758,0.016646157,0.018376978,0.015938057
8,0.000838276,0.00110028,0.001087804,0.000895817,0.000760684
9,0.000422648,0.000523511,0.000553506,0.000560947,0.001146312
10,0.101724734,0.095189871,0.106563192,0.116516232,0.086228491
11,0.015171197,0.012998568,0.01016383,0.009120414,0.009801565
12,0.00093153,0.000741756,0.00105195,0.001213393,0.001601803
13,0.000584337,0.000572651,0.000630978,0.000292736,0.000355292
14,2.36E-05,9.61E-06,2.56E-06,1.89E-06,9.19E-07
15,0.037351428,0.040960176,0.041317991,0.046593475,0.044939198
16,0.007827756,0.01039254,0.011393132,0.009787324,0.009953702
17,0.030199005,0.034356025,0.026763888,0.041662238,0.039019191
18,0.000377776,0.000365936,0.000496843,0.000320721,0.00033323
19,0.015786619,0.015782759,0.016648078,0.017804397,0.015406267
20,0.005468349,0.005581011,0.005015808,0.006348382,0.00591679
21,0.022723205,0.02288297,0.023165939,0.026292174,0.018125886
22,0.011014159,0.01133552,0.009415364,0.009382965,0.009599329
23,0.001461469,0.001966943,0.001888131,0.002312018,0.00265619
24,0.002545913,0.001150517,0.001735108,0.001342939,0.002901171
25,0.032584483,0.033010323,0.035525546,0.034652292,0.03579674
26,4.16E-05,4.67E-06,9.60E-07,3.77E-06,0
27,0.207684718,0.205307918,0.178627497,0.165288406,0.107651747
28,0.003663197,0.003304683,0.002960569,0.00516769,0.006008715
29,0.003260353,0.003808978,0.004295514,0.00440079,0.007125611
30,0.015418118,0.015165911,0.028024563,0.025157389,0.081037454
31,0.004639599,0.004694858,0.002663488,0.002255106,0.002455792
32,0.002189947,0.002731484,0.003176337,0.003462839,0.003802502
33,0.006949371,0.008692157,0.008746932,0.009454655,0.009762956
34,0.007278765,0.009079506,0.010127015,0.009269141,0.007612817
35,0.000998211,0.001322368,0.001574723,0.001265274,0.001708437
36,0.000652271,0.000601201,0.000656588,0.000594276,0.000650833
37,0.000120076,0.000121064,0.000101161,0.000159731,7.35E-05
38,0.004975762,0.005334217,0.005546265,0.007392925,0.010135255
39,0.028392349,0.030932199,0.030548474,0.033261559,0.035529236
40,0.010130008,0.011526037,0.010919339,0.009932907,0.010941902
41,5.01E-07,5.49E-07,2.34E-05,3.52E-05,1.47E-05
42,0.001308553,0.002161029,0.001998896,0.00168001,0.001336138
43,2.51E-07,5.49E-07,0,3.14E-07,4.60E-07
44,0.012551584,0.010423561,0.012831799,0.012644568,0.015047758
45,7.52E-06,1.51E-05,5.44E-06,1.41E-05,1.01E-05
46,3.26E-06,5.49E-06,6.72E-06,4.40E-06,1.84E-06
47,7.27E-06,5.49E-07,1.92E-06,1.89E-06,1.84E-06
48,0.014898707,0.015054181,0.017677938,0.01665955,0.016340691
49,0.004467381,0.004545793,0.006757639,0.007259291,0.011395095
50,0,0,0,4.09E-06,0
51,0.000534702,0.000192714,6.08E-06,5.03E-06,3.22E-06
52,8.32E-05,0.000107612,0.000822416,0.00101027,0.000244982
53,3.36E-05,4.12E-06,5.76E-06,4.72E-06,2.39E-05
54,0.000484566,0.001420097,0.002314545,0.001836912,0.001580201
55,0.002432606,0.002163774,0.002507584,0.002541554,0.003182464
56,0.000354212,0.000720618,0.000521493,0.000621632,0.000674734
57,0.000488827,0.000350563,0.000325893,0.000544911,0.000250497
58,0.00016946,0.000147418,0.000152702,0.000197778,0.000243603
59,0.000116567,0.000148241,0.000189517,0.000217587,0.000303354
60,1.05E-05,5.05E-05,2.50E-05,7.48E-05,0.000119503
61,0.005597701,0.005160171,0.004658862,0.003911219,0.002677792
62,0.004338531,0.003943219,0.003656533,0.002973583,0.00620038
63,0.0105138,0.011373678,0.011005454,0.011239686,0.009888435
64,0.008393041,0.006552541,0.005154105,0.003956183,0.004661086
65,0.000345187,0.000248441,0.000347662,0.000613142,0.000502833
66,0.000339923,0.000174595,0.000355985,0.000200922,0.000411827
67,0.000193526,0.000161144,0.000224412,0.00016319,0.000211888
68,0.000957851,0.000969608,0.001018656,0.001364949,0.001995245
69,0.006495388,0.007348103,0.008782146,0.006869396,0.009183825
70,0.006767377,0.005861846,0.006970846,0.006828519,0.006876953
71,0.000411618,0.000328876,0.000356946,0.000435488,0.000431131
72,0.033996818,0.038219084,0.035957402,0.028831841,0.045565671
73,0.018569175,0.02274818,0.02155248,0.017336208,0.022531879
74,0.003160081,0.000849093,0.000633539,0.001057749,0.001179865
75,2.26E-06,8.24E-07,3.20E-06,3.46E-06,1.38E-06
76,0.00313376,0.003578381,0.004228607,0.004186347,0.00540982
78,2.46E-05,2.61E-05,9.60E-06,5.66E-06,3.68E-06
79,0.000159934,7.19E-05,8.07E-05,0.000271355,0.000693119
80,2.01E-06,9.33E-06,7.68E-06,1.57E-06,1.38E-06
81,5.59E-05,3.84E-06,1.60E-06,0,9.19E-07
82,0.002087418,0.002237895,0.002747362,0.00237176,0.003449048
83,0.003845442,0.007239118,0.004465183,0.004257095,0.005159323
84,0.043246686,0.0434391,0.044540107,0.038562882,0.045054105
85,0.070262047,0.055967688,0.057518526,0.048367501,0.052055617
86,0.000389558,0.000308013,0.000233055,0.00086626,0.000137888
87,0.05717175,0.054322758,0.050852124,0.052224009,0.052642102
88,0.000998211,0.001022316,0.000620093,0.003615025,0.000614522
89,0.000340424,0.000277266,0.000435058,0.000203437,0.000398957
90,0.008094731,0.006578071,0.005473275,0.006274805,0.008816582
91,0.000178986,0.000155928,0.000163907,5.06E-05,8.27E-05
92,0.000118071,0.00045543,7.91E-05,5.06E-05,8.27E-05
93,0.001041077,0.00126362,0.001798174,0.000408762,0.000238547
94,0.018254821,0.01474809,0.013930488,0.011525505,0.011300871
95,0.002302001,0.001864821,0.001487007,0.001283826,0.001301207
96,0.002267658,0.002620852,0.002876695,0.005210452,0.005688814
97,4.51E-05,5.16E-05,0.000640261,2.26E-05,8.78E-05
99,0.001911691,0.001504375,0.001919824,0.002675187,0.001354523
