Code,2013,2014,2015,2016,2017
1,141,168,451,453,133
2,89678,93559,80635,99331,50700
3,25793,28769,25798,23928,15363
4,91762,94743,83152,85305,57580
5,30,7,34,50,5
6,551,493,489,439,997
7,41770,34532,51998,58445,34676
8,3344,4008,3398,2849,1655
9,1686,1907,1729,1784,2494
10,405794,346749,332874,370561,187605
11,60520,47350,31749,29006,21325
12,3716,2702,3286,3859,3485
13,2331,2086,1971,931,773
14,94,35,8,6,2
15,149000,149206,129066,148183,97773
16,31226,37857,35589,31127,21656
17,120468,125149,83603,132500,84893
18,1507,1333,1552,1020,725
19,62975,57492,52004,56624,33519
20,21814,20330,15668,20190,12873
21,90646,83356,72364,83618,39436
22,43937,41292,29411,29841,20885
23,5830,7165,5898,7353,5779
24,10156,4191,5420,4271,6312
25,129984,120247,110972,110206,77882
26,166,17,3,12,0
27,828483,747877,557983,525673,234215
28,14613,12038,9248,16435,13073
29,13006,13875,13418,13996,15503
30,61505,55245,87541,80009,176311
31,18508,17102,8320,7172,5343
32,8736,9950,9922,11013,8273
33,27722,31663,27323,30069,21241
34,29036,33074,31634,29479,16563
35,3982,4817,4919,4024,3717
36,2602,2190,2051,1890,1416
37,479,441,316,508,160
38,19849,19431,17325,23512,22051
39,113261,112677,95425,105783,77300
40,40410,41986,34109,31590,23806
41,2,2,73,112,32
42,5220,7872,6244,5343,2907
43,1,2,0,1,1
44,50070,37970,40083,40214,32739
45,30,55,17,45,22
46,13,20,21,14,4
47,29,2,6,6,4
48,59433,54838,55221,52983,35552
49,17821,16559,21109,23087,24792
50,0,0,0,13,0
51,2133,702,19,16,7
52,332,392,2569,3213,533
53,134,15,18,15,52
54,1933,5173,7230,5842,3438
55,9704,7882,7833,8083,6924
56,1413,2625,1629,1977,1468
57,1950,1277,1018,1733,545
58,676,537,477,629,530
59,465,540,592,692,660
60,42,184,78,238,260
61,22330,18797,14553,12439,5826
62,17307,14364,11422,9457,13490
63,41941,41431,34378,35746,21514
64,33481,23869,16100,12582,10141
65,1377,905,1086,1950,1094
66,1356,636,1112,639,896
67,772,587,701,519,461
68,3821,3532,3182,4341,4341
69,25911,26767,27433,21847,19981
70,26996,21353,21775,21717,14962
71,1642,1198,1115,1385,938
72,135618,139221,112321,91695,99136
73,74075,82865,67324,55135,49022
74,12606,3093,1979,3364,2567
75,9,3,10,11,3
76,12501,13035,13209,13314,11770
78,98,95,30,18,8
79,638,262,252,863,1508
80,8,34,24,5,3
81,223,14,5,0,2
82,8327,8152,8582,7543,7504
83,15340,26370,13948,13539,11225
84,172517,158236,139131,122643,98023
85,280285,203874,179672,153825,113256
86,1554,1122,728,2755,300
87,228066,197882,158848,166090,114532
88,3982,3724,1937,11497,1337
89,1358,1010,1359,647,868
90,32291,23962,17097,19956,19182
91,714,568,512,161,180
92,471,1659,247,161,180
93,4153,4603,5617,1300,519
94,72821,53723,43515,36655,24587
95,9183,6793,4645,4083,2831
96,9046,9547,8986,16571,12377
97,180,188,2000,72,191
99,7626,5480,5997,8508,2947
TOTAL,3989138,3642709,3123724,3180338,2175673
