Importers,Exported value in 2001,Exported value in 2002,Exported value in 2003,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018
World,12,56,53,13,5,7,0,0,0,1,0,30,17,18,9,2,35,75
Australia,5,27,21,7,0,4,0,0,0,0,0,0,0,0,0,0,0,75
"Korea, Democratic People's Republic of",0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nauru,0,0,0,0,0,0,0,0,0,0,0,21,4,8,8,2,0,0
China,0,15,14,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Kiribati,0,0,0,0,0,0,0,0,0,0,0,6,8,6,2,0,0,0
"Korea, Republic of",7,0,19,6,5,0,0,0,0,0,0,3,0,0,0,0,0,0
Namibia,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Vanuatu,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0
Papua New Guinea,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,35,0
India,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HHI,0.033301071,0.066757189,0.044265823,0.007132109,1,0.024510411,0,0,0,1,0,0.372641084,0.211250605,0.049689789,0.714044915,1,1,1
