code,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
1,0.336864637,0.107298258,0.594016081,0.626629873,0.654195269,0.634799227,0.929052509,0.926359351,0.583860492,0.089614897,0.954997071,0,0.058300524,0.081442967,0.137445077,0.154644891,0.240306035,0.150914819
2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
3,0.266585687,0.512705073,0.285383797,0.473784438,0.476583494,0.338710463,0.401393304,0.602014498,0.444002623,0.577047682,0.50517393,0.428593665,0.423574033,0.370843119,0.662178563,0.75520885,0.660215187,0.494270319
4,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0
5,0.620415845,0.538499123,0.543944682,0.56954289,0.449610406,0.263723791,0.298944419,0.447873641,0.527370491,0.455194702,0.226910682,0.421706443,0.262269349,0.317046533,0.334669783,0.31360634,0.433631897,0.322869551
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.406480581,0.330275069,0.918161292
7,0,0,1,1,0.683012702,0.552622199,0.416076992,0.203174184,0.093196152,0.732042935,0.921835198,0.985058363,0.808127429,0.49580202,0.176148034,0.157654881,0.411254881,0.191773813
8,1,0.44222051,0.130590976,0.144246656,1,0.848501418,1,1,0,1,0.705097496,1,1,1,1,1,0.039579909,0.807307705
9,0,0,0,0,1,1,0.536801474,0,0,1,0,0,1,0.047810851,0,0,0,0
10,0,0,1,1,0,0,0,0,0.422021217,0.733901211,0.148686252,0.381806703,0.000113779,0.439505715,1,1,0.981434214,0
11,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0
12,0.915040211,0.147670201,0.353747505,0.257512571,0.300179,0.234281569,0.528596822,0.956676509,0.894474141,0.910608327,0.93935058,0.928868836,0.61236532,0.736258631,0.846363801,0.86744575,0.933612307,0.568215834
13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
15,1,0.020891041,0.841480405,0.311150648,0.00042969,0.419506781,0.456840158,0.666427807,0.904697095,0.490691349,0.305088538,0.823290315,0.839699138,0.676579536,0.800646557,0.481232131,0.449726573,0.308129108
16,0.408854574,0.350056444,0.329769645,0.134086426,0.211925554,0.105858397,0.415145878,0.287235497,0.581708805,0.736010949,0.266785423,0.508407672,0.234507845,0.373039502,0.370911043,0.227026084,0.201788945,0.720579023
17,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0.05371666,1,1,0
18,0.794757387,0.406236908,0.493240025,0.729300391,0.523727244,0.539187144,0.52665359,1,0.116705841,0.236932333,0.227925295,0.181250341,0.542755756,0.75190374,0.528202402,0.966450288,0.982425623,0.965578433
19,1,0,0,0,0,0,0,0,1,0.860832226,0.522099367,0.458835577,0.851784171,0.443060812,0.778838526,1,1,1
20,0.033301071,0.066757189,0.044265823,0.007132109,1,0.024510411,0,0,0,1,0,0.372641084,0.211250605,0.049689789,0.714044915,1,1,1
21,0,0,0,0,0,0,0,0,1,1,0,1,1,0.705097496,0,1,1,1
22,1,0,0,0,0,1,0,0,1,0.100174055,0.408688057,0.151683365,0.370556254,0.30616353,0.329835757,0.393670795,0.236601795,0.150433785
23,0.575927765,0.487310034,1,1,1,0.24363508,1,0.221044443,0.101623021,0.226422537,0.95225595,0.629542808,0.205249021,0.14478106,0.237770689,0.299545869,0.323692388,0.292818799
24,0,0,0,1,1,1,1,1,1,0.284959256,1,0,1,0,0,0.995545715,1,0.324006881
25,0,0,0,0,0,0,0,0,1,1,0.603553391,1,0.650136891,1,1,0,0.941911311,1
26,0,0,0,0,0,0,0,0,0,1,1,1,1,0.643504696,0.212525265,0.892381335,0.672783212,1
27,0,0,0,1,1,1,0,0,0,0.40121907,1,1,1,0.13059098,0.21237254,0.85851416,0,0
28,0,0,0,0,0,0,0,0,0,1,1,0.22797202,0,0.89636374,0,0,0,0
29,0.003697552,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0.049762312,0,0,1,0.130590976,0,1,1,0.130590976,0
31,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
32,0,0,1,0,0,0,0.114962551,0,1,1,1,0,1,1,0,0,0.738716076,0
33,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.62498799,1
34,0,0,1,1,1,0,0,0,1,0.487310034,0,1,1,0.284959256,0.685119683,0.573357863,0.009955562,0.241752839
35,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
36,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1
39,1,0.46907479,1,0,1,0,0,0,0.687810871,0.203418298,0.951857777,1,0.599342904,0.624422974,0.602467234,0.130590976,0.696627723,0.733897344
40,0,0,0,0,0,0,0,0,1,0.284959256,1,0,0.130590976,0.978794325,0.033301071,1,1,1
42,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0.959050337,0,0,0,0
