Code,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
1,0.000809441,0.000232968,0.00230058,0.001078141,0.000969614,0.000316895,0.003949592,0.00208955,0.012386354,0.000159246,0.002152889,0,1.02E-05,8.72E-05,0.000114885,0.000228674,0.000428244,0.000154627
2,0,0,0,0,0,0,0,8.72E-06,1.40E-05,0,0,0,0,0,0,0,0,0
3,0.130660759,0.047192731,0.02935451,0.020758239,0.018859679,0.113825177,0.115866259,0.175142648,0.104808683,0.101276182,0.099579628,0.104996687,0.129354281,0.124287649,0.093648617,0.084014974,0.101707974,0.039630161
4,0,0,0,0,0,0,0,0,1.40E-05,8.85E-06,0,0,0,2.18E-06,0,0,2.00E-06,0
5,0.035828399,0.016407628,0.011834712,0.014369851,0.013438033,0.007142979,0.004717706,0.002041564,0.002954458,0.003357441,0.003365408,0.002318106,0.002148647,0.002438296,0.000956541,0.000761486,0.000480274,0.000611479
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.20E-05,0.000114065,0.000361967
7,0,0,6.64E-05,0.000112642,2.73E-05,6.00E-05,0.000778025,0.001326144,0.001477229,0.002229447,0.001088594,0.000488925,0.000192172,0.000157028,0.000294705,8.23E-05,6.80E-05,8.96E-05
8,0.004686235,0.000332812,0.00046454,0.000933316,0.000805736,0.000188424,7.93E-05,2.62E-05,0,1.77E-05,5.35E-05,0.000162975,7.16E-05,8.94E-05,8.99E-05,9.38E-05,4.40E-05,4.22E-05
9,0,0,0,0,2.73E-05,8.56E-06,0.000158578,0,0,4.42E-06,0,0,4.09E-06,1.09E-05,0,0,0,0
10,0,0.008353579,8.85E-05,0.000160917,0,0,0,0,0.002698156,0.004640258,0.000362055,0.000529669,0.000210572,0.000333684,4.99E-05,2.29E-05,0.001098626,0
11,0,0,8.85E-05,0,0,0,0,0,0,2.21E-05,0.00117364,4.29E-06,0,0,0,0,8.00E-06,0
12,0.005069654,0.004958898,0.03143388,0.056336895,0.050119495,0.025651347,0.044060002,0.095984051,0.049079412,0.053015726,0.061413228,0.05264738,0.015684511,0.024810421,0.025699237,0.026974432,0.028720371,0.012124151
13,0,0,0,0,0,0,0,0,0,0,0,0,3.68E-05,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,4.29E-06,0,0,0,0,0,1.05E-05
15,0.004132407,0.001630778,0.00046454,0.001013774,0.002895186,0.019921547,0.088501583,0.096289414,0.114380379,0.140725013,0.109328376,0.098805779,0.06831921,0.080618603,0.085321965,0.086313151,0.079409263,0.057087181
16,0.010607933,0.006922488,0.001924523,0.004714856,0.012919085,0.041427568,0.010862617,0.019983772,0.010238081,0.005927499,0.007141469,0.017011595,0.005877603,0.00854712,0.008561417,0.006691013,0.008953103,0.071622106
17,0,0,0,0,0,0,0,0,0,4.42E-06,0,2.36E-05,2.45E-05,3.93E-05,8.49E-05,2.74E-05,2.00E-06,0
18,0.060708048,0.128298998,0.136685396,0.073731977,0.067995903,0.036211651,0.045432696,0.04274634,0.069751294,0.065843894,0.038968266,0.019123837,0.018830817,0.028203971,0.028366563,0.028883863,0.008839038,0.01518506
19,0.000170409,0,0,0,0,0,0,0,9.79E-05,0.000212328,9.48E-05,0.000265907,9.20E-05,0.000237723,0.000631867,0.000166932,0.000252144,0.000189769
20,0.000511226,0.001863747,0.001172411,0.000209192,6.83E-05,6.00E-05,0,0,0,4.42E-06,0,6.43E-05,3.48E-05,3.93E-05,2.25E-05,4.57E-06,7.00E-05,0.000131784
21,0,0,0,0,0,0,0,0,1.86E-05,1.77E-05,0,2.57E-05,2.86E-05,2.18E-05,0,4.57E-06,0.000104059,7.73E-05
