Code,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
1,19,7,104,67,71,37,797,479,2658,36,886,0,5,40,46,100,214,88
2,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
3,3067,1418,1327,1290,1381,13290,23381,40149,22491,22895,40981,48963,63273,56988,37497,36740,50825,22554
4,0,0,0,0,0,0,0,0,3,2,0,0,0,1,0,0,1,0
5,841,493,535,893,984,834,952,468,634,759,1385,1081,1051,1118,383,333,240,348
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,57,206
7,0,0,3,7,2,7,157,304,317,504,448,228,94,72,118,36,34,51
8,110,10,21,58,59,22,16,6,0,4,22,76,35,41,36,41,22,24
9,0,0,0,0,2,1,32,0,0,1,0,0,2,5,0,0,0,0
10,0,251,4,10,0,0,0,0,579,1049,149,247,103,153,20,10,549,0
11,0,0,4,0,0,0,0,0,0,5,483,2,0,0,0,0,4,0
12,119,149,1421,3501,3670,2995,8891,22003,10532,11985,25274,24551,7672,11376,10290,11796,14352,6900
13,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6
15,97,49,21,63,212,2326,17859,22073,24545,31813,44993,46076,33418,36965,34163,37745,39682,32489
16,249,208,87,293,946,4837,2192,4581,2197,1340,2939,7933,2875,3919,3428,2926,4474,40761
17,0,0,0,0,0,0,0,0,0,1,0,11,12,18,34,12,1,0
18,1425,3855,6179,4582,4979,4228,9168,9799,14968,14885,16037,8918,9211,12932,11358,12631,4417,8642
19,4,0,0,0,0,0,0,0,21,48,39,124,45,109,253,73,126,108
20,12,56,53,13,5,7,0,0,0,1,0,30,17,18,9,2,35,75
21,0,0,0,0,0,0,0,0,4,4,0,12,14,10,0,2,52,44
22,3,0,0,0,0,1,0,0,9,158,224,453,525,524,245,369,500,522
23,52,5,4,34,10,42,99,569,152,510,213,781,1486,2321,1716,2179,2551,2454
24,0,0,0,2,11,22,11,13,1,3,1,0,77,0,0,766,56,97
25,0,0,0,0,0,0,0,0,2,2,8,4,6,2,1,0,728,1
26,0,0,0,0,0,0,0,0,0,238,528,883,519,871,2699,624,20250,21289
27,0,0,0,30,14,7,0,0,0,5,15,13,36,3,7,48,0,0
28,0,0,0,0,0,0,0,0,0,48,126,324,0,96,0,0,0,0
29,56,0,0,0,0,0,0,0,0,0,1,0,55,0,0,0,0,0
30,0,0,0,0,0,0,0,0,98,1,0,33,6,0,454,7,3,0
31,0,0,0,0,0,0,0,0,0,0,0,0,0,245,0,0,0,0
32,0,0,1,0,0,0,21,0,1,3,116,0,1,6,0,0,25,0
33,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,17,50
34,0,0,1,2,3,0,0,0,2,6,0,1,5,24,36,24,11,21
35,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0
37,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,1,0,0,0,0,0,0,5,18,0,0,18,0,2,7,1,1
39,13,16,14,0,1,1,0,0,19,5,97,5,10,80,9,4,15,50
40,0,0,0,0,0,0,0,0,8,4,2,2,10,321,12,15,12,1
42,0,0,0,0,0,0,0,0,0,0,2,31,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0,0,0,0,0,1243,0,0,0,0
44,16931,23100,34273,50403,59769,85707,135942,125107,129256,128254,204804,206024,253960,273830,288069,321729,353326,426694
46,1,0,0,0,5,0,0,0,0,0,1,2,0,0,1,0,0,0
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,2,0,0,0,0,1,3,0,18,14,0,0
49,0,0,0,0,0,0,0,0,5,2,145,5,156,23,7,6,0,2
52,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
57,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,0,0,0,0,0,1,0,0,0,2,11,0,1,0,0,0,0,5
62,4,0,1,1,1,6,0,0,1,1,1,0,2,1,1,3,0,1
63,0,2,4,8,0,0,0,0,1,14,1,8,17,12,1,28,24,7
64,0,0,0,1,0,1,0,0,0,0,0,10,0,0,0,2,0,0
65,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
68,0,2,0,0,0,0,0,0,0,1,0,4,1,0,5,0,2,0
69,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,8,4,0
70,0,0,3,3,0,0,0,0,24,0,17,57,0,0,0,0,0,0
