Exporters,Imported value in 2001,Imported value in 2002,Imported value in 2003,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018
World,1799,1381,1669,2578,3313,4591,3906,4950,2516,5498,6870,7493,7452,6962,6124,7257,6461,6795
China,116,104,71,423,453,993,600,837,544,1183,1607,1451,2092,1854,2234,2253,1825,2294
Fiji,348,299,242,205,343,626,708,1018,456,885,1156,1206,1484,1766,1136,1575,1129,1345
Singapore,93,108,68,78,147,120,191,117,75,101,505,883,421,709,520,748,1216,1113
Australia,760,554,569,767,1213,1325,1284,1411,601,1454,1892,1492,1763,1000,684,873,740,509
"Hong Kong, China",30,63,283,178,430,551,436,473,127,265,336,175,243,231,257,383,390,361
Malaysia,41,27,26,64,59,127,85,174,189,213,248,342,166,148,150,296,283,289
New Zealand,105,119,61,584,243,180,130,319,154,294,409,501,429,396,338,405,354,256
Papua New Guinea,38,22,42,63,64,47,99,96,83,113,139,119,88,67,63,179,21,192
Viet Nam,0,0,0,0,0,0,0,0,0,0,0,1,13,13,11,33,250,170
Thailand,2,7,17,94,138,250,170,113,147,696,172,135,234,167,364,322,193,164
Norway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
United States of America,4,6,6,0,4,11,7,1,0,0,11,96,53,52,18,35,21,33
"Korea, Republic of",0,0,0,0,1,1,4,0,0,6,6,7,1,0,22,7,7,6
"Taipei, Chinese",2,2,19,7,6,73,1,3,6,12,38,6,65,48,12,4,3,5
Philippines,0,0,0,0,3,2,0,0,0,1,3,5,19,1,1,1,2,5
Indonesia,154,22,200,43,168,184,90,195,54,85,71,298,313,420,194,54,4,4
"Korea, Democratic People's Republic of",0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,46,0,3
Japan,1,6,4,2,5,12,16,8,7,24,9,15,22,3,4,1,1,3
Bangladesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
New Caledonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Vanuatu,0,0,3,0,1,0,0,6,0,1,2,0,0,0,0,0,4,2
Sri Lanka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,1
United Kingdom,38,17,1,1,0,12,21,30,16,38,67,1,1,0,0,0,0,1
Marshall Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
United States Minor Outlying Islands,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,9,0
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Belgium,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bermuda,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
Brazil,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,0,0,0,0,0,0,1,0,0,0,0,1,4,0,0,0,1,0
Denmark,0,0,0,0,0,0,0,59,0,0,67,31,5,7,0,0,0,0
France,0,0,0,0,0,0,7,39,22,44,73,20,0,0,0,0,0,0
Germany,62,25,40,62,33,69,52,0,21,69,14,9,11,11,36,1,0,0
Kiribati,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0
Italy,0,0,0,0,0,0,1,1,0,1,0,10,1,0,1,0,1,0
Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
Mali,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
Morocco,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,1,0,0
Netherlands,0,0,0,0,0,4,0,0,0,0,0,0,1,0,1,0,0,0
Portugal,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
India,0,0,17,4,0,2,0,36,0,4,0,690,4,70,44,0,0,0
Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Spain,0,0,0,0,0,0,0,13,10,0,0,0,0,0,0,0,0,0
Sweden,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Switzerland,0,0,0,0,0,1,0,0,2,7,39,0,3,0,0,0,0,0
Egypt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
HHI,0.321622074,0.29918981,0.250671709,0.227308009,0.259440599,0.244977434,0.264849078,0.243009215,0.206161842,0.242266071,0.26211958,0.200558252,0.303601374,0.239841954,0.305303924,0.266584589,0.252816285,0.292621871
