code,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
1,0,0,0,0,0,0,0,0,0,0,1,1,0,0.487310034,1,1,0,0
2,0.111742137,0.390082326,0.277476609,0.330145437,0.424612964,0.50947062,0.455534433,0.481911119,0.469448441,0.568569527,0.586136868,0.670168908,0.642226501,0.559080139,0.592167239,0.575244809,0.716718645,0.640181541
3,0.121800606,0.124565888,0.452704912,0.512409929,0.338460401,0.411429309,0.46866016,0.287021555,0.772313123,0.228417932,0.241250946,0.294735954,0.593778302,0.393957224,0.372198615,0.416471275,0.257142507,0.177890772
4,0.255961493,0.291428851,0.594090719,0.546635913,0.495576692,0.568660156,0.688140624,0.526156663,0.536053647,0.623283159,0.572839968,0.62589481,0.58768862,0.576122332,0.596077581,0.538009622,0.570795209,0.602643081
5,0,0,0,1,0,0,0,0.390292973,0,0.323654704,0.284959256,1,0,0.047810851,1,0,0,0
6,0,0,1,0,1,0,0,0,1,1,0.082863336,1,0.683012702,0,0.401219067,0,0.401219067,1
7,0.622621371,0.650928841,0.560908331,0.485056751,0.454851083,0.58030086,0.610643817,0.588812558,0.540136725,0.457366853,0.574147225,0.456206992,0.443901492,0.521741108,0.497446316,0.639337872,0.634992445,0.528127101
8,0.76033392,0.642089189,0.560013454,0.599946454,0.44521347,0.493712132,0.406140645,0.41738305,0.360372748,0.500018642,0.472576463,0.427359302,0.510016863,0.4904797,0.452227351,0.498628415,0.450121807,0.505683575
9,0.437971462,0.298889062,0.321188099,0.273378444,0.432655522,0.387899218,0.501321075,0.392415132,0.546784909,0.440747718,0.390355172,0.485455677,0.574429848,0.468721903,0.273530717,0.309327935,0.344373157,0.28644546
10,1,0.988562378,0.71567149,0.896119121,0.44089131,0.665612692,0.898166882,0.742753138,0.610062578,0.444697309,0.518819097,0.943834806,0.900886636,0.961203909,0.966644341,0.600562411,0.562257036,0.525643768
11,0.901520348,0.708693525,0.443819735,0.643684435,0.665253333,0.296807763,0.515038806,0.691182378,0.589230785,0.593149738,0.576500619,0.50380016,0.422132046,0.5295483,0.72336477,0.464220561,0.269485614,0.361880883
12,0.464824998,0.316956719,0.268390881,0.390292973,0.390928388,0.3012892,0.372828197,0.342335138,0.422390788,0.291601346,0.206828959,0.248693381,0.380810615,0.299161003,0.196276181,0.349867864,0.316561003,0.697478466
13,0,0.93498569,1,0.003588725,0.401219067,0.979738146,1,0.923702581,1,1,0.63487417,1,0,0.378404875,0.556142721,0.312362729,0,1
