code,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
1,0,0,0,0,0,0,0,0,0,0,2.24E-05,1.62E-05,0,5.85E-06,1.29E-05,5.29E-05,0,0
2,0.001582793,0.004485811,0.003096559,0.004814825,0.005066418,0.005200367,0.003766653,0.004502308,0.004376147,0.007372811,0.008260663,0.010790182,0.011029539,0.011148726,0.011562916,0.01556449,0.016922367,0.017679297
3,5.36E-05,0.000120788,0.000362073,0.001181367,0.00022775,0.000182064,0.000192286,0.000302894,0.00405917,0.000171792,0.000112939,0.000235958,0.000843479,0.000326445,0.000162197,0.000291807,0.000296373,0.000160028
4,0.003155413,0.004349223,0.005263813,0.005705927,0.005019299,0.004165271,0.004123479,0.003278718,0.002485961,0.004322123,0.004194454,0.004428498,0.004089037,0.004737031,0.004157431,0.003990139,0.003358265,0.004028383
5,0,0,0,5.29E-05,0,0,0,8.31E-06,0,7.44E-06,3.19E-06,8.11E-06,0,4.78E-07,6.44E-06,0,0,0
6,0,0,2.50E-05,0,2.77E-05,0,0,0,4.68E-06,1.15E-05,7.42E-07,4.05E-06,2.35E-06,0,3.45E-06,0,3.51E-06,3.33E-06
7,0.00184325,0.001716033,0.001338834,0.001544081,0.001347338,0.001301085,0.001058735,0.001018911,0.00089316,0.001164493,0.001503367,0.001246399,0.001447107,0.001701129,0.001190676,0.001818614,0.001629211,0.001211009
8,0.001212046,0.000749081,0.000503886,0.000799455,0.00055593,0.000505616,0.00024189,0.000303375,0.000253218,0.000542816,0.000487978,0.000478121,0.000907375,0.000774567,0.000442684,0.000664686,0.000520367,0.000526378
9,0.001914978,0.001326846,0.001300487,0.001778076,0.002422117,0.002551893,0.003005677,0.002155314,0.00294042,0.002558609,0.002456934,0.003711304,0.004173055,0.003495579,0.002178475,0.002945695,0.002493494,0.002159097
10,0.166438938,0.141210359,0.100007981,0.111526818,0.063494808,0.067318951,0.081648293,0.081524936,0.114913275,0.040785007,0.040745515,0.086931625,0.074035137,0.096224472,0.096201687,0.053512239,0.044836402,0.042381787
11,0.002230944,0.001760943,0.002373842,0.008100855,0.004605714,0.001204598,0.001351392,0.003655437,0.001658864,0.002006788,0.002408273,0.001871656,0.001718173,0.001587737,0.003913186,0.001669277,0.000862984,0.000967601
12,0.000134081,7.68E-05,0.000110684,5.78E-05,0.000425771,0.000158721,0.000101156,4.58E-05,0.000211714,8.58E-05,5.14E-05,9.68E-05,0.000248155,0.000122151,9.27E-05,0.000138759,0.000147825,0.000182085
13,0,0.000736633,0.000262434,2.09E-06,0.000125249,0.000693681,0.000158822,0.000345529,0.000487174,0.000200098,9.95E-05,7.09E-05,0,1.51E-05,1.19E-05,9.64E-06,0,4.82E-05
14,0,0,0,2.12E-05,0,0,3.31E-06,0,4.68E-06,6.70E-07,0.00012812,1.82E-05,1.09E-05,3.40E-06,4.10E-06,9.22E-06,3.51E-06,6.67E-06
15,0.005409051,0.001031321,0.001213357,0.001111061,0.001352657,0.00132444,0.001580189,0.002216538,0.001686226,0.002124543,0.003752214,0.002819116,0.002388104,0.003078087,0.003102352,0.003499472,0.003054238,0.002423364
16,0.03455379,0.015824173,0.00902991,0.007965944,0.005853855,0.004820158,0.004936606,0.005297458,0.006746047,0.004414619,0.005974991,0.002769395,0.003348228,0.002496952,0.003277476,0.003103293,0.002491479,0.002910274
17,0.013401903,0.012073986,0.007010025,0.007307103,0.006204972,0.005997525,0.00594259,0.006793162,0.006071911,0.004857668,0.010061335,0.007382067,0.005741365,0.008140676,0.00559111,0.005801968,0.00545526,0.005721889
18,0.000564802,0.001217733,0.00021877,0.000427041,0.000249054,0.000172233,9.65E-05,0.000215469,0.000184613,0.000264245,0.000721456,0.000276169,0.000445174,0.000238798,0.00052022,0.000395654,0.000273252,0.000428522
19,0.021318254,0.020686896,0.017273801,0.022909544,0.010082256,0.006679896,0.005470332,0.005630611,0.005149172,0.004709907,0.00512451,0.006067632,0.005769188,0.006738409,0.0064107,0.006963696,0.006008716,0.006181619
20,0.002061785,0.002124693,0.001420721,0.001495633,0.001327399,0.000749781,0.000551983,0.000555881,0.000693129,0.000926286,0.001188654,0.00082016,0.000690102,0.000785458,0.000646084,0.00064793,0.000599724,0.002057783
21,0.004718289,0.003194502,0.002485364,0.003876122,0.007492086,0.001732612,0.001429273,0.001948197,0.001000352,0.001696533,0.001349929,0.001484775,0.001227229,0.000953938,0.000790486,0.000724619,0.00110066,0.001165527
22,0.003097723,0.00531231,0.003611538,0.001500215,0.001769131,0.002953006,0.003839948,0.003398249,0.003613643,0.003085065,0.003585913,0.003723734,0.003467271,0.003457178,0.027514848,0.008304645,0.02290138,0.003288278
23,0.000197121,0.000433511,0.001900606,0.002395988,0.002204603,0.000202322,0.003324588,0.003144223,0.000441972,0.001309379,0.001590405,0.002513569,0.002121404,0.001850559,0.001511559,0.001911214,0.001750662,0.001874049
24,0.000637639,0.00403827,0.002481078,3.17E-05,2.08E-05,0.007555603,0.005668558,0.001728742,0.002459868,0.002500567,0.005258451,0.003669838,0.003079732,0.004173176,0.00050342,0.002753196,0.010023666,0.001946522
25,0.00551398,0.005186221,0.005930695,0.00913126,0.009580427,0.007421693,0.006616249,0.004127178,0.004403677,0.002606337,0.002852405,0.003374986,0.002693862,0.003201132,0.003994008,0.002573984,0.003422708,0.003409285
26,0,0,0,1.06E-05,6.94E-06,1.26E-05,1.30E-06,0,2.81E-05,2.07E-05,2.25E-05,1.59E-06,2.00E-05,2.50E-05,0,8.63E-07,1.05E-05,1.16E-05
27,0.018843585,0.125275597,0.116214772,0.022867879,0.016988817,0.060952673,0.210615072,0.247480133,0.204082281,0.158623286,0.164952641,0.221967429,0.270353977,0.203083481,0.131805264,0.117953985,0.097239486,0.116944097
28,0.002822745,0.00083601,0.000769292,0.002079366,0.001343297,0.001144984,0.000446539,0.000769905,0.001052964,0.000888057,0.019649232,0.002815511,0.007875843,0.002489336,0.000760628,0.000732131,0.000571426,0.00053837
29,0.000197272,0.000536911,0.000356821,0.000581965,0.000368081,0.000834401,0.000727746,0.000168899,7.60E-05,9.47E-05,0.000313602,0.000338712,0.000304737,0.00035116,0.000399142,0.000404923,0.000226666,0.000253004
30,0.006179682,0.004493212,0.008510731,0.006814637,0.00812033,0.006507606,0.004154968,0.005551294,0.003329184,0.002657863,0.004452112,0.002827262,0.002014491,0.002761811,0.002179975,0.009667033,0.003468245,0.001703839
31,2.49E-05,1.25E-05,0.00035609,0.000639611,0.004465356,0.008352528,0.006284516,0.014075967,0.002796032,0.003376022,0.003628122,0.001388484,0.001254346,0.00188486,0.000662945,0.00118873,0.001298196,0.001660833
32,0.001798369,0.001542503,0.001940477,0.003692079,0.002216236,0.0022158,0.002033174,0.001566366,0.002628904,0.002634616,0.002317497,0.001806573,0.00240345,0.001706753,0.002248976,0.002071363,0.001918332,0.0013588
33,0.003188361,0.002194246,0.001662999,0.002532542,0.001087642,0.001921219,0.000864253,0.001289422,0.002475939,0.002978171,0.002061968,0.001474423,0.00121271,0.001203409,0.000968064,0.001358944,0.000999746,0.0008414
34,0.002647376,0.00246631,0.001726767,0.002570511,0.00191215,0.001468846,0.001372445,0.001822185,0.00192136,0.002151958,0.002417273,0.002336813,0.00258114,0.0033669,0.003127974,0.003469756,0.003241312,0.002362694
35,0.001139097,0.000377836,0.000724195,0.000670037,0.00054383,0.000555674,0.000354293,0.000328555,0.000197924,0.000443598,0.000401202,0.000253864,0.00034202,0.000313531,0.000231978,0.000275137,0.000229424,0.000179195
36,0.000502341,0.000647004,0.000660499,0.000474097,0.000349006,0.000331693,0.000630437,0.000500718,0.000533915,0.000350215,0.002238491,0.005792897,0.000912346,0.000389783,0.000679925,0.00061687,0.000633029,0.000742555
37,0.000537564,0.000731156,0.001290709,0.000961015,0.001293178,0.000906659,0.000747909,0.0008258,0.000324011,0.000392385,0.00038365,7.31E-05,0.000120269,0.000138658,0.000111166,0.000254478,0.000265797,0.00013626
38,0.002739793,0.001612382,0.001587594,0.002952407,0.002478512,0.002191923,0.001407027,0.002071268,0.000856417,0.001847655,0.004570278,0.00129622,0.001519669,0.001417497,0.000986323,0.001178266,0.001044431,0.001873329
39,0.006392964,0.007610999,0.006892894,0.009880359,0.009977669,0.005257647,0.006627344,0.0043744,0.006768148,0.006328081,0.006608399,0.0079923,0.005042626,0.005625458,0.005204719,0.007975375,0.006493472,0.00905416
40,0.002715614,0.002058999,0.002540642,0.002033045,0.001750699,0.002493774,0.00169199,0.001833616,0.001559557,0.002318354,0.003342892,0.003806285,0.003640549,0.00331124,0.002667049,0.003120191,0.003341006,0.00443909
41,3.07E-05,5.94E-06,1.78E-05,0,0,0,4.71E-06,0,4.22E-05,0,1.17E-06,2.31E-06,2.93E-06,4.96E-06,3.45E-06,3.36E-05,9.57E-05,8.69E-07
42,0.000728968,0.000259806,0.000248677,0.000782367,0.000370299,0.000361356,0.000361766,0.0005153,0.000370684,0.000736762,0.000500594,0.000755989,0.000857226,0.000823863,0.000840114,0.000759675,0.000626306,0.0005735
43,0,0,0,1.06E-05,0,8.01E-05,0,0,0,0,8.95E-07,2.03E-06,1.72E-06,2.00E-06,2.15E-06,8.06E-06,1.75E-06,0
44,0.002527541,0.002571979,0.001721383,0.00377084,0.002545973,0.001624007,0.001361104,0.001269349,0.001616422,0.00665919,0.005197983,0.003224285,0.001123428,0.001496287,0.001441115,0.002641487,0.001546015,0.00202524
45,5.87E-05,0,0,8.20E-05,1.39E-05,5.48E-05,1.99E-05,9.12E-06,1.41E-05,4.60E-06,4.48E-06,6.08E-06,9.01E-07,0,4.36E-06,8.81E-06,2.16E-05,0
46,7.74E-05,4.14E-05,2.07E-06,7.57E-05,5.37E-05,0.000143016,7.37E-05,0.000115679,0.000445329,5.72E-05,0.000176022,0.000143501,0.000197652,0.000126559,4.51E-05,3.83E-05,2.40E-05,2.95E-05
47,5.95E-06,3.03E-05,0,1.06E-05,1.39E-05,1.65E-06,0,0,3.67E-06,3.59E-06,6.72E-06,0,1.29E-05,0.000208533,0,8.31E-05,4.57E-06,5.07E-06
48,0.008784206,0.00626013,0.005228331,0.006197386,0.005962642,0.004739953,0.003422937,0.003658264,0.002429796,0.003063527,0.004033512,0.003045801,0.00390031,0.003342106,0.004013656,0.004262614,0.002856824,0.003306289
49,0.009956846,0.005707886,0.002660441,0.005054769,0.008083476,0.01684175,0.005597148,0.003084493,0.00930731,0.0059016,0.010590149,0.009794678,0.010162977,0.014027069,0.014551997,0.013611156,0.010801379,0.008988918
50,5.95E-06,3.03E-05,1.25E-05,1.06E-05,6.94E-06,1.69E-05,9.93E-06,0,2.81E-05,0,5.77E-06,0,1.72E-06,1.54E-05,0,0,1.40E-05,2.44E-05
51,0.000205278,0.000208984,6.65E-05,5.31E-05,0.000458742,5.99E-05,0.000113299,3.55E-05,2.72E-05,3.66E-05,0.000138205,4.57E-05,6.68E-05,4.38E-05,9.22E-06,1.54E-05,4.32E-05,1.38E-05
52,0.002571563,0.001231224,0.001436542,0.001264372,0.000948134,0.000574483,0.000693906,0.000409023,0.000576965,0.000459246,0.000268892,0.000295261,0.000275824,0.000352722,0.000274289,0.000155065,7.39E-05,0.000162916
53,2.80E-05,0,6.06E-06,0,7.61E-07,9.00E-06,1.32E-05,0,1.41E-05,6.24E-05,0.000236168,5.81E-05,5.73E-06,6.04E-06,0.000129678,5.61E-06,0,3.33E-06
54,5.67E-05,5.86E-05,5.18E-06,2.78E-06,1.06E-05,4.94E-05,6.23E-06,2.93E-05,3.86E-06,1.31E-05,1.18E-05,1.78E-05,0.00010248,9.05E-07,2.52E-05,0.000159616,0.000219676,7.09E-05
55,1.30E-05,3.62E-06,9.70E-05,2.46E-05,4.34E-05,3.31E-05,7.24E-05,7.57E-05,1.87E-05,9.55E-06,3.74E-05,0.000119407,3.67E-05,1.31E-05,3.94E-05,2.17E-05,1.69E-05,4.62E-05
56,0.000259943,0.000474937,0.000279434,0.000487956,0.000435119,0.000498166,0.000533056,0.000741512,0.000369138,0.000330516,0.000244909,0.000144606,0.000499043,0.000278098,0.00063148,0.001066319,0.002425996,0.000418224
57,0.000655269,0.000194202,0.000128865,0.00017009,0.000186195,6.12E-05,8.59E-05,0.000168811,0.000148453,0.000231371,0.00020376,0.000211585,0.000329062,0.000258659,0.000164354,0.000321993,9.49E-05,0.00038588
58,2.26E-05,3.26E-05,6.07E-05,4.22E-05,0.000120408,2.07E-05,2.47E-05,4.91E-05,6.93E-05,7.20E-05,1.18E-05,0.000107117,6.71E-05,7.14E-05,3.44E-05,0.000149239,7.40E-05,4.78E-05
59,0.000164987,3.89E-05,0.000142065,0.000200986,0.000287324,0.000211637,0.000156756,0.000212256,0.000229583,0.000189063,0.000272585,0.00017451,0.00021271,9.26E-05,5.81E-05,8.83E-05,9.41E-05,8.68E-05
60,6.07E-05,5.94E-06,0,0,5.91E-06,2.95E-05,4.96E-05,4.35E-05,6.67E-06,1.59E-05,8.42E-06,2.29E-05,9.16E-05,1.97E-05,7.81E-05,9.58E-05,0.000189645,8.11E-05
