Code,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
1,0,0,0,0,0,0,0,0,0,0,10,8,3,6,6,24,0,0
2,933,759,893,1379,1720,2422,2499,3072,1990,5638,6292,7944,9962,9963,9096,12280,13500,16608
3,29,64,64,218,97,105,124,347,1122,327,209,395,824,414,203,318,659,541
4,812,985,709,987,1460,1738,1811,2049,990,3015,3269,3491,4036,4108,3249,3366,3364,4020
5,0,0,0,5,0,1,4,7,2,10,5,4,5,5,3,0,0,0
6,4,0,2,0,4,0,0,0,1,5,4,2,2,0,4,0,5,2
7,195,174,191,301,427,532,524,569,353,1107,1169,1348,1891,1629,1115,1291,1467,1379
8,105,77,72,126,180,243,180,239,150,472,461,552,1032,789,456,605,661,626
9,288,293,324,615,807,1561,1812,1806,1148,2524,2810,3772,4214,3726,3710,4322,4140,4533
10,10963,9428,11182,11768,20760,23998,27474,36091,40211,39876,35062,45444,47670,50016,46360,40440,45595,48489
11,163,164,428,1190,998,963,793,1739,601,1471,1865,1833,2361,1498,2520,1632,1831,1608
12,19,16,33,14,157,125,82,44,107,128,111,192,378,204,220,180,267,157
13,0,52,21,55,45,168,48,123,104,87,70,35,1,20,10,14,0,29
14,0,0,0,2,0,3,1,1,1,5,64,19,12,3,9,13,5,10
15,779,462,412,729,901,1526,1567,2036,1572,3397,3740,2540,3123,2768,2769,3080,4527,4027
16,3294,2037,1169,1467,2047,3792,4704,5072,3646,6686,6513,4957,6983,6444,6506,4621,5722,6864
17,1776,1683,1488,2004,2498,3742,3599,4901,2551,5322,8560,7078,6962,8367,6149,6336,7272,8062
18,121,195,74,155,176,197,177,295,161,404,675,513,818,689,719,520,540,691
19,2962,2990,2723,3863,4248,6109,5751,7639,4627,7686,8987,9715,11449,13092,11354,13564,13718,16058
20,269,239,231,401,697,719,806,860,576,1344,1841,1688,2062,1796,1586,1434,1574,3517
21,864,658,543,796,1868,1562,1535,1974,877,2344,2329,2923,2837,2762,2453,2652,3057,3311
22,832,976,815,528,705,2389,3639,3035,2038,3855,5158,4924,5528,5655,18226,9233,17286,6932
23,332,622,644,713,1046,1263,1737,1729,952,1509,1904,2378,2169,1881,1449,1553,1724,1836
24,42,760,724,3,3,3676,2092,2344,1289,1569,3658,4323,3057,2521,6494,2573,13927,4647
25,817,668,1026,1287,1710,2539,2755,3245,3038,3313,4331,4905,6482,5582,5565,4341,5697,5685
26,0,0,0,1,1,3,3,0,6,9,30,6,21,38,2,3,6,7
27,1433,13899,16284,2957,4615,28099,73718,85920,45311,73677,85848,133173,173259,118253,74662,73039,80006,101509
28,447,306,366,534,809,978,739,1418,621,1449,11974,3778,8794,2128,817,1036,1156,1035
29,61,93,74,91,126,336,539,229,93,191,435,436,595,511,650,740,500,502
30,1116,1051,2163,3125,2841,5215,4003,7024,3633,4267,8450,4972,5783,5856,5321,9617,4725,4271
31,34,13,54,89,1484,3002,3186,4892,1604,3126,4739,3363,2989,2442,639,1762,1941,2578
32,409,336,507,833,1078,1543,1792,1797,1489,2768,2653,2777,3523,3119,3251,3877,4697,4053
33,459,347,319,529,565,1138,725,1206,863,2184,2153,1883,2033,1911,1946,1958,2020,2027
34,731,716,649,910,1063,1643,1794,2291,1626,2947,3278,3367,4250,4324,3907,4436,4887,4936
35,122,69,105,165,231,256,279,308,146,385,517,560,779,691,495,725,652,654
36,87,84,113,154,206,129,302,179,160,358,2267,3455,1300,487,358,488,428,538
37,128,121,160,227,329,359,516,422,176,312,339,86,144,151,129,264,234,161
38,298,183,351,463,472,749,708,1123,520,1448,3598,1683,2461,1565,1121,1481,2111,3063
39,1772,1816,1814,3133,4672,5614,6752,6507,5184,9414,9833,15441,11156,12269,9470,11971,12372,14665
40,651,653,697,1016,1388,2296,2293,2782,1679,3684,6223,6316,6770,5465,5080,5279,5832,6805
41,5,3,5,0,0,1,5,0,9,1,4,4,8,17,4,22,64,4
42,160,110,94,164,282,337,369,375,231,787,591,818,1182,1128,763,741,949,724
43,0,0,0,1,0,19,1,0,0,0,12,1,1,1,1,8,1,0
44,506,429,589,758,958,1506,1951,1665,1499,5562,5330,4502,3122,3363,3091,3740,3664,3731
45,7,0,0,11,2,13,6,3,3,2,2,3,4,2,8,18,20,4
46,26,17,12,38,30,59,82,74,123,70,112,194,139,102,55,68,71,49
47,3,2,0,1,2,3,2,1,6,6,3,3,12,111,1,69,11,15
48,1799,1381,1669,2578,3313,4591,3906,4950,2516,5498,6870,7493,7452,6962,6124,7257,6461,6795
49,1064,431,348,949,2028,4872,2716,2344,5517,5030,7641,8451,8937,10225,11922,9843,9201,11428
50,3,2,1,1,1,4,17,2,6,0,29,0,1,18,0,0,8,18
51,23,31,12,16,102,55,90,21,9,48,161,48,108,59,25,7,64,37
52,476,255,333,413,592,567,601,469,349,622,558,498,466,609,531,379,236,270
53,6,1,8,5,44,9,4,0,3,139,274,42,14,24,67,35,0,2
54,34,7,5,6,14,25,27,33,21,27,22,40,116,15,33,107,220,108
55,3,5,29,17,42,35,56,93,18,29,56,118,87,38,143,87,37,78
56,99,128,149,234,374,338,522,630,305,438,419,616,814,400,800,1386,2948,1229
57,81,64,51,79,124,146,154,158,97,204,293,251,482,223,350,270,258,346
58,10,12,19,42,89,47,87,65,56,123,48,180,129,142,85,134,76,73
59,51,25,43,44,78,106,99,136,118,222,359,231,351,197,157,148,130,183
60,4,3,0,0,8,7,15,36,5,9,22,31,99,34,105,70,149,66
61,575,444,745,1529,1196,1494,968,1218,604,1121,1096,1545,2241,1794,1387,1228,1393,1703
62,851,355,341,442,814,725,1054,1126,409,2747,1765,2258,2967,1967,1236,1871,2225,1996
63,835,715,844,1645,1474,2059,2944,2298,1944,4343,4095,4750,6590,5579,4172,5549,5904,5806
64,411,372,391,467,638,736,1015,1037,728,1395,1876,1907,3094,1975,1693,2254,2538,2143
65,21,15,35,42,70,131,96,75,59,430,157,169,358,125,117,217,145,212
66,65,37,42,46,81,87,81,134,147,135,196,304,417,257,221,223,264,246
67,14,9,8,21,17,13,13,9,10,42,15,67,45,83,18,41,37,60
68,152,116,234,424,411,700,661,892,386,1082,1053,755,874,1118,812,1061,1383,1458
69,185,81,242,359,480,803,750,1124,601,803,1023,1059,1006,1390,964,1540,1657,1457
70,511,187,543,620,667,1006,713,664,486,903,1261,1219,1164,1602,838,876,1043,1214
71,73,9,6,24,214,563,1473,1184,37,132,46,95,99,815,50,45,37,81
72,1395,1338,2015,2538,4189,4526,7466,6932,3430,5948,7466,8128,7658,9905,8604,13387,12865,12331
73,1814,1621,1992,3544,5258,7774,9040,12804,5577,15123,21921,16804,14956,14453,17098,17818,19811,25652
74,36,34,44,91,98,170,273,805,117,231,332,572,562,651,652,276,612,484
75,0,0,0,0,0,10,0,0,0,0,484,3,92,137,1,14,15,14
76,763,424,523,1053,1260,2610,4119,4826,2428,5959,7551,5973,6569,6811,6500,5475,3603,5946
78,3,1,1,9,13,9,12,9,6,9,5,16,11,30,8,8,7,3
79,16,3,1,35,19,34,105,79,37,90,205,165,257,90,113,319,113,106
80,333,0,3,6,2,441,21,50,8,5,6,204,31,18,12,316,4113,3905
81,0,0,0,0,0,0,1,0,1,0,0,7,0,2,1,9,137,54
82,985,633,761,1601,1502,1743,2022,1980,1008,3595,3254,3446,3331,3813,3611,4331,3725,3297
83,439,365,459,1067,1138,1655,1504,1467,679,1383,2228,1819,2966,2590,1633,1631,1886,1954
84,8228,5897,8934,13816,25683,42155,39431,40822,14284,59084,51908,52632,60018,61617,64907,54340,73955,87206
85,3833,3795,5442,7530,9300,14004,20988,16432,16359,39403,26827,29031,43639,29786,30648,33149,83535,31064
86,1,0,3,183,39,48,129,62,37,242,155,180,278,167,888,1016,1011,1445
87,3551,1910,3016,4751,7131,18094,21513,15794,9232,41455,21102,23681,29025,30672,34143,35265,36063,45768
88,92,1,2,399,2030,3247,2374,1616,4947,9603,3426,4822,3533,1353,1776,1515,1914,1889
89,649,344,783,507,3409,627,2158,858,2601,798,1659,1239,2956,3101,7933,4960,4546,41638
90,558,410,600,1409,1934,2093,1986,2290,1234,5100,9591,5334,4355,3797,4280,3428,6227,3317
91,48,13,25,107,72,103,89,112,73,585,118,199,69,61,53,73,75,76
92,48,17,31,38,56,111,96,87,102,268,128,200,358,128,91,121,265,179
93,2,1,3,3,196,5,44,161,0,818,22,641,590,57,10,23,73,52
94,549,282,464,1016,3123,3831,5350,3804,2720,12490,8780,5064,4040,3393,5510,3251,4895,3722
95,472,399,456,595,538,928,1144,869,615,1010,1042,1517,1452,1233,1574,1308,1426,1575
96,380,276,239,442,558,725,623,645,344,986,1263,1493,2031,1977,1180,1449,1557,1556
97,0,0,1,4,2,29,10,2,0,38,4,77,64,27,10,10,45,13
99,270,0,0,0,30,517,186,177,120,302,152,219,1127,229,741,0,0,171
TOTAL,65868,66002,80020,94556,144152,237279,302226,328816,213476,434786,446450,493395,580066,499619,465830,453854,571770,601389
