Importers,Exported value in 2003,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,673,323,924,749,892,1124,957,1489,1836,1958,21031,350,523,439,672,1026,967,816,1223,1263
United States of America,145,188,473,338,354,353,401,568,496,1000,10209,177,291,239,349,496,564,461,619,793
Equatorial Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214
South Africa,9,24,81,128,135,171,72,134,488,121,9309,87,51,47,73,156,65,95,167,97
France,6,23,9,13,19,92,64,49,50,136,82,6,36,4,27,2,16,11,0,66
Germany,11,18,65,24,57,68,29,92,235,141,69,2,23,24,51,30,29,9,104,56
Austria,0,0,3,0,1,7,47,37,15,72,0,8,4,0,23,3,6,24,1,12
Denmark,0,3,0,34,55,66,146,71,90,57,78,9,28,15,17,3,9,8,15,11
Pitcairn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
United Arab Emirates,0,0,0,0,0,0,3,0,0,0,5,0,1,2,2,0,0,3,2,2
Belgium,34,2,0,0,4,2,2,4,2,50,21,2,2,0,0,0,0,0,2,1
Spain,10,3,4,20,34,130,37,120,103,95,53,3,0,0,36,30,0,0,62,1
British Virgin Islands,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Tokelau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
United States Minor Outlying Islands,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
Andorra,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,0,0,0,0,2,0,0,0,0,9,3,0,0,0,0,0,0,0,3,0
Australia,0,0,0,19,22,18,6,13,6,14,45,11,7,2,27,26,7,5,8,0
Armenia,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,0,0,0,3,0,1,0,0,4,4,0,0,0,0,0,0,0,0,0,0
Canada,168,14,19,52,12,11,24,27,2,39,3,1,9,34,5,10,0,0,75,0
