code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,0.479156985,0.209313417,0.222989783,0.366809923,0.94232377,0.297490214,0.210989038,0.257517791,0.271802365,0.368777123,0.27293965,0.350240327,0.372969133,0.39979317,0.402431789,0.285620051,0.297655825,0.263086274,0.433425353,0.343078365
2,0.872813827,0.307604566,0.03688682,0.138289143,0.352850755,0.348170334,0.382641105,0.311486773,0.176410563,0.632193885,0.653172546,0.967501398,0.537138775,0.980908857,0.661534743,0.49316028,0.91501027,0.911623649,0.923187923,0.881727631
3,0.18651009,0.415971809,0.854873921,0.218205938,0.222033728,0.67620362,0.33544693,0.293728393,0.174698739,0.267521824,0.398325301,0.164858836,0.245708662,0.197169412,0.476924537,0.431340453,0.664447856,0.795994474,0.703428293,0.482357751
4,0.395229732,0.197975657,0.828580042,0.147969938,0.310823824,0.158197881,0.573373751,0.27935772,0.280098755,0.287377527,0.145244968,0.246566241,0.281091581,0.20607808,0.137283552,0.175212735,0.189546284,0.299189632,0.663241242,0.593031627
5,0.259694008,0.526539997,0,0.563700947,0.215241704,0.51485464,1,0.662418831,0.222132125,0.559447744,0.6274497,1,0.186000959,1,1,0.320075799,0.473211336,0.780434844,0.926417874,1
6,0.837262454,0.885262359,0.842427043,0.713851806,0.696224548,0.557645022,0.554290888,0.435258472,0.374735614,0.415124924,0.354302022,0.389566033,0.450923605,0.472755732,0.237162345,0.193109637,0.510628467,0.588673366,0.570493059,0.462522157
7,0.87753406,0.57512292,0.836211503,0.813380573,0.745972328,0.612608064,0.433913488,0.557390032,0.473063597,0.348235364,0.49038674,0.325376683,0.299177927,0.349351743,0.305447358,0.229903191,0.209133321,0.214970079,0.248569916,0.157537992
8,0.590789818,0.229945986,0.293134884,0.130590976,0.829171739,0.891597687,0.979302787,0.799661814,0.373887474,0.514176138,0.45947589,0.475423663,0.784623278,0.395737313,0.488313567,0.299455026,0.114902753,0.231103767,0.226297406,0.323970295
9,0.210606038,0.304010933,0.365230075,0.329895455,0.355951458,0.329449824,0.262181886,0.325423473,0.394026876,0.396990686,0.782652919,0.287098626,0.123809443,0.249551845,0.758924702,0.615832083,0.167037019,0.272751675,0.345067525,0.267227677
10,0.299754711,0.572204787,0.373152785,0.298262821,0.656770204,0.546590639,0.288117646,0.332641711,0.511632347,0.517378926,0.430055026,0.289605567,0.620749989,0.628593461,0.307166734,0.294677362,0.212486087,0.2414054,0.281414979,0.330956587
11,0.351901375,0.504051206,0.805098411,0.983448297,0.944322286,0.987644791,0.735118671,0.726132231,0.566852347,0.88786829,0.984501578,0.90553439,0.833441917,0.683888498,0.877098804,0.628468089,0.637455659,0.940728032,0.929978232,0.951515619
12,0.840632369,0.973932258,0.678096571,0.545735519,0.799108297,0.437433407,0.506693443,0.395978244,0.495608787,0.293471882,0.481777647,0.291124396,0.322209039,0.299306217,0.499224146,0.302649475,0.359410246,0.621756704,0.250095484,0.186037789
13,0.074300818,0,1,0.679524975,0,0.284959256,1,0.033301071,0.401219067,1,0,0.044544404,0.162370271,0.273600325,0.284697791,0.730699219,0.560626252,0.294485517,0.941650575,0.348362127
14,1,0.845079876,0.066473394,0.181767729,0.869720081,0.427810395,0.341304398,0.160263838,0.387197733,0.784152354,0.609423072,0.316744993,0.693885458,0.231252509,0.222777164,0.212227968,0.465018342,0.355874783,0.640846365,0.99045327
15,0.400242714,0.609110042,0.780413011,0.857915607,0.992675026,0.339783057,0.824699,0.506698336,0.965834606,0.976628284,0.910606817,0.433903761,0.708150487,0.954797237,0.894873414,0.923797345,0.943632789,0.90450554,0.801597477,0.940237743
16,0.629867598,0.997601537,1,0.394441461,1,0.313191525,0.551734691,0.638604631,0.487310034,0.976373084,0.873367784,0.412482623,1,1,0.294677707,0.150160397,0.989126792,0.890627746,0.77904438,0.672585001
17,0.419885378,0.43062116,0.342616853,0.237883894,0.367143459,0.345928428,0.319658321,0.271419331,0.363362267,0.404440453,0.300252239,0.30136369,0.418560116,0.354614394,0.368837242,0.429709103,0.374567992,0.47780771,0.562226182,0.588377053
18,1,0.431877034,0.106406076,0.443979178,0.467529168,0.278641174,0.3155387,0.575719985,0.362342457,0.352813698,0.848071545,0.219463655,0.268937807,0.440982955,0.253036565,0.339602746,0.306689762,0.240857094,0.200554877,0.258143686
19,0.462406072,0.201083694,0.345526082,0.725534191,0.546369829,0.83642878,0.492684741,0.62187285,0.613253919,0.653047252,0.324291911,0.51790212,0.481625855,0.703222275,0.888047546,0.946477553,0.725904218,0.931498,0.892499695,0.888251171
20,0.551009349,0.320854992,0.365699481,0.586823838,0.464118785,0.322317564,0.151134691,0.324721774,0.631008998,0.316051394,0.377900192,0.669387172,0.179878562,0.546685255,0.259181008,0.181470296,0.394745918,0.666474787,0.760742092,0.670477857
21,0.314556496,0.502834459,0.776892723,0.459258862,0.68872817,0.397301267,0.566059913,0.515339054,0.510692723,0.445705413,0.337773031,0.476934849,0.486587636,0.413245687,0.300526923,0.325171969,0.337714316,0.453870335,0.370076784,0.274425419
22,0.5428702,0.498714744,0.744864529,0.483341869,0.667946362,0.716112866,0.357987963,0.549588899,0.376727887,0.365153714,0.63659924,0.423901242,0.505353768,0.522214671,0.546686169,0.623287176,0.80200108,0.857987034,0.763436294,0.799223472
23,0.685715693,0.356964981,0.439545165,0.615331905,0.266667971,0.274646399,0.402668997,0.329781911,0.476871984,0.746295968,0.526260815,0.271683423,0.255738125,0.298568309,0.274907385,0.282923484,0.175021206,0.214278844,0.16976028,0.256200786
24,0.480631156,0.480263951,0.547544987,0.413139399,0.357518723,0.565068739,0.4091649,0.484243505,0.330054912,0.415460919,0.348292987,0.332315801,0.377300009,0.369258933,0.363031032,0.278872532,0.467811872,0.327636183,0.30650003,0.289075413
25,0.376035237,0.72306749,0.525556459,0.631258119,0.461193355,0.900308881,0.630114203,0.531805374,0.55021173,0.731036092,0.774173633,0.904768067,0.651892055,0.384688665,0.437209335,0.716519504,0.707160374,0.681424782,0.629498506,0.703313042
26,0.305136663,0.244723279,0.410736963,0.349758274,0.393697017,0.564802987,0.320801781,0.436147029,0.414225538,0.501899341,0.453757061,0.523247986,0.836944159,0.233602185,0.443522461,0.743181836,0.468993373,0.602081116,0.524295795,0.562782562
27,0.534608294,0.601776276,0.502159324,0.497501224,0.733933353,0.645818507,0.566997882,0.340304865,0.246794278,0.292630581,0.465321658,0.500469476,0.623130741,0.48283215,0.556807227,0.439076526,0.510796876,0.496863791,0.453103457,0.389961159
