Code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,1310,1351,978,427,17717,939,1370,1498,1303,1649,1899,2623,3334,2999,4024,5734,7548,6356,10991,10769
2,232,353,256,67,849,601,742,719,328,730,2884,552,87,535,1874,2651,14468,13999,16805,19094
3,779,1011,3417,359,385,1246,950,682,539,467,774,518,505,495,1347,821,3895,4824,6136,7576
4,2152,1737,8946,2599,4555,3306,16278,8640,6926,8190,5469,6969,4657,6741,10860,17381,14195,16294,43893,66938
5,198,169,0,39,84,42,6,60,60,35,18,8,151,28,15,176,175,103,159,706
6,14509,13304,19078,31716,26552,23540,22693,21941,20784,24172,32458,13849,12731,10585,10965,10037,8591,7690,9908,7218
7,12247,38698,24481,27324,24598,25444,21650,11097,9490,16198,30932,11486,12283,13056,14134,11620,7616,7686,8128,6756
8,14,20,19,3,176,694,456,237,243,494,653,1774,830,459,622,1395,1844,4973,8343,8069
9,10230,12068,16555,11937,10796,8714,9013,3975,3564,3318,12949,944,735,1772,6331,564,4077,9769,25718,38304
10,6805,41752,17240,13339,63146,51411,24447,37158,194905,418919,161719,78184,229528,189429,100606,46556,39343,43421,47506,113939
11,5435,7074,9240,11766,23032,33268,25178,33174,58926,36213,68232,47604,27832,10454,12401,2588,2890,19432,36080,90357
12,5253,32735,6180,7280,14381,2090,7775,11862,6981,32014,38561,34086,18738,23262,57965,11211,18370,24343,30052,19116
13,8,0,17,28,0,3,6,24,5,9,0,57,215,190,119,808,185,69,232,320
14,6,30,97,8,769,3508,3180,2897,13472,14478,9713,7446,2215,4153,3937,8795,2101,10434,1960,713
15,769,792,763,1307,14753,2700,2145,3752,23227,39999,34003,39518,34494,38483,19354,17473,16108,19477,14061,34702
16,1162,1423,1,72,9,305,352,407,12,144,1416,303,11,20,121,64,627,1688,1313,2519
17,33983,39189,75814,65581,90152,64276,101841,149704,164618,144392,188886,220839,141952,119146,136191,125401,142391,118849,124692,119611
18,27,136,185,478,479,466,558,1371,1725,1438,19177,1085,739,1409,1025,1828,2248,3431,6267,6197
19,465,168,204,99,424,2454,8867,10635,12936,45258,16181,14253,9792,10954,15025,34882,45737,47141,73470,82901
20,359,211,236,206,1232,978,907,1793,6665,2380,5344,9817,3029,2272,1932,3494,3788,8651,27283,32651
21,2543,5880,14387,2569,3871,1792,1434,1882,4944,9028,12708,10101,7913,3788,4677,8038,3506,4078,4066,5170
22,253,452,490,620,3388,7901,4501,11864,11728,4952,215953,14106,23036,31033,50636,74520,70995,92487,143661,159537
23,1369,3340,994,2162,4744,4962,6972,17445,28081,130619,80749,75257,34722,29413,58708,84545,52114,50797,115493,119705
24,22384,65302,73705,74314,61967,71893,89633,117767,101360,156576,216993,143415,117123,90130,88268,105722,71198,116427,130007,135699
25,11236,19339,17678,19768,17638,33738,44664,85605,83464,121627,274289,134287,116714,175540,157795,194491,233703,257684,303827,499940
26,14512,45320,144275,501216,313678,585363,184054,361807,201637,70791,94114,57892,36297,34469,37681,66911,35456,253859,143387,238038
27,25719,32078,18628,31916,51919,35965,38233,36297,39106,118140,198902,106544,109642,33035,57819,78609,7604,137517,186204,317979
28,1915,3758,1119,1771,8360,24444,29358,52169,110758,164610,506579,294681,82378,64095,245362,202711,168230,103239,79584,247985
29,155,528,418,1268,15621,848,873,254,12328,362,340,1021,1054,4473,13369,26506,12979,2085,4477,5633
30,2516,609,824,659,1131,1166,1020,1556,7659,392,147,422,226,367,150,493,3613,1438,1488,1836
31,1648,29811,1720,3689,3631,9647,6397,8491,1886,6438,3985,8110,4965,12611,9164,23005,25874,19059,20301,30035
32,127,101,47,171,288,2780,2323,979,517,628,679,2574,1894,1612,1612,2096,1930,2770,3757,5343
33,911,1309,956,748,38016,3019,9414,17193,16931,12765,65860,1881,10026,1893,564,1730,1508,3131,2631,3548
34,1735,5223,7112,5715,10756,12557,13722,12693,19346,70323,33674,69315,54377,44564,45838,53622,56109,76106,97034,111196
35,99,6,5,5,7104,47,33,336,34,113,109,120,104,63,56,630,31,141,69,40
36,1138,1457,3626,2733,5524,9117,9749,11487,13542,17887,15601,22400,27680,23504,31033,32379,40048,20588,25911,24498
37,18,9,4,70,45,96,20,40,61,56,23,1,462,10,12,4,2,3,4,56
38,544,851,288,1132,642,1712,3039,7029,8404,33051,17956,17302,8306,11864,18734,25533,29917,37764,63754,51035
39,3383,2491,7366,9009,5543,11039,14925,13374,6439,22189,21193,9577,9572,10808,14011,17150,23934,19453,25598,46155
40,1078,1449,1145,3795,2084,4771,7278,7903,2351,7942,13496,14776,11304,7820,10442,9870,7902,5746,8400,10488
41,2685,3990,5048,6716,5725,5898,7603,4203,4868,6580,50062,51184,13726,11137,9026,5587,4836,5375,4647,5783
42,215,130,32778,9,57,23,76,56,32,58,322,43,56,44,113,728,160,89,28,15
43,0,167,219,48,50,1,0,21,0,0,40,0,0,0,0,6,0,0,0,0
44,4509,13755,18156,5048,6772,8602,7731,12685,13802,182619,12210,9622,10594,5781,3422,12342,23434,26811,32528,16309
45,26,0,1,3,5,847,1,9,0,1,3,28,0,0,2,1,1,0,0,2142
46,57,10,16,61,71,28,3,0,1,9,2,1,7,0,0,2,9,69,82,67
47,179,773,785,628,683,659,472,5110,65,55,79,344,60,67,55,116,50,23,34,217
48,2768,4271,1003,915,1651,1841,2999,1965,3072,22641,6461,5131,8283,5095,3952,2520,3068,3340,3621,7450
49,2569,9297,16569,2191,351,281,6722,7393,20245,4456,7740,25977,63801,66835,120571,197226,133,112,1777,9239
50,0,0,0,1,1,8,1,1,0,5,0,0,0,0,1,1,0,0,1,0
51,2,41,0,6,1,6,2,2,0,0,0,0,9,0,0,11,0,1,0,0
52,53866,149484,80856,80428,51706,39081,45705,47179,119615,309456,85616,67547,62492,63441,37439,48803,53159,18201,22955,15094
53,28,15,47,0,0,19,42,1,1,1,11,304,0,11,0,1,0,5,26,15
54,73,5,0,1,1,53,3,4,54,12,51,259,93,153,197,24,4,1,1,60
55,200,726,2493,537,256,7396,119,293,287,1661,25265,1950,1744,1252,1654,1431,1227,711,1225,2701
56,404,49,8,224,772,79,98,117,328,162,75,211,78,77,127,103,46,85,109,137
57,7,3,8,1,9,0,6,9,1,11,1,26,57,16,3,6,4,41,30,29
58,72,14,19,18,37,31,12,6,8,12,4,76,8,16,3,11,569,470,980,1179
59,231,11,99,16,5,25,97,34,168,7,54,22,1,2,27,9,87,3,19,189
60,0,0,0,1,5,0,1,2,0,0,9,0,0,0,2,0,16,5,9,7
61,150,52,76,49,162,161,92,145,127,163,1380,171,72,76,26,39,63,22,240,129
62,173,228,126,87,291,141,212,96,269,265,191,253,260,131,93,174,869,76,162,237
63,1496,1525,1118,1137,14949,2114,1150,1554,1117,1760,2644,2707,3058,2032,1452,4858,3743,4737,9231,15444
64,2259,6098,2354,2412,1922,2345,2384,1655,1823,2446,1773,1141,853,345,694,718,394,395,2075,847
65,158,140,3,6,40,134,18,24,42,17,384,53,11,3907,71,54,46,10,65,23
66,21,1,0,0,0,2,1,12,1,1,45,1,1,0,0,0,0,0,1,1
67,173,494,61,89,6,6,9,0,11,7,17,75,4,248,471,1059,827,1076,2100,2894
68,723,661,512,1927,781,1605,968,2931,5066,22540,3105,3739,1875,2427,42340,118436,7897,20173,76448,27925
69,182,152,34,20,366,173,234,682,5077,271,221,425,151,138,133,1946,2417,2405,9525,24610
70,110,32,19,12,445,99,120,405,168,305,1961,1176,124,278,155,640,405,184,141,295
71,89551,26090,22495,21146,37787,32204,39110,67115,116868,283696,328542,272571,209241,150389,101990,106026,234137,158054,189027,133344
72,3164,5038,3242,2127,4465,10279,8120,17119,54964,54821,54994,74543,49373,43784,77427,90739,81622,96101,234879,329270
73,5333,3723,2339,4766,11961,10097,8691,7004,10194,39785,16682,16753,25771,9897,15214,21388,25342,22649,48535,44601
74,501571,685685,1336310,2560642,3310980,3272462,2792997,4929541,6636486,6392119,6891538,7211593,5390642,4516917,6179764,6818189,5040888,5924218,8498741,8124727
75,25,12,0,6,1,71,3,0,1411,1,0,37,5,0,0,0,0,0,8,5
76,2591,2875,826,6520,1138,620,406,734,369,1115,2350,3071,16676,565,535,1177,2048,3001,3024,6083
78,454,675,230,300,522,508,3913,5711,7041,7980,22094,9081,6928,5699,10104,14311,22339,13445,16062,17580
79,1282,1140,2982,7578,838,52,57,68,200,19,72,1221,605,154,4438,1388,26,32,1879,96
80,28,0,4,13,0,15,0,5,16,19,66,36,75,110,81,217,113,120,678,531
81,133846,261252,165593,143521,250925,298322,74676,193634,214274,215128,132895,122759,81286,103651,124583,119595,45806,10580,4981,2
82,1417,848,607,1303,11741,3823,6917,4473,6629,18425,21816,5738,7611,2977,4296,8031,2015,3932,3630,2610
83,339,313,714,1933,1054,1519,2500,1885,1446,58012,26895,2208,772,3425,1286,1929,640,2244,1190,4124
84,4639,6817,8835,67292,41340,56072,67111,69568,67602,122737,227318,161663,97771,120828,79945,128090,137445,93502,103199,103293
85,7826,13443,16410,38951,58665,64338,37839,45663,252396,65518,100786,69569,64561,269446,58476,41948,37080,25820,44094,58554
86,102,7,7,54,1124,393,399,495,1083,642,665,314,763,92,185,282,257,844,606,379
87,3500,2274,2275,4478,20660,22194,30689,16621,15440,26613,95094,73926,30454,18500,19629,31144,37352,35902,31921,35649
88,0,0,509,1660,5100,300,2749,4240,42361,41298,1747,1403,9942,1046,2430,3970,180,653,2195,973
89,0,95,16,26,56,28,204,172,770,109,697,351,81,58,158,85,78,66,226,749
90,34,53,293,668,1896,2618,1458,3246,1561,5158,15314,4679,3034,1148,1698,3580,1819,3948,3530,2954
91,1,0,2,8,15,6,9,26,22,33,12133,46,90,11,2,9,43,17,7,11
92,0,0,0,0,224,7,5,2,3,3,251,81,14,28,68,26,15,18,2,25
93,0,62,3,13,46,9,1,65,203,90,8,962,13871,1455,12,5,77,9,782,92
94,172,1564,236,699,19127,631,1992,3622,1591,4577,6371,2828,899,421,591,3137,1236,2273,761,1790
95,28,104,63,4,7,431,57,47,6,83,1222,89,54,37,35,212,94,53,96,45
96,169,120,15,174,50,74,1435,79,111,224,5869,1083,201,1499,2194,1780,1706,1327,696,3079
97,673,323,924,749,892,1124,957,1489,1836,1958,21031,350,523,439,672,1026,967,816,1223,1263
99,0,6,301,0,2109,3908,4502,3300,3599,5280,5414,3674,3587,3556,4006,3938,2864,3502,4840,2494
TOTAL,1019305,1616179,2206137,3805187,4719883,4902604,3879732,6530319,8812012,9639946,10596212,9688792,7343902,6437179,8156628,9111114,6962507,8060547,11217517,11689732
