Exporters,Imported value in 2003,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,1486,1161,1566,1607,1564,2806,1432,1938,3399,3249,2911,2490,2011,1778,1486,2330,2124,1510,2421,2098
South Africa,1003,520,583,663,799,1142,811,725,1500,1281,971,1085,1012,1140,901,943,807,845,894,763
China,1,26,32,11,17,48,44,37,383,867,421,443,196,102,185,373,470,243,1080,543
Pitcairn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305
Equatorial Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239
Egypt,98,165,326,447,335,1156,278,833,832,738,882,523,439,231,94,117,217,78,77,159
United Arab Emirates,25,48,223,177,171,146,112,104,47,86,77,46,29,51,85,67,86,29,23,36
Belgium,134,149,0,0,0,0,0,23,39,24,37,27,5,14,5,8,42,61,86,32
United States of America,0,20,0,71,0,1,3,0,86,3,2,12,27,15,6,0,2,25,4,9
Pakistan,3,0,0,2,0,5,4,4,4,1,4,1,3,0,0,1,0,0,0,7
Viet Nam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2
United Kingdom,0,8,9,2,6,1,0,0,2,13,6,0,4,5,1,1,38,0,2,2
Australia,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
Botswana,8,5,1,2,2,4,4,1,2,3,6,12,13,2,5,1,1,0,0,1
Tokelau,0,0,0,0,0,0,0,0,0,0,0,18,0,1,0,1,0,1,9,0
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
"Congo, Democratic Republic of the",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
