code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,0.233469448,0.396135502,0.439217966,0.319262994,0.235338021,0.259422005,0.414676533,0.241066815,0.355962632,0.389869727,0.351978079,0.322454357,0.492274006,0.469949152,0.465909368,0.413548767,0.392984581,0.458348946,0.447421906,0.536793742
2,0.337918143,1,0.115568823,0.510267561,0.362908037,0.570882575,0.308955224,0.591483028,0.403116491,0.449002713,0.304938989,0.406524906,0.177096343,0.373211549,0.279629483,0.227497731,0.257872618,0.184495691,0.280882107,0.326541755
3,0.561539786,0.341740394,0.476672142,0.464802138,0.401293331,0.196978697,0.369085883,0.217103913,0.432592323,0.38453335,0.420342323,0.544418424,0.73581089,0.807796458,0.852561916,0.800534869,0.796457455,0.836942916,0.892005163,0.865260047
4,0.594076872,0.471468781,0.504612994,0.455767467,0.608876529,0.524883195,0.618142883,0.520789201,0.360765855,0.290867916,0.327672217,0.349072312,0.33896662,0.494011802,0.472604469,0.411332097,0.457009249,0.516860103,0.518472457,0.538351023
5,0.46771711,0.702309873,0.409758679,0.336945919,0.632809088,0.887659873,0.863288711,0.930414841,0.780183041,0.382638495,0.526163212,0.386724578,0.61664963,0.638550085,0.764323318,0.862852821,0.716607464,0.3179154,0.440975405,0.277396441
6,0.531684307,0.557461936,0.316086268,0.393861011,0.432588307,0.250754916,0.294897422,0.668571458,0.621867123,0.43165111,0.499134295,0.618337681,0.53477773,0.650426699,0.671415432,0.447357707,0.565823461,0.867280972,0.713182582,0.899570501
7,0.410803276,0.492260629,0.564797537,0.375763493,0.381474868,0.616592025,0.596033,0.787718284,0.705657576,0.91336372,0.916776813,0.854858393,0.815044785,0.840394518,0.78067917,0.759888432,0.880988827,0.66571047,0.717315277,0.679496733
8,0.630143069,0.809716032,0.466720184,0.709702795,0.517603494,0.618141232,0.619119116,0.624632635,0.766765033,0.803474284,0.833977275,0.896077019,0.94604603,0.950554446,0.937695306,0.959494753,0.940087443,0.809037879,0.764026326,0.798207435
9,0.535723559,0.590476595,0.520635356,0.495228555,0.563679662,0.674235629,0.67001736,0.735805657,0.727753639,0.656804733,0.615167325,0.677060961,0.719326764,0.758341829,0.739937118,0.723453144,0.756633791,0.678985587,0.512022935,0.546145636
10,0.635069232,0.803227358,0.553284645,0.4878359,0.301351445,0.574853011,0.822872766,0.263215675,0.549851627,0.276952642,0.308806489,0.516813766,0.621390023,0.400613946,0.270873492,0.279677904,0.410292108,0.480660917,0.330062709,0.610262096
11,0.832486917,0.599557526,0.647377905,0.446246856,0.277239612,0.336217862,0.380042372,0.296280894,0.344608083,0.44716339,0.243142485,0.308366243,0.366168853,0.330295046,0.501261712,0.903487172,0.899711897,0.764184195,0.813118765,0.418601946
12,0.493904518,0.431562348,0.516721338,0.552953906,0.402911575,0.716318545,0.432262082,0.444953579,0.346435189,0.903473563,0.630296231,0.508330811,0.495683539,0.39806555,0.360105247,0.476326873,0.304137775,0.402564766,0.460113409,0.291448028
13,0.263949774,0.105611375,0.415587296,0.211936899,0.178292178,0.421303347,0.517723349,0.194758725,0.222324049,0.161288911,0.358209927,0.195347934,0.279006057,0.256758309,0.446712341,0.346631253,0.554677348,0.58624745,0.208727693,0.348745933
14,1,1,1,0.149918558,0.212372541,0.116097998,0.212104563,1,1,0.349729806,0.10407415,0.773245918,0.284959256,0.109450668,1,1,0.644260854,0,0.37113092,0.130590976
15,0.510937997,0.581505457,0.456369693,0.415033949,0.487770247,0.490645314,0.477060646,0.402282455,0.452248726,0.352104735,0.460604664,0.529461996,0.535914352,0.519920142,0.658755316,0.726221832,0.596757635,0.439691268,0.448105264,0.564340781
16,0.388505089,0.301629049,0.956377325,0.812995596,0.787543676,0.667303271,0.673556064,0.786989202,0.851383255,0.725909909,0.66806283,0.706001425,0.74629334,0.805637162,0.604828858,0.593938319,0.414018034,0.773974406,0.312419489,0.319811761
17,0.48037302,0.20300607,0.40621318,0.45031651,0.42372584,0.37818223,0.39203178,0.50906503,0.34242878,0.43269551,0.38953449,0.4494247,0.50432268,0.70904197,0.48943702,0.43208916,0.47026424,0.57054639,0.40846665,0.47763823
18,0.862635951,0.849370892,0.695397387,0.795346272,0.811449642,0.878599765,0.826215758,0.804998493,0.889537898,0.85866363,0.801953713,0.845149714,0.774222044,0.849404499,0.781774472,0.760002381,0.767300735,0.872228458,0.821439658,0.825695344
19,0.508267734,0.668499772,0.61472199,0.630050015,0.698931101,0.702087121,0.767373748,0.812848124,0.807109419,0.822286976,0.797490012,0.739044039,0.761832231,0.756716894,0.72558409,0.70915444,0.701802619,0.724978294,0.742441287,0.718736461
20,0.615597415,0.649038781,0.598430313,0.561485739,0.653041451,0.700496241,0.813782758,0.859385946,0.82777474,0.841317483,0.852788869,0.864742237,0.789216914,0.776886657,0.799885992,0.804370215,0.780333541,0.719521207,0.74075053,0.64306784
21,0.400306319,0.609745693,0.614752174,0.534458571,0.639467104,0.727438921,0.689019843,0.737587271,0.714499423,0.755666403,0.775576937,0.747298101,0.773542179,0.747031809,0.755504611,0.739302938,0.72606706,0.66642187,0.653851814,0.64287259
22,0.531173378,0.528016589,0.439424406,0.439527045,0.390800614,0.509102711,0.452771258,0.453140274,0.53542632,0.650957118,0.578002255,0.694899149,0.806252728,0.834449289,0.823493858,0.832028788,0.793767643,0.83695597,0.8818098,0.869587781
23,0.358162742,0.468822847,0.403673254,0.413740672,0.49923718,0.604387197,0.434518188,0.481235726,0.37354546,0.44481649,0.587846018,0.63804322,0.746750069,0.815213403,0.745115946,0.773610399,0.742032006,0.779054653,0.729877459,0.743787794
24,0.578811288,0.34393071,0.591093526,0.84808394,0.91541028,0.90232212,0.870912281,0.807916785,0.796618987,0.812771884,0.778809531,0.727906055,0.761165975,0.734553753,0.458522017,0.337200419,0.373030153,0.306629545,0.588835419,0.793817114
